row_label_raw,row_label_full,Bên liên quan > Công ty Cổ phần Đầu tư vàXây dựng ICV Việt Nam,"Mối quan hệ > Công ty con của Công ty mẹ, Công tycó liên quan của Thành viên HĐQTTrần Chủng, Thành viên HĐQT kiểm TGD Nguyễn Quang Huy","Nội dung nghiệp vụ > Bán hàng hóa, dịch vụMua hàng hóa, dịch vụ",Năm tài chínhkết thúc ngày 31 tháng 12 năm > 2024VND > 599.572.39289.003.826.675,Năm tài chínhkết thúc ngày 31 tháng 12 năm > 2023VND > 4.444.44457.157.051.557,"numeric__Mối quan hệ > Công ty con của Công ty mẹ, Công tycó liên quan của Thành viên HĐQTTrần Chủng, Thành viên HĐQT kiểm TGD Nguyễn Quang Huy","numeric__Nội dung nghiệp vụ > Bán hàng hóa, dịch vụMua hàng hóa, dịch vụ",numeric__Năm tài chínhkết thúc ngày 31 tháng 12 năm > 2024VND > 599.572.39289.003.826.675,numeric__Năm tài chínhkết thúc ngày 31 tháng 12 năm > 2023VND > 4.444.44457.157.051.557
Công ty Cổ phần BOT BắcGiang - Lạng Sơn,Công ty Cổ phần BOT BắcGiang - Lạng Sơn,Công ty Cổ phần BOT BắcGiang - Lạng Sơn,Công ty liên kết,Thu lại tiền góp vốn,10.116.000.000,78.380.000.000,,,10116000000.0,78380000000.0
Công ty Cổ phần Đầu tư BOTĐèo Cả Khánh Hòa,Công ty Cổ phần Đầu tư BOTĐèo Cả Khánh Hòa,Công ty Cổ phần Đầu tư BOTĐèo Cả Khánh Hòa,"Công ty liên kết, công ty có liênquan của Phó Chủ tịch HĐQTNguyễn Hữu Hùng, Phó TGD NgọTrường Nam, Trường Ban kiểm soát Nguyễn Minh Giang, Thành viên Ban kiểm soát Phan Thị Mai","Bán hàng hóa, dịch vụ",2.295.537.037,4.564.508.030,,,2295537037.0,4564508030.0
Công ty Cổ phần Tập đoànĐèo Cả,Công ty Cổ phần Tập đoànĐèo Cả,Công ty Cổ phần Tập đoànĐèo Cả,Công ty mẹ,"Bán hàng hóa, dịch vụMua hàng hóa, dịch vụChi phí lãi vayNhận tiền vayTrả tiền lãi vayTrả tiền vayThu nhập khácNhận chuyển nhượng cổ phầnThu lại tiền hợp tác kinh doanhLợi nhuận từ hợp tác kinh doanh",377.053.428.86468.414.576.800- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -,,,,,
