row_label_raw,row_label_full,Mã số,NGUỒN VỐN (tiếp theo),Thuyết minh,Tại ngày > 31.12.2024 VND,Tại ngày > 01.01.2024 VND,numeric__NGUỒN VỐN (tiếp theo),numeric__Thuyết minh,numeric__Tại ngày > 31.12.2024 VND,numeric__Tại ngày > 01.01.2024 VND
400,400,400,VỐN CHỦ SỞ HỮU,V.24,10.929.626.950.095,8.732.901.329.464,,,10929626950095.0,8732901329464.0
410,410,410,Vốn chủ sở hữu,,6.921.543.077.550,5.460.093.016.662,,,6921543077550.0,5460093016662.0
411,411,411,Vốn góp của chủ sở hữu,,4.322.555.280.000,3.293.503.510.000,,,4322555280000.0,3293503510000.0
411a,411a,411a,- Cổ phiếu phổ thông có quyền biểu quyết,,4.322.555.280.000,3.293.503.510.000,,,4322555280000.0,3293503510000.0
412,412,412,Thặng dư vốn cổ phần,,6.079.662.000,(876.900.000),,,6079662000.0,-876900000.0
418,418,418,Quỹ đầu tư phát triển,,8.822.456.079,8.822.456.079,,,8822456079.0,8822456079.0
420,420,420,Quỹ khác thuộc vốn chủ sở hữu,,1.739.172.300,-,,,1739172300.0,
421,421,421,"Lợi nhuận sau thuế (""LNST"") chưa phân phối",,1.116.710.675.697,921.898.501.789,,,1116710675697.0,921898501789.0
421a,421a,421a,- LNST chưa phân phối lũy kế của các năm trước,,703.328.280.943,601.683.644.827,,,703328280943.0,601683644827.0
421b,421b,421b,- LNST chưa phân phối của năm nay,,413.382.394.754,320.214.856.962,,,413382394754.0,320214856962.0
429,429,429,Lợi ích cổ đông không kiểm soát,,1.465.635.831.474,1.236.745.448.794,,,1465635831474.0,1236745448794.0
430,430,430,Nguồn kinh phí và quỹ khác,,4.008.083.872.545,3.272.808.312.802,,,4008083872545.0,3272808312802.0
432,432,432,Nguồn kinh phí đã hình thành TSCĐ,,4.008.083.872.545,3.272.808.312.802,,,4008083872545.0,3272808312802.0
440,440,440,TỔNG NGUỒN VỐN,,38.906.360.732.239,36.780.154.788.883,,,38906360732239.0,36780154788883.0
