row_label_raw,row_label_full,Mã số,Chỉ tiêu,Thuyết minh,Năm tài chính kết thúc ngày 31 tháng 12 năm > 2024 VND,Năm tài chính kết thúc ngày 31 tháng 12 năm > 2023 VND,numeric__Chỉ tiêu,numeric__Thuyết minh,numeric__Năm tài chính kết thúc ngày 31 tháng 12 năm > 2024 VND,numeric__Năm tài chính kết thúc ngày 31 tháng 12 năm > 2023 VND
01,01,01,Doanh thu bán hàng và cung cấp dịch vụ,VI.1,3.308.251.591.277,2.685.542.239.251,,,3308251591277.0,2685542239251.0
02,02,02,Các khoản giảm trừ doanh thu,,-,-,,,,
10,02 > 10,10,Doanh thu thuần về bán hàng và cung cấp dịch vụ,VI.1,3.308.251.591.277,2.685.542.239.251,,,3308251591277.0,2685542239251.0
11,02 > 11,11,Giá vốn hàng bán và cung cấp dịch vụ,VI.2,1.967.049.198.935,1.605.123.307.081,,,1967049198935.0,1605123307081.0
20,02 > 20,20,Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,,1.341.202.392.342,1.080.418.932.170,,,1341202392342.0,1080418932170.0
21,02 > 21,21,Doanh thu hoạt động tài chính,VI.3,47.991.503.229,25.719.678.287,,,47991503229.0,25719678287.0
22,02 > 22,22,Chi phí tài chính,VI.4,814.327.147.479,667.279.809.348,,,814327147479.0,667279809348.0
23,02 > 23,23,- Trong đó: Chi phí lãi vay,,796.572.521.099,662.435.560.342,,,796572521099.0,662435560342.0
24,02 > 24,24,"Phần lãi trong công ty liên doanh, liên kết",,57.827.888.610,49.109.315.093,,,57827888610.0,49109315093.0
26,02 > 26,26,Chi phí quản lý doanh nghiệp,VI.5,71.738.443.064,60.780.235.502,,,71738443064.0,60780235502.0
30,02 > 30,30,Lợi nhuận thuần từ hoạt động kinh doanh,,560.956.193.638,427.187.880.700,,,560956193638.0,427187880700.0
31,02 > 31,31,Thu nhập khác,VI.6,23.625.648.701,2.086.063.635,,,23625648701.0,2086063635.0
32,02 > 32,32,Chi phí khác,VI.7,6.014.750.991,4.553.327.184,,,6014750991.0,4553327184.0
40,02 > 40,40,Lợi nhuận/(lỗ) khác,,17.610.897.710,(2.467.263.549),,,17610897710.0,-2467263549.0
50,02 > 50,50,Tổng lợi nhuận kế toán trước thuế,,578.567.091.348,424.720.617.151,,,578567091348.0,424720617151.0
