row_label_raw,row_label_full,col_0,31.12.2024 > Giá trị VND,31.12.2024 > Dự phòng VND,01.01.2024 > Giá trị VND,01.01.2024 > Dự phòng VND,numeric__31.12.2024 > Giá trị VND,numeric__31.12.2024 > Dự phòng VND,numeric__01.01.2024 > Giá trị VND,numeric__01.01.2024 > Dự phòng VND
"Ký cược, ký quỹ","Ký cược, ký quỹ","Ký cược, ký quỹ",2.157.503.000,-,2.157.503.000,-,2157503000.0,,2157503000.0,
Phải thu tạm ứng cổ tức (*),Phải thu tạm ứng cổ tức (*),Phải thu tạm ứng cổ tức (*),74.538.955.074,-,85.096.325.353,-,74538955074.0,,85096325353.0,
Bên liên quan,Bên liên quan,Bên liên quan,44.608.004.491,-,84.857.267.898,-,44608004491.0,,84857267898.0,
Công ty Cổ phần BOT Hưng Phát,Công ty Cổ phần BOT Hưng Phát,Công ty Cổ phần BOT Hưng Phát,44.608.004.491,-,50.924.984.504,-,44608004491.0,,50924984504.0,
Công ty Cổ phần Đầu tư Thương mại Quốc tế Hà Thành,Công ty Cổ phần Đầu tư Thương mại Quốc tế Hà Thành,Công ty Cổ phần Đầu tư Thương mại Quốc tế Hà Thành,-,-,33.932.283.394,-,,,33932283394.0,
Bên thứ ba,Bên thứ ba,Bên thứ ba,29.930.950.583,-,239.057.455,-,29930950583.0,,239057455.0,
Công ty Cổ phần Đầu tư Thương mại Quốc tế Hà Thành,Công ty Cổ phần Đầu tư Thương mại Quốc tế Hà Thành,Công ty Cổ phần Đầu tư Thương mại Quốc tế Hà Thành,29.775.842.388,-,-,-,29775842388.0,,,
Công ty Cổ phần Đầu tư và Xây Dương Việt Thành,Công ty Cổ phần Đầu tư và Xây Dương Việt Thành,Công ty Cổ phần Đầu tư và Xây Dương Việt Thành,155.108.195,-,239.057.455,-,155108195.0,,239057455.0,
Hợp tác kinh doanh,Hợp tác kinh doanh,Hợp tác kinh doanh,514.088.408.736,-,61.750.100.044,-,514088408736.0,,61750100044.0,
Bên liên quan,Bên liên quan,Bên liên quan,514.088.408.736,-,61.750.100.044,-,514088408736.0,,61750100044.0,
Công ty Cổ phần Cao tốc Cam Lâm - Vĩnh Hảo (**),Công ty Cổ phần Cao tốc Cam Lâm - Vĩnh Hảo (**),Công ty Cổ phần Cao tốc Cam Lâm - Vĩnh Hảo (**),514.088.408.736,-,61.750.100.044,-,514088408736.0,,61750100044.0,
Các khoản khác,Các khoản khác,Các khoản khác,39.286.395.062,-,49.823.987.400,-,39286395062.0,,49823987400.0,
Bên thứ ba,Bên thứ ba,Bên thứ ba,39.286.395.062,-,49.823.987.400,-,39286395062.0,,49823987400.0,
"Phải thu tiền sửa chữa, bảo hành các dự án","Phải thu tiền sửa chữa, bảo hành các dự án","Phải thu tiền sửa chữa, bảo hành các dự án",13.922.159.406,-,25.096.534.444,-,13922159406.0,,25096534444.0,
Trung tâm phát triển quỹ đất và Cụm công nghiệp huyện Lạng Giang,Trung tâm phát triển quỹ đất và Cụm công nghiệp huyện Lạng Giang,Trung tâm phát triển quỹ đất và Cụm công nghiệp huyện Lạng Giang,12.301.719.456,-,12.301.719.456,-,12301719456.0,,12301719456.0,
Trung tâm phát triển quỹ đất huyện Hữu Lũng,Trung tâm phát triển quỹ đất huyện Hữu Lũng,Trung tâm phát triển quỹ đất huyện Hữu Lũng,5.033.084.500,-,5.033.084.500,-,5033084500.0,,5033084500.0,
Trung tâm phát triển quỹ đất huyện Chi Lăng,Trung tâm phát triển quỹ đất huyện Chi Lăng,Trung tâm phát triển quỹ đất huyện Chi Lăng,4.860.513.038,-,4.860.513.038,-,4860513038.0,,4860513038.0,
Khác,Khác,Khác,3.168.918.662,-,2.532.135.962,-,3168918662.0,,2532135962.0,
Cộng,Cộng,Cộng,630.071.261.872,-,198.827.915.797,-,630071261872.0,,198827915797.0,
