row_label_raw,row_label_full,col_0,Vốn đầu tư của chủ sở hữu VND,Thặng dư vốn cổ phần VND,Quỹ đầu tư phát triển VND,Quỹ khác thuộc vốn chủ sở hữu VND,Lợi nhuận chưa phân phối VND,Lợi ích cổ đông không kiểm soát VND,Nguồn kinh phí và quỹ khác (*) VND,Tổng cộng VND,numeric__Vốn đầu tư của chủ sở hữu VND,numeric__Thặng dư vốn cổ phần VND,numeric__Quỹ đầu tư phát triển VND,numeric__Quỹ khác thuộc vốn chủ sở hữu VND,numeric__Lợi nhuận chưa phân phối VND,numeric__Lợi ích cổ đông không kiểm soát VND,numeric__Nguồn kinh phí và quỹ khác (*) VND,numeric__Tổng cộng VND
Tại ngày 01.01.2023,Tại ngày 01.01.2023,Tại ngày 01.01.2023,3.078.044.500.000,(537.900.000),7.148.483.380,-,820.521.267.159,1.197.528.616.033,3.272.808.312.802,8.375.513.279.374,3078044500000.0,-537900000.0,7148483380.0,,820521267159.0,1197528616033.0,3272808312802.0,8375513279374.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,,,,,268.472.448.804,40.809.334.858,,309.281.783.662,,,,,268472448804.0,40809334858.0,,309281783662.0
Trả thù lao cho HĐQT&BKS,Trả thù lao cho HĐQT&BKS,Trả thù lao cho HĐQT&BKS,,,,,(1.431.000.000),,,(1.431.000.000),,,,,-1431000000.0,,,-1431000000.0
Trích quỹ Đầu tư phát triển,Trích quỹ Đầu tư phát triển,Trích quỹ Đầu tư phát triển,,,1.673.972.699,,(1.673.972.699),,,-,,,1673972699.0,,-1673972699.0,,,
Trích quỹ khen thưởng phúc lợi,Trích quỹ khen thưởng phúc lợi,Trích quỹ khen thưởng phúc lợi,,,,,(5.021.918.096),,,(5.021.918.096),,,,,-5021918096.0,,,-5021918096.0
Chia cổ tức bằng cổ phiếu,Chia cổ tức bằng cổ phiếu,Chia cổ tức bằng cổ phiếu,215.459.010.000,,,,(215.459.010.000),,,-,215459010000.0,,,,-215459010000.0,,,
Thay đổi lợi ích cổ đông không kiểm soát,Thay đổi lợi ích cổ đông không kiểm soát,Thay đổi lợi ích cổ đông không kiểm soát,,,,,3.317.278.463,(3.117.528.138),,199.750.325,,,,,3317278463.0,-3117528138.0,,199750325.0
Tại ngày 31.12.2023,Tại ngày 31.12.2023,Tại ngày 31.12.2023,3.293.503.510.000,(537.900.000),8.822.456.079,-,868.725.093.631,1.235.220.422.753,3.272.808.312.802,8.678.541.895.265,3293503510000.0,-537900000.0,8822456079.0,,868725093631.0,1235220422753.0,3272808312802.0,8678541895265.0
Tại ngày 01.01.2024,Tại ngày 01.01.2024,Tại ngày 01.01.2024,3.293.503.510.000,(876.900.000),8.822.456.079,-,921.898.501.789,1.236.745.448.794,3.272.808.312.802,8.732.901.329.464,3293503510000.0,-876900000.0,8822456079.0,,921898501789.0,1236745448794.0,3272808312802.0,8732901329464.0
Tăng vốn trong năm,Tăng vốn trong năm,Tăng vốn trong năm,823.298.180.000,6.956.562.000,-,-,-,-,-,830.254.742.000,823298180000.0,6956562000.0,,,,,,830254742000.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,-,426.416.159.039,68.688.669.026,-,495.104.828.065,,,,,426416159039.0,68688669026.0,,495104828065.0
Trả thù lao cho HĐQT&BKS (1),Trả thù lao cho HĐQT&BKS (1),Trả thù lao cho HĐQT&BKS (1),-,-,-,-,(1.908.000.000),-,-,(1.908.000.000),,,,,-1908000000.0,,,-1908000000.0
Trích quỹ dự trữ bổ sung vốn điều lệ (2),Trích quỹ dự trữ bổ sung vốn điều lệ (2),Trích quỹ dự trữ bổ sung vốn điều lệ (2),-,-,-,1.739.172.300,(1.739.172.300),-,-,-,,,,1739172300.0,-1739172300.0,,,
Chia cổ tức bằng cổ phiếu (3),Chia cổ tức bằng cổ phiếu (3),Chia cổ tức bằng cổ phiếu (3),205.753.590.000,-,-,-,(205.753.590.000),-,-,-,205753590000.0,,,,-205753590000.0,,,
Tăng khác (4),Tăng khác (4),Tăng khác (4),,,,,,,900.281.000.000,900.281.000.000,,,,,,,900281000000.0,900281000000.0
Giảm khác (5),Giảm khác (5),Giảm khác (5),,,,,,,(165.005.440.257),(165.005.440.257),,,,,,,-165005440257.0,-165005440257.0
Thay đổi lợi ích cổ đông không kiểm soát,Thay đổi lợi ích cổ đông không kiểm soát,Thay đổi lợi ích cổ đông không kiểm soát,-,-,-,-,(22.203.222.831),160.201.713.654,-,137.998.490.823,,,,,-22203222831.0,160201713654.0,,137998490823.0
Tại ngày 31.12.2024,Tại ngày 31.12.2024,Tại ngày 31.12.2024,4.322.555.280.000,6.079.662.000,8.822.456.079,1.739.172.300,1.116.710.675.697,1.465.635.831.474,4.008.083.872.545,10.929.626.950.095,4322555280000.0,6079662000.0,8822456079.0,1739172300.0,1116710675697.0,1465635831474.0,4008083872545.0,10929626950095.0
