row_label_raw,row_label_full,col_0,Năm tài chínhkết thúc ngày 31 tháng 12 năm,Năm tài chínhkết thúc ngày 31 tháng 12 năm_1,numeric__Năm tài chínhkết thúc ngày 31 tháng 12 năm,numeric__Năm tài chínhkết thúc ngày 31 tháng 12 năm_1
,,,2024VND,2023VND,,
Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,3.308.251.591.277,2.685.542.239.251,3308251591277.0,2685542239251.0
Doanh thu các trạm thu phí BOT,Doanh thu các trạm thu phí BOT,Doanh thu các trạm thu phí BOT,1.909.160.130.563,1.572.642.616.928,1909160130563.0,1572642616928.0
Doanh thu xây lắp,Doanh thu xây lắp,Doanh thu xây lắp,1.151.845.561.043,1.047.328.437.548,1151845561043.0,1047328437548.0
"Doanh thu duy tu bảo dưỡng hầm, đường","Doanh thu duy tu bảo dưỡng hầm, đường","Doanh thu duy tu bảo dưỡng hầm, đường",65.507.830.764,29.063.439.057,65507830764.0,29063439057.0
Doanh thu cung cấp dịch vụ trung chuyển,Doanh thu cung cấp dịch vụ trung chuyển,Doanh thu cung cấp dịch vụ trung chuyển,20.325.723.896,20.915.838.636,20325723896.0,20915838636.0
Doanh thu khác,Doanh thu khác,Doanh thu khác,161.412.345.011,15.591.907.082,161412345011.0,15591907082.0
Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,-,-,,
Doanh thu thuần,Các khoản giảm trừ doanh thu > Doanh thu thuần,Doanh thu thuần,3.308.251.591.277,2.685.542.239.251,3308251591277.0,2685542239251.0
Trong đó doanh thu đối với các bên liên quan,Các khoản giảm trừ doanh thu > Trong đó doanh thu đối với các bên liên quan,Trong đó doanh thu đối với các bên liên quan,564.164.078.589,848.198.579.841,564164078589.0,848198579841.0
Doanh thu xây lắp,Các khoản giảm trừ doanh thu > Doanh thu xây lắp,Doanh thu xây lắp,415.390.961.684,829.711.961.943,415390961684.0,829711961943.0
"Doanh thu duy tu bảo dưỡng hầm, đường","Các khoản giảm trừ doanh thu > Doanh thu duy tu bảo dưỡng hầm, đường","Doanh thu duy tu bảo dưỡng hầm, đường",46.846.339.620,11.606.171.330,46846339620.0,11606171330.0
Doanh thu khác,Các khoản giảm trừ doanh thu > Doanh thu khác,Doanh thu khác,101.926.777.285,6.880.446.568,101926777285.0,6880446568.0
