row_label_raw,row_label_full,col_0,31.12.2024 > Giá trị VND,31.12.2024 > Sô có khả năng trả nợ VND,01.01.2024 > Giá trị VND,01.01.2024 > Sô có khả năng trả nợ VND,numeric__31.12.2024 > Giá trị VND,numeric__31.12.2024 > Sô có khả năng trả nợ VND,numeric__01.01.2024 > Giá trị VND,numeric__01.01.2024 > Sô có khả năng trả nợ VND
Bên liên quan,Bên liên quan,Bên liên quan,316.418.109.595,316.418.109.595,523.786.807.771,523.786.807.771,316418109595.0,316418109595.0,523786807771.0,523786807771.0
Công ty Cổ phần Tập đoàn Đèo Cả,Công ty Cổ phần Tập đoàn Đèo Cả,Công ty Cổ phần Tập đoàn Đèo Cả,255.201.333.193,255.201.333.193,427.716.238.600,427.716.238.600,255201333193.0,255201333193.0,427716238600.0,427716238600.0
Công ty Cổ phần Quản lý và Khai thác Đường Cao tốc Đèo Cả,Công ty Cổ phần Quản lý và Khai thác Đường Cao tốc Đèo Cả,Công ty Cổ phần Quản lý và Khai thác Đường Cao tốc Đèo Cả,29.641.848.407,29.641.848.407,25.690.742.779,25.690.742.779,29641848407.0,29641848407.0,25690742779.0,25690742779.0
Công ty Cổ phần An Ninh Đèo Cả,Công ty Cổ phần An Ninh Đèo Cả,Công ty Cổ phần An Ninh Đèo Cả,13.724.616.640,13.724.616.640,13.137.122.556,13.137.122.556,13724616640.0,13724616640.0,13137122556.0,13137122556.0
Công ty Cổ phần Đầu tư và Xây dựng ICV Việt Nam,Công ty Cổ phần Đầu tư và Xây dựng ICV Việt Nam,Công ty Cổ phần Đầu tư và Xây dựng ICV Việt Nam,17.850.311.355,17.850.311.355,13.543.989.995,13.543.989.995,17850311355.0,17850311355.0,13543989995.0,13543989995.0
Công ty Cổ phần Xây dựng Đèo Cả,Công ty Cổ phần Xây dựng Đèo Cả,Công ty Cổ phần Xây dựng Đèo Cả,-,-,43.698.713.841,43.698.713.841,,,43698713841.0,43698713841.0
Bên thứ ba,Bên thứ ba,Bên thứ ba,586.433.016.779,586.433.016.779,582.099.235.127,582.099.235.127,586433016779.0,586433016779.0,582099235127.0,582099235127.0
Công ty Cổ phần Xây dựng Đèo Cả,Công ty Cổ phần Xây dựng Đèo Cả,Công ty Cổ phần Xây dựng Đèo Cả,110.174.790.905,110.174.790.905,-,-,110174790905.0,110174790905.0,,
Công ty TNHH Hòa Hiệp,Công ty TNHH Hòa Hiệp,Công ty TNHH Hòa Hiệp,56.746.314.256,56.746.314.256,56.746.314.256,56.746.314.256,56746314256.0,56746314256.0,56746314256.0,56746314256.0
Công ty TNHH MTV Minh Đăng,Công ty TNHH MTV Minh Đăng,Công ty TNHH MTV Minh Đăng,55.680.525.242,55.680.525.242,55.680.525.242,55.680.525.242,55680525242.0,55680525242.0,55680525242.0,55680525242.0
Công ty TNHH MTV Xây dựng 470,Công ty TNHH MTV Xây dựng 470,Công ty TNHH MTV Xây dựng 470,28.971.947.611,28.971.947.611,29.971.947.611,29.971.947.611,28971947611.0,28971947611.0,29971947611.0,29971947611.0
Công ty TNHH Xây dựng Tổng hợp Đồng Hới,Công ty TNHH Xây dựng Tổng hợp Đồng Hới,Công ty TNHH Xây dựng Tổng hợp Đồng Hới,20.233.539.459,20.233.539.459,21.533.539.459,21.533.539.459,20233539459.0,20233539459.0,21533539459.0,21533539459.0
Công ty Cổ phần Giao thông Xây dựng Sô 1,Công ty Cổ phần Giao thông Xây dựng Sô 1,Công ty Cổ phần Giao thông Xây dựng Sô 1,19.705.171.053,19.705.171.053,19.705.171.053,19.705.171.053,19705171053.0,19705171053.0,19705171053.0,19705171053.0
Công ty Cổ phần Nam Tân,Công ty Cổ phần Nam Tân,Công ty Cổ phần Nam Tân,13.243.783.828,13.243.783.828,13.243.783.828,13.243.783.828,13243783828.0,13243783828.0,13243783828.0,13243783828.0
Tổng Công ty Xây dựng Lũng Lô,Tổng Công ty Xây dựng Lũng Lô,Tổng Công ty Xây dựng Lũng Lô,12.000.378.308,12.000.378.308,12.000.378.308,12.000.378.308,12000378308.0,12000378308.0,12000378308.0,12000378308.0
Công ty Cổ phần Tập đoàn Trí Nam,Công ty Cổ phần Tập đoàn Trí Nam,Công ty Cổ phần Tập đoàn Trí Nam,10.151.710.240,10.151.710.240,14.251.710.240,14.251.710.240,10151710240.0,10151710240.0,14251710240.0,14251710240.0
Công ty Cổ phần Thương mại và Xây dựng Hoàng Long,Công ty Cổ phần Thương mại và Xây dựng Hoàng Long,Công ty Cổ phần Thương mại và Xây dựng Hoàng Long,9.826.427.702,9.826.427.702,9.826.427.702,9.826.427.702,9826427702.0,9826427702.0,9826427702.0,9826427702.0
Công ty Cổ phần Đầu tư truyền thông Việt,Công ty Cổ phần Đầu tư truyền thông Việt,Công ty Cổ phần Đầu tư truyền thông Việt,7.088.960.120,7.088.960.120,5.865.435.620,5.865.435.620,7088960120.0,7088960120.0,5865435620.0,5865435620.0
Công ty Cổ phần xây dựng Đức Nhì,Công ty Cổ phần xây dựng Đức Nhì,Công ty Cổ phần xây dựng Đức Nhì,6.365.247.780,6.365.247.780,-,-,6365247780.0,6365247780.0,,
Công ty TNHH Đông Thuận Hà,Công ty TNHH Đông Thuận Hà,Công ty TNHH Đông Thuận Hà,5.637.815.046,5.637.815.046,-,-,5637815046.0,5637815046.0,,
Công ty Cổ phần Xây lắp và Thương mại Dịch vụ Tân Khang,Công ty Cổ phần Xây lắp và Thương mại Dịch vụ Tân Khang,Công ty Cổ phần Xây lắp và Thương mại Dịch vụ Tân Khang,5.375.214.423,5.375.214.423,-,-,5375214423.0,5375214423.0,,
Đối tượng khác,Đối tượng khác,Đối tượng khác,225.231.190.806,225.231.190.806,343.274.001.808,343.274.001.808,225231190806.0,225231190806.0,343274001808.0,343274001808.0
Cộng,Cộng,Cộng,902.851.126.374,902.851.126.374,1.105.886.042.898,1.105.886.042.898,902851126374.0,902851126374.0,1105886042898.0,1105886042898.0
