row_label_raw,row_label_full,col_0,Tại ngày31.12.2024VND,Lãi từ giaodịch mua giárềVND,Các khoản điều chỉnhtăng/(giảm)VND,Phân chia lãi (lỗ) từcác công ty liêndoanh liên kếtVND,Tại ngày01.01.2024VND,numeric__Tại ngày31.12.2024VND,numeric__Lãi từ giaodịch mua giárềVND,numeric__Các khoản điều chỉnhtăng/(giảm)VND,numeric__Phân chia lãi (lỗ) từcác công ty liêndoanh liên kếtVND,numeric__Tại ngày01.01.2024VND
Công ty Cổ phần Đầu tư BOTĐèo Cả Khánh Hòa,Công ty Cổ phần Đầu tư BOTĐèo Cả Khánh Hòa,Công ty Cổ phần Đầu tư BOTĐèo Cả Khánh Hòa,469.163.318.929,-,-,58.688.021.149,410.475.297.780,469163318929.0,,,58688021149.0,410475297780.0
Công ty Cổ phần Cao tốc CamLâm – Vĩnh Hảo (i),Công ty Cổ phần Cao tốc CamLâm – Vĩnh Hảo (i),Công ty Cổ phần Cao tốc CamLâm – Vĩnh Hảo (i),409.924.428.536,18.524.428.536,391.400.000.000,,-,409924428536.0,18524428536.0,391400000000.0,,
Công ty Cổ phần Cao tốc ĐồngĐăng - Trà Lĩnh (ii),Công ty Cổ phần Cao tốc ĐồngĐăng - Trà Lĩnh (ii),Công ty Cổ phần Cao tốc ĐồngĐăng - Trà Lĩnh (ii),20.000.000.000,,20.000.000.000,,-,20000000000.0,,20000000000.0,,
Công ty Cổ phần BOT Bắc Giang- Lạng Sơn - Hữu Nghị (iii),Công ty Cổ phần BOT Bắc Giang- Lạng Sơn - Hữu Nghị (iii),Công ty Cổ phần BOT Bắc Giang- Lạng Sơn - Hữu Nghị (iii),45.029.984.200,-,(10.116.000.000),(860.132.539),56.006.116.739,45029984200.0,,-10116000000.0,-860132539.0,56006116739.0
Cộng,Cộng,Cộng,944.117.731.665,18.524.428.536,401.284.000.000,57.827.888.610,466.481.414.519,944117731665.0,18524428536.0,401284000000.0,57827888610.0,466481414519.0
