row_label_raw,row_label_full,col_0,31.12.2024 > Giá trị VND,31.12.2024 > Số có khả năng trả nợ VND,01.01.2024 > Giá trị VND,01.01.2024 > Số có khả năng trả nợ VND,numeric__31.12.2024 > Giá trị VND,numeric__31.12.2024 > Số có khả năng trả nợ VND,numeric__01.01.2024 > Giá trị VND,numeric__01.01.2024 > Số có khả năng trả nợ VND
Bên liên quan,Bên liên quan,Bên liên quan,2.719.148.000,2.719.148.000,2.719.148.000,2.719.148.000,2719148000.0,2719148000.0,2719148000.0,2719148000.0
Công ty Cổ phần Đầu tư và Xây dựng ICV Việt Nam,Công ty Cổ phần Đầu tư và Xây dựng ICV Việt Nam,Công ty Cổ phần Đầu tư và Xây dựng ICV Việt Nam,2.719.148.000,2.719.148.000,2.719.148.000,2.719.148.000,2719148000.0,2719148000.0,2719148000.0,2719148000.0
Bên thứ ba,Bên thứ ba,Bên thứ ba,282.809.463.856,282.809.463.856,362.364.750.327,362.364.750.327,282809463856.0,282809463856.0,362364750327.0,362364750327.0
Chi nhánh Công ty TNHH MTV BCA Thăng Long - Xí nghiệp Đại Việt,Chi nhánh Công ty TNHH MTV BCA Thăng Long - Xí nghiệp Đại Việt,Chi nhánh Công ty TNHH MTV BCA Thăng Long - Xí nghiệp Đại Việt,71.873.463.105,71.873.463.105,92.873.463.105,92.873.463.105,71873463105.0,71873463105.0,92873463105.0,92873463105.0
Công ty TNHH APAVE Châu Á - Thái Bình Dương,Công ty TNHH APAVE Châu Á - Thái Bình Dương,Công ty TNHH APAVE Châu Á - Thái Bình Dương,19.146.941.214,19.146.941.214,19.646.941.214,19.646.941.214,19146941214.0,19146941214.0,19646941214.0,19646941214.0
Công ty Cổ phần Kỹ thuật Công nghiệp Á Châu,Công ty Cổ phần Kỹ thuật Công nghiệp Á Châu,Công ty Cổ phần Kỹ thuật Công nghiệp Á Châu,18.019.220.715,18.019.220.715,18.019.220.715,18.019.220.715,18019220715.0,18019220715.0,18019220715.0,18019220715.0
Công ty TNHH MTV BCA - Thăng Long,Công ty TNHH MTV BCA - Thăng Long,Công ty TNHH MTV BCA - Thăng Long,13.598.789.078,13.598.789.078,20.003.227.353,20.003.227.353,13598789078.0,13598789078.0,20003227353.0,20003227353.0
Công ty TNHH NIPPON KOEI Việt Nam Internationalllc,Công ty TNHH NIPPON KOEI Việt Nam Internationalllc,Công ty TNHH NIPPON KOEI Việt Nam Internationalllc,11.770.805.441,11.770.805.441,13.069.057.653,13.069.057.653,11770805441.0,11770805441.0,13069057653.0,13069057653.0
Công ty Cổ phần Xây dựng và Đầu tư 492,Công ty Cổ phần Xây dựng và Đầu tư 492,Công ty Cổ phần Xây dựng và Đầu tư 492,8.594.572.647,8.594.572.647,8.594.572.647,8.594.572.647,8594572647.0,8594572647.0,8594572647.0,8594572647.0
Công ty Cổ phần Xây dựng và Nhân lực Việt Nam Đối tượng khác,Công ty Cổ phần Xây dựng và Nhân lực Việt Nam Đối tượng khác,Công ty Cổ phần Xây dựng và Nhân lực Việt Nam Đối tượng khác,6.649.125.023,6.649.125.023,6.649.125.023,6.649.125.023,6649125023.0,6649125023.0,6649125023.0,6649125023.0
Công ty Cổ phần Xây dựng và Nhân lực Việt Nam Đối tượng khác,Công ty Cổ phần Xây dựng và Nhân lực Việt Nam Đối tượng khác,Công ty Cổ phần Xây dựng và Nhân lực Việt Nam Đối tượng khác,133.156.546.633,133.156.546.633,183.509.142.617,183.509.142.617,133156546633.0,133156546633.0,183509142617.0,183509142617.0
Cộng,Cộng,Cộng,285.528.611.856,285.528.611.856,365.083.898.327,365.083.898.327,285528611856.0,285528611856.0,365083898327.0,365083898327.0
