row_label_raw,row_label_full,col_0,Vốn đầu tư của chủ SH VND,Chênh lệch tỷ giá hối doài VND,Quỹ đầu tư phát triển VND,Quỹ dự phòng tài chính VND,Lợi nhuận chưa phân phối VND,Tổng cộng VND,numeric__Vốn đầu tư của chủ SH VND,numeric__Chênh lệch tỷ giá hối doài VND,numeric__Quỹ đầu tư phát triển VND,numeric__Quỹ dự phòng tài chính VND,numeric__Lợi nhuận chưa phân phối VND,numeric__Tổng cộng VND
Số dư đầu năm trước,Số dư đầu năm trước,Số dư đầu năm trước,5.261.051.925.673,,1.878.360.870,3.807.513.417,(635.609.798.211),4.631.128.001.749,5261051925673.0,,1878360870.0,3807513417.0,-635609798211.0,4631128001749.0
Tăng vốn trong năm trước,Tăng vốn trong năm trước,Tăng vốn trong năm trước,68.077.403.000,,-,-,-,68.077.403.000,68077403000.0,,,,,68077403000.0
Lãi trong năm trước,Lãi trong năm trước,Lãi trong năm trước,-,,-,-,217.280.268.052,217.280.268.052,,,,,217280268052.0,217280268052.0
Tăng khác,Tăng khác,Tăng khác,-,,3.807.513.417,-,-,3.807.513.417,,,3807513417.0,,,3807513417.0
Giảm vốn trong năm trước,Giảm vốn trong năm trước,Giảm vốn trong năm trước,-,,-,-,-,-,,,,,,
Lỗ trong năm trước,Lỗ trong năm trước,Lỗ trong năm trước,-,,-,-,-,-,,,,,,
Giảm khác,Lỗ trong năm trước > Giảm khác,Giảm khác,-,,-,(3.807.513.417),-,(3.807.513.417),,,,-3807513417.0,,-3807513417.0
Số dư cuối năm trước/đầu năm này,Lỗ trong năm trước > Số dư cuối năm trước/đầu năm này,Số dư cuối năm trước/đầu năm này,5.329.129.328.673,,5.685.874.287,-,(370.083.950.709),4.964.731.252.251,5329129328673.0,,5685874287.0,,-370083950709.0,4964731252251.0
Tăng vốn trong năm này,Lỗ trong năm trước > Tăng vốn trong năm này,Tăng vốn trong năm này,1.103.221.849.850,,-,-,-,1.103.221.849.850,1103221849850.0,,,,,1103221849850.0
Lãi trong năm này,Lãi trong năm này,Lãi trong năm này,-,,-,-,-,-,,,,,,
Tăng khác,Lãi trong năm này > Tăng khác,Tăng khác,4.616.147.274,,-,-,-,4.616.147.274,4616147274.0,,,,,4616147274.0
Giảm vốn trong năm này,Giảm vốn trong năm này,Giảm vốn trong năm này,-,,-,-,-,-,,,,,,
Lỗ trong năm này,Giảm vốn trong năm này > Lỗ trong năm này,Lỗ trong năm này,-,,-,-,(457.974.943.977),(457.974.943.977),,,,,-457974943977.0,-457974943977.0
Giảm khác,Giảm vốn trong năm này > Giảm khác,Giảm khác,-,,(4.616.147.274),-,-,(4.616.147.274),,,-4616147274.0,,,-4616147274.0
Số dư cuối năm này,Giảm vốn trong năm này > Số dư cuối năm này,Số dư cuối năm này,6.436.967.325.797,,1.069.727.013,-,(828.058.894.686),5.609.978.158.124,6436967325797.0,,1069727013.0,,-828058894686.0,5609978158124.0
