row_label_raw,row_label_full,col_0,Giá trị ghi số > 31/12/2015,Giá trị ghi số > 01/01/2015,Giá trị hợp lý > 31/12/2015,Giá trị hợp lý > 01/01/2015,numeric__Giá trị ghi số > 31/12/2015,numeric__Giá trị ghi số > 01/01/2015,numeric__Giá trị hợp lý > 31/12/2015,numeric__Giá trị hợp lý > 01/01/2015
Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,,,,
Các khoản đầu tư nằm giữ đến ngày đáo hạn,Các khoản đầu tư nằm giữ đến ngày đáo hạn,Các khoản đầu tư nằm giữ đến ngày đáo hạn,-,-,-,,,,,
Các khoản cho vay và phải thu,Các khoản cho vay và phải thu,Các khoản cho vay và phải thu,Các khoản cho vay và phải thu,Các khoản cho vay và phải thu,Các khoản cho vay và phải thu,Các khoản cho vay và phải thu,,,,
Phải thu khách hàng,Các khoản cho vay và phải thu > Phải thu khách hàng,Phải thu khách hàng,1.903.527.503.268,1.360.226.694.556,1.898.466.173.268,1.355.165.364.556,1903527503268.0,1360226694556.0,1898466173268.0,1355165364556.0
Các khoản PT khác,Các khoản cho vay và phải thu > Các khoản PT khác,Các khoản PT khác,291.536.271.903,319.114.000.631,291.536.271.903,319.114.000.631,291536271903.0,319114000631.0,291536271903.0,319114000631.0
Tài sản tài chính sẵn sàng để bán,Tài sản tài chính sẵn sàng để bán,Tài sản tài chính sẵn sàng để bán,Tài sản tài chính sẵn sàng để bán,Tài sản tài chính sẵn sàng để bán,Tài sản tài chính sẵn sàng để bán,Tài sản tài chính sẵn sàng để bán,,,,
Tiền và các khoản tương đương tiền,Tài sản tài chính sẵn sàng để bán > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,52.042.277.772,53.235.625.153,52.042.277.772,53.235.625.153,52042277772.0,53235625153.0,52042277772.0,53235625153.0
Tổng cộng,Tài sản tài chính sẵn sàng để bán > Tổng cộng,Tổng cộng,2.247.106.052.943,1.732.576.320.340,2.242.044.722.943,1.727.514.990.340,2247106052943.0,1732576320340.0,2242044722943.0,1727514990340.0
Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,,,,
Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,,,,
Vay và nợ,Nợ phải trả tài chính > Vay và nợ,Vay và nợ,15.958.625.210.708,17.004.949.392.692,15.958.625.210.708,17.004.949.392.692,15958625210708.0,17004949392692.0,15958625210708.0,17004949392692.0
Phải trả người bán,Nợ phải trả tài chính > Phải trả người bán,Phải trả người bán,1.605.711.294.245,1.425.375.710.612,1.605.711.294.245,1.425.375.710.612,1605711294245.0,1425375710612.0,1605711294245.0,1425375710612.0
Phải trả khác,Nợ phải trả tài chính > Phải trả khác,Phải trả khác,433.564.527.558,1.543.210.199.595,433.564.527.558,1.543.210.199.595,433564527558.0,1543210199595.0,433564527558.0,1543210199595.0
Tổng cộng,Nợ phải trả tài chính > Tổng cộng,Tổng cộng,17.997.901.032.511,19.973.535.302.899,17.997.901.032.511,19.973.535.302.899,17997901032511.0,19973535302899.0,17997901032511.0,19973535302899.0
