row_label_raw,row_label_full,col_0,Than VND,Điện VND,Khác VND,Tổng cộng VND,numeric__Than VND,numeric__Điện VND,numeric__Khác VND,numeric__Tổng cộng VND
Năm 2014,Năm 2014,Năm 2014,Năm 2014,Năm 2014,Năm 2014,Năm 2014,,,,
Doanh thu,Năm 2014 > Doanh thu,Doanh thu,101.116.325.268,6.112.037.718.009,543.646.455.158,6.756.800.498.435,101116325268.0,6112037718009.0,543646455158.0,6756800498435.0
Các khoản giảm trừ,Các khoản giảm trừ,Các khoản giảm trừ,-,-,-,-,,,,
Giá vốn hàng bán,Các khoản giảm trừ > Giá vốn hàng bán,Giá vốn hàng bán,101.116.325.268,5.077.692.697.064,542.457.910.073,5.721.266.932.405,101116325268.0,5077692697064.0,542457910073.0,5721266932405.0
Lợi nhuận gộp,Các khoản giảm trừ > Lợi nhuận gộp,Lợi nhuận gộp,-,1.034.345.020.945,1.188.545.085,1.035.533.566.030,,1034345020945.0,1188545085.0,1035533566030.0
Năm 2015,Năm 2015,Năm 2015,Năm 2015,Năm 2015,Năm 2015,Năm 2015,,,,
Doanh thu,Năm 2015 > Doanh thu,Doanh thu,93.624.013.329,6.513.759.020.887,694.829.547.057,7.302.212.581.273,93624013329.0,6513759020887.0,694829547057.0,7302212581273.0
Các khoản giảm trừ,Các khoản giảm trừ,Các khoản giảm trừ,-,-,-,-,,,,
Giá vốn hàng bán,Các khoản giảm trừ > Giá vốn hàng bán,Giá vốn hàng bán,93.624.013.329,5.323.987.801.765,692.965.898.353,6.110.577.713.447,93624013329.0,5323987801765.0,692965898353.0,6110577713447.0
Lợi nhuận gộp,Các khoản giảm trừ > Lợi nhuận gộp,Lợi nhuận gộp,-,1.189.771.219.122,1.863.648.704,1.191.634.867.826,,1189771219122.0,1863648704.0,1191634867826.0
