row_label_raw,row_label_full,Chỉ tiêu,Số liệu tại ngày 31/12/2014trên BCTC đãđược kiểm toán,Số liệu thay đổităng/ giảm,Số liệu tại ngày 01/01/2015trên BCTC đãđược trình bày lại,numeric__Số liệu tại ngày 31/12/2014trên BCTC đãđược kiểm toán,numeric__Số liệu thay đổităng/ giảm,numeric__Số liệu tại ngày 01/01/2015trên BCTC đãđược trình bày lại
Phải thu về cho vay dài hạn,Phải thu về cho vay dài hạn,Phải thu về cho vay dài hạn,-,3.374.776.822.477,3.374.776.822.477,,3374776822477.0,3374776822477.0
Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,-,1.003.406.910.000,1.003.406.910.000,,1003406910000.0,1003406910000.0
Phải thu nội bộ ngắn hạn,Phải thu nội bộ ngắn hạn,Phải thu nội bộ ngắn hạn,620.696.934,(620.696.934),-,620696934.0,-620696934.0,
Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,290.245.049.621,1.262.866.708,291.507.916.329,290245049621.0,1262866708.0,291507916329.0
Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,642.169.774,(642.169.774),-,642169774.0,-642169774.0,
Hàng tồn kho,Hàng tồn kho,Hàng tồn kho,334.081.146.854,(200.305.121.342),133.776.025.512,334081146854.0,-200305121342.0,133776025512.0
"Thiết bị, vật tư, phụ tùngthay thế dài hạn","Thiết bị, vật tư, phụ tùngthay thế dài hạn","Thiết bị, vật tư, phụ tùngthay thế dài hạn",-,200.305.121.342,200.305.121.342,,200305121342.0,200305121342.0
Tài sản dài hạn khác,Tài sản dài hạn khác,Tài sản dài hạn khác,765.552.378,(765.552.378),-,765552378.0,-765552378.0,
Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,-,765.552.378,765.552.378,,765552378.0,765552378.0
NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,,,
Phải trả nội bộ ngắn hạn,NỘ PHẢI TRẢ > Phải trả nội bộ ngắn hạn,Phải trả nội bộ ngắn hạn,44.795.780.239,(44.795.780.239),-,44795780239.0,-44795780239.0,
Phải trả ngắn hạn khác,NỘ PHẢI TRẢ > Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,33.747.747.586,44.795.780.239,78.543.527.825,33747747586.0,44795780239.0,78543527825.0
Vay và nợ ngắn hạn,NỘ PHẢI TRẢ > Vay và nợ ngắn hạn,Vay và nợ ngắn hạn,306.374.968.317,(306.374.968.317),-,306374968317.0,-306374968317.0,
Vay và nợ thuê tài chính ngắn hạn,NỘ PHẢI TRẢ > Vay và nợ thuê tài chính ngắn hạn,Vay và nợ thuê tài chính ngắn hạn,-,1.963.301.385.822,1.963.301.385.822,,1963301385822.0,1963301385822.0
Vay và nợ dài hạn,NỘ PHẢI TRẢ > Vay và nợ dài hạn,Vay và nợ dài hạn,16.698.574.424.375,(16.698.574.424.375),-,16698574424375.0,-16698574424375.0,
Vay và nợ thuê tài chính Dài hạn,NỘ PHẢI TRẢ > Vay và nợ thuê tài chính Dài hạn,Vay và nợ thuê tài chính Dài hạn,-,15.041.648.006.870,15.041.648.006.870,,15041648006870.0,15041648006870.0
