row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcVND","Máy móc, trangthiết bịVND",Phương tiệnvận tảiVND,Thiết bịvăn phòngVND,TSCĐ khácVND,Tổng cộngVND,"numeric__Nhà cửa,vật kiến trúcVND","numeric__Máy móc, trangthiết bịVND",numeric__Phương tiệnvận tảiVND,numeric__Thiết bịvăn phòngVND,numeric__TSCĐ khácVND,numeric__Tổng cộngVND
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,3.191.060.271.836,13.004.473.355.999,477.697.867.973,71.822.891.083,425.852.792.249,17.170.907.179.140,3191060271836.0,13004473355999.0,477697867973.0,71822891083.0,425852792249.0,17170907179140.0
- Mua trong năm,NGUYÊN GIÁ > - Mua trong năm,- Mua trong năm,-,1.168.180.000,4.377.829.092,54.250.000,901.740.000,6.501.999.092,,1168180000.0,4377829092.0,54250000.0,901740000.0,6501999092.0
- Đầu tư XDCB hoàn thành,NGUYÊN GIÁ > - Đầu tư XDCB hoàn thành,- Đầu tư XDCB hoàn thành,3.269.008.756.723,1.106.904.870.990,8.361.146.080,-,2.385.186.591,4.386.659.960.384,3269008756723.0,1106904870990.0,8361146080.0,,2385186591.0,4386659960384.0
- Tăng khác,NGUYÊN GIÁ > - Tăng khác,- Tăng khác,-,-,15.804.180,-,-,15.804.180,,,15804180.0,,,15804180.0
"- Thanh lý, nhượng bán","- Thanh lý, nhượng bán","- Thanh lý, nhượng bán",-,-,-,-,-,-,,,,,,
- Giảm khác,"- Thanh lý, nhượng bán > - Giảm khác",- Giảm khác,257.919.929,-,-,-,-,257.919.929,257919929.0,,,,,257919929.0
Số dư cuối năm,"- Thanh lý, nhượng bán > Số dư cuối năm",Số dư cuối năm,6.459.811.108.630,14.112.546.406.989,490.452.647.325,71.877.141.083,429.139.718.840,21.563.827.022.867,6459811108630.0,14112546406989.0,490452647325.0,71877141083.0,429139718840.0,21563827022867.0
GIÁ TRỊ HAO MÒN,GIÁ TRỊ HAO MÒN,GIÁ TRỊ HAO MÒN,GIÁ TRỊ HAO MÒN,GIÁ TRỊ HAO MÒN,GIÁ TRỊ HAO MÒN,GIÁ TRỊ HAO MÒN,GIÁ TRỊ HAO MÒN,GIÁ TRỊ HAO MÒN,,,,,,
Số dư đầu năm,GIÁ TRỊ HAO MÒN > Số dư đầu năm,Số dư đầu năm,600.941.034.633,4.076.088.741.324,133.280.471.638,32.004.685.983,116.671.572.345,4.958.986.505.923,600941034633.0,4076088741324.0,133280471638.0,32004685983.0,116671572345.0,4958986505923.0
- Khấu hao trong năm,GIÁ TRỊ HAO MÒN > - Khấu hao trong năm,- Khấu hao trong năm,209.510.211.966,1.007.477.288.867,56.981.678.656,14.600.308.595,53.970.855.023,1.342.540.343.107,209510211966.0,1007477288867.0,56981678656.0,14600308595.0,53970855023.0,1342540343107.0
- Hao mòn trong năm,GIÁ TRỊ HAO MÒN > - Hao mòn trong năm,- Hao mòn trong năm,178.919.196,-,17.427.916,-,-,196.347.112,178919196.0,,17427916.0,,,196347112.0
- Tăng khác,- Tăng khác,- Tăng khác,-,-,-,-,-,-,,,,,,
"- Thanh lý, nhượng bán","- Thanh lý, nhượng bán","- Thanh lý, nhượng bán",-,-,-,-,-,-,,,,,,
- Giảm khác,- Giảm khác,- Giảm khác,-,-,-,-,-,-,,,,,,
Số dư cuối năm,- Giảm khác > Số dư cuối năm,Số dư cuối năm,810.630.165.795,5.083.566.030.191,190.279.578.210,46.604.994.578,170.642.427.368,6.301.723.196.142,810630165795.0,5083566030191.0,190279578210.0,46604994578.0,170642427368.0,6301723196142.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,,,
Tại ngày đầu năm,GIÁ TRỊ CÒN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,2.590.119.237.203,8.928.384.614.675,344.417.396.335,39.818.205.100,309.181.219.904,12.211.920.673.217,2590119237203.0,8928384614675.0,344417396335.0,39818205100.0,309181219904.0,12211920673217.0
Tại ngày cuối năm,GIÁ TRỊ CÒN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,5.649.180.942.835,9.028.980.376.798,300.173.069.115,25.272.146.505,258.497.291.472,15.262.103.826.725,5649180942835.0,9028980376798.0,300173069115.0,25272146505.0,258497291472.0,15262103826725.0
