row_label_raw,row_label_full,col_0,31/12/2015(VND) > Giá gốc,31/12/2015(VND) > Giá trị hợp lý,31/12/2015(VND) > Dự phòng,01/01/2015(VND) > Giá gốc,01/01/2015(VND) > Giá trị hợp lý,01/01/2015(VND) > Dự phòng,numeric__31/12/2015(VND) > Giá gốc,numeric__31/12/2015(VND) > Giá trị hợp lý,numeric__31/12/2015(VND) > Dự phòng,numeric__01/01/2015(VND) > Giá gốc,numeric__01/01/2015(VND) > Giá trị hợp lý,numeric__01/01/2015(VND) > Dự phòng
Ngắn hạn,Ngắn hạn,Ngắn hạn,-,-,-,-,-,-,,,,,,
Dài hạn,Ngắn hạn > Dài hạn,Dài hạn,2.824.554.177.495,1.929.634.628.854,(894.919.548.641),2.886.713.682.926,2.491.526.035.473,(395.187.647.453),2824554177495.0,1929634628854.0,-894919548641.0,2886713682926.0,2491526035473.0,-395187647453.0
Đầu tư góp vốn vào đơn vị khác,Ngắn hạn > Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,2.824.554.177.495,1.929.634.628.854,(894.919.548.641),2.886.713.682.926,2.491.526.035.473,(395.187.647.453),2824554177495.0,1929634628854.0,-894919548641.0,2886713682926.0,2491526035473.0,-395187647453.0
Đầu tư vào Công ty con:,Ngắn hạn > Đầu tư vào Công ty con:,Đầu tư vào Công ty con:,1.883.306.772.926,1.250.569.327.803,(632.737.445.123),1.883.306.772.926,1.540.298.906.990,343.007.865.936,1883306772926.0,1250569327803.0,-632737445123.0,1883306772926.0,1540298906990.0,343007865936.0
- Công ty CP Nhiệt điện Cẩm Phá,Ngắn hạn > - Công ty CP Nhiệt điện Cẩm Phá,- Công ty CP Nhiệt điện Cẩm Phá,1.757.179.069.334,1.169.724.627.683,(587.454.441.651),1.757.179.069.334,1.414.171.203.398,(343.007.865.936),1757179069334.0,1169724627683.0,-587454441651.0,1757179069334.0,1414171203398.0,-343007865936.0
- Công ty CP Than điện Nông Sơn,Ngắn hạn > - Công ty CP Than điện Nông Sơn,- Công ty CP Than điện Nông Sơn,126.127.703.592,80.844.700.120,(45.283.003.472),126.127.703.592,126.127.703.592,-,126127703592.0,80844700120.0,-45283003472.0,126127703592.0,126127703592.0,
Đầu tư vào đơn vị khác:,Ngắn hạn > Đầu tư vào đơn vị khác:,Đầu tư vào đơn vị khác:,941.247.404.569,679.065.301.051,(262.182.103.518),1.003.406.910.000,951.227.128.483,(52.179.781.517),941247404569.0,679065301051.0,-262182103518.0,1003406910000.0,951227128483.0,-52179781517.0
- Công ty TNHH Điện lực Vĩnh Tân,Ngắn hạn > - Công ty TNHH Điện lực Vĩnh Tân,- Công ty TNHH Điện lực Vĩnh Tân,102.906.094.569,102.906.094.569,-,37.065.600.000,37.065.600.000,,102906094569.0,102906094569.0,,37065600000.0,37065600000.0,
- Công ty CP Nhiệt điện Hải Phòng,Ngắn hạn > - Công ty CP Nhiệt điện Hải Phòng,- Công ty CP Nhiệt điện Hải Phòng,360.500.000.000,336.002.447.270,(24.497.552.730),360.500.000.000,360.500.000.000,,360500000000.0,336002447270.0,-24497552730.0,360500000000.0,360500000000.0,
- Công ty CP Nhiệt điện đầu khi Nhơn Trạch 2 (*),Ngắn hạn > - Công ty CP Nhiệt điện đầu khi Nhơn Trạch 2 (*),- Công ty CP Nhiệt điện đầu khi Nhơn Trạch 2 (*),-,-,,128.000.000.000,128.000.000.000,,,,,128000000000.0,128000000000.0,
- Công ty CP Nhiệt điện Quảng Ninh,Ngắn hạn > - Công ty CP Nhiệt điện Quảng Ninh,- Công ty CP Nhiệt điện Quảng Ninh,477.841.310.000,240.156.759.212,(237.684.550.788),477.841.310.000,425.661.528.483,(52.179.781.517),477841310000.0,240156759212.0,-237684550788.0,477841310000.0,425661528483.0,-52179781517.0
Cộng,Ngắn hạn > Cộng,Cộng,2.824.554.177.495,1.929.634.628.854,(894.919.548.641),2.886.713.682.926,2.491.526.035.473,(395.187.647.453),2824554177495.0,1929634628854.0,-894919548641.0,2886713682926.0,2491526035473.0,-395187647453.0
