row_label_raw,row_label_full,col_0,31/12/2015(VND) > Giá trị,31/12/2015(VND) > Số có khả năng trả nợ,01/01/2015(VND) > Giá trị,01/01/2015(VND) > Số có khả năng trả nợ,numeric__31/12/2015(VND) > Giá trị,numeric__31/12/2015(VND) > Số có khả năng trả nợ,numeric__01/01/2015(VND) > Giá trị,numeric__01/01/2015(VND) > Số có khả năng trả nợ
Các khoản phải trả người bán ngắn hạn,Các khoản phải trả người bán ngắn hạn,Các khoản phải trả người bán ngắn hạn,985.644.432.623,985.644.432.623,770.106.867.003,770.106.867.003,985644432623.0,985644432623.0,770106867003.0,770106867003.0
Chi tiết các khoản chiếm từ 10% tổng số phải trả,Chi tiết các khoản chiếm từ 10% tổng số phải trả,Chi tiết các khoản chiếm từ 10% tổng số phải trả,854.451.709.140,854.451.709.140,628.290.195.214,628.290.195.214,854451709140.0,854451709140.0,628290195214.0,628290195214.0
Công ty Kho vận và cảng Cẩm Phả,Công ty Kho vận và cảng Cẩm Phả,Công ty Kho vận và cảng Cẩm Phả,20.424.283.207,20.424.283.207,102.033.102.351,102.033.102.351,20424283207.0,20424283207.0,102033102351.0,102033102351.0
Tổng công ty Đông Bắc,Tổng công ty Đông Bắc,Tổng công ty Đông Bắc,154.474.335.499,154.474.335.499,121.392.642.696,121.392.642.696,154474335499.0,154474335499.0,121392642696.0,121392642696.0
Công ty Kho Vận Đá Bạc,Công ty Kho Vận Đá Bạc,Công ty Kho Vận Đá Bạc,42.904.809.529,42.904.809.529,191.735.829.844,191.735.829.844,42904809529.0,42904809529.0,191735829844.0,191735829844.0
Ban Điều hành Dự án Thiy điện Đồng Nai 5 Tổng công ty Sống Đà,Ban Điều hành Dự án Thiy điện Đồng Nai 5 Tổng công ty Sống Đà,Ban Điều hành Dự án Thiy điện Đồng Nai 5 Tổng công ty Sống Đà,572.705.030.074,572.705.030.074,213.128.620.323,213.128.620.323,572705030074.0,572705030074.0,213128620323.0,213128620323.0
LD HydroChina HuaDong và Tianjin Alstom Hydro,LD HydroChina HuaDong và Tianjin Alstom Hydro,LD HydroChina HuaDong và Tianjin Alstom Hydro,63.943.250.831,63.943.250.831,-,-,63943250831.0,63943250831.0,,
Phải trả các đối tượng khác,Phải trả các đối tượng khác,Phải trả các đối tượng khác,131.192.723.483,131.192.723.483,141.816.671.789,141.816.671.789,131192723483.0,131192723483.0,141816671789.0,141816671789.0
Các khoản phải trả người bán dài hạn,Các khoản phải trả người bán dài hạn,Các khoản phải trả người bán dài hạn,620.066.861.622,620.066.861.622,655.268.843.609,655.268.843.609,620066861622.0,620066861622.0,655268843609.0,655268843609.0
Nhà thầu SFECO,Nhà thầu SFECO,Nhà thầu SFECO,387.679.456.438,387.679.456.438,367.727.896.124,367.727.896.124,387679456438.0,387679456438.0,367727896124.0,367727896124.0
Công ty TNHH Công trình điện Harbine,Công ty TNHH Công trình điện Harbine,Công ty TNHH Công trình điện Harbine,232.387.405.184,232.387.405.184,220.427.804.917,220.427.804.917,232387405184.0,232387405184.0,220427804917.0,220427804917.0
Văn phòng điều hành BQLDA Mạo Khê,Văn phòng điều hành BQLDA Mạo Khê,Văn phòng điều hành BQLDA Mạo Khê,-,-,67.113.142.568,67.113.142.568,,,67113142568.0,67113142568.0
Cộng,Cộng,Cộng,1.605.711.294.245,1.605.711.294.245,1.425.375.710.612,1.425.375.710.612,1605711294245.0,1605711294245.0,1425375710612.0,1425375710612.0
