row_label_raw,row_label_full,col_0,31/12/2015(VND),31/12/2015(VND)_1,01/01/2015(VND),01/01/2015(VND)_1,numeric__31/12/2015(VND),numeric__31/12/2015(VND)_1,numeric__01/01/2015(VND),numeric__01/01/2015(VND)_1
,,,Giá gốc,Dự phòng,Giá gốc,Dự phòng,,,,
"a. Chi phí sản xuất, kinh doanh dở dang dài hạn","a. Chi phí sản xuất, kinh doanh dở dang dài hạn","a. Chi phí sản xuất, kinh doanh dở dang dài hạn",20.434.838.856,-,-,-,20434838856.0,,,
"Chi phí sản xuất, kinh doanh dở dang dài hạn","Chi phí sản xuất, kinh doanh dở dang dài hạn","Chi phí sản xuất, kinh doanh dở dang dài hạn",20.434.838.856,-,-,-,20434838856.0,,,
b. Xây dựng cơ bản dở dang,b. Xây dựng cơ bản dở dang,b. Xây dựng cơ bản dở dang,72.137.761.541,-,3.908.709.798.285,-,72137761541.0,,3908709798285.0,
- Mua sắm,- Mua sắm,- Mua sắm,-,-,-,-,,,,
- Xây dựng cơ bản,- Mua sắm > - Xây dựng cơ bản,- Xây dựng cơ bản,72.137.761.541,-,3.908.709.798.285,-,72137761541.0,,3908709798285.0,
Dự án Nhà máy Nhiệt điện Đồng Nai 5,- Mua sắm > Dự án Nhà máy Nhiệt điện Đồng Nai 5,Dự án Nhà máy Nhiệt điện Đồng Nai 5,23.532.072.980,-,3.272.757.903.371,-,23532072980.0,,3272757903371.0,
Dự án SG MB TT Điện Lực Vĩnh Tân,- Mua sắm > Dự án SG MB TT Điện Lực Vĩnh Tân,Dự án SG MB TT Điện Lực Vĩnh Tân,-,-,579.272.816.523,-,,,579272816523.0,
Dự án Nhà máy Nhiệt điện Quỳnh Lập,- Mua sắm > Dự án Nhà máy Nhiệt điện Quỳnh Lập,Dự án Nhà máy Nhiệt điện Quỳnh Lập,17.230.670.450,-,16.972.679.428,-,17230670450.0,,16972679428.0,
Dự án Nhà máy Nhiệt điện Na Dương 2,- Mua sắm > Dự án Nhà máy Nhiệt điện Na Dương 2,Dự án Nhà máy Nhiệt điện Na Dương 2,5.807.169.036,-,5.420.389.475,-,5807169036.0,,5420389475.0,
Dự án bãi thải xỉ NMNĐ Sơn Đông,- Mua sắm > Dự án bãi thải xỉ NMNĐ Sơn Đông,Dự án bãi thải xỉ NMNĐ Sơn Đông,-,-,4.052.405.296,-,,,4052405296.0,
"Bồi thường, GPMB khu đồ xỉ Đồng Giếng To","- Mua sắm > Bồi thường, GPMB khu đồ xỉ Đồng Giếng To","Bồi thường, GPMB khu đồ xỉ Đồng Giếng To",2.922.993.200,-,10.859.634.378,-,2922993200.0,,10859634378.0,
Xây dựng bãi thải xỉ NMNĐ Na Dương,- Mua sắm > Xây dựng bãi thải xỉ NMNĐ Na Dương,Xây dựng bãi thải xỉ NMNĐ Na Dương,19.271.270.832,-,17.274.583.832,-,19271270832.0,,17274583832.0,
Dự án khác,- Mua sắm > Dự án khác,Dự án khác,3.373.585.043,-,2.099.385.982,-,3373585043.0,,2099385982.0,
Cộng,- Mua sắm > Cộng,Cộng,92.572.600.397,-,3.908.709.798.285,-,92572600397.0,,3908709798285.0,
