row_label_raw,row_label_full,col_0,col_1,Năm 2015(VND),Năm 2014(VND),numeric__col_1,numeric__Năm 2015(VND),numeric__Năm 2014(VND)
a.,a.,a.,Chi phí quản lý doanh nghiệp,132.540.883.780,112.271.061.802,,132540883780.0,112271061802.0
a.,a.,a.,Chi phí nhân viên,65.198.900.162,57.926.814.453,,65198900162.0,57926814453.0
a.,a.,a.,Chi phí khấu hao,13.791.097.203,14.664.560.362,,13791097203.0,14664560362.0
a.,a.,a.,Dịch vụ mua ngoài,10.816.992.921,5.848.783.705,,10816992921.0,5848783705.0
a.,a.,a.,Các khoản khác,42.733.893.494,33.830.903.282,,42733893494.0,33830903282.0
b.,b.,b.,Chi phí bán hàng,-,-,,,
b.,b.,b.,Chi phí nhân viên,-,-,,,
b.,b.,b.,"Chi phí nguyên liệu, vật liệu",-,-,,,
b.,b.,b.,Các khoản khác,-,-,,,
c.,c.,c.,Các khoản ghi giảm chi phí bán hàng và Chi phí quản lý doanh nghiệp,-,-,,,
c.,c. > c.,c.,Cộng,132.540.883.780,112.271.061.802,,132540883780.0,112271061802.0
