row_label_raw,row_label_full,col_0,col_1,31/12/2015(VND),01/01/2015(VND),numeric__col_1,numeric__31/12/2015(VND),numeric__01/01/2015(VND)
a.,a.,a.,Ngắn hạn,513.100.436,588.862.522,,513100436.0,588862522.0
a.,a.,a.,"Công cụ, dụng cụ xuất dùng",346.740.924,343.130.866,,346740924.0,343130866.0
a.,a.,a.,Chi phí trả trước ngắn hạn khác,166.359.512,245.731.656,,166359512.0,245731656.0
b.,b.,b.,Dài hạn,53.951.448.268,171.083.475.683,,53951448268.0,171083475683.0
b.,b.,b.,Chênh lệch tỷ giá trong giai đoạn ĐTXD,-,109.949.423.528,,,109949423528.0
b.,b.,b.,Công cụ dụng cụ phân bổ nhiều năm,1.177.757.902,1 048 964 691,,1177757902.0,
b.,b.,b.,Chi phí sửa chữa lớn chờ phân bổ,45.493.967.336,60.042.077.578,,45493967336.0,60042077578.0
b.,b.,b.,Tiền thuê nhà trả trước nhiều năm,7.189.032.960,-,,7189032960.0,
b.,b.,b.,Chi phí trả trước dài hạn khác,90.690.070,43 009 886,,90690070.0,
b.,b.,b.,Cộng,54.464.548.704,171.672.338.205,,54464548704.0,171672338205.0
