row_label_raw,row_label_full,Ngày 01/1/2015 > Giá trị ghi số:,Dưới 1 năm > Ngày 01/1/2015 > Giá trị ghi số:,Từ 1 năm trở lên > Ngày 01/1/2015 > Giá trị ghi số:,Tổng cộng > Ngày 01/1/2015 > Giá trị ghi số:,numeric__Dưới 1 năm > Ngày 01/1/2015 > Giá trị ghi số:,numeric__Từ 1 năm trở lên > Ngày 01/1/2015 > Giá trị ghi số:,numeric__Tổng cộng > Ngày 01/1/2015 > Giá trị ghi số:
Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,53.235.625.153,-,53.235.625.153,53235625153.0,,53235625153.0
Phải thu khách hàng,Phải thu khách hàng,Phải thu khách hàng,1.360.226.694.556,-,1.360.226.694.556,1360226694556.0,,1360226694556.0
Đầu tư,Đầu tư,Đầu tư,644.195.303.506,6.261.490.505.403,6.905.685.808.909,644195303506.0,6261490505403.0,6905685808909.0
Phải thu khác,Phải thu khác,Phải thu khác,319.114.000.631,765.552.378,319.879.553.009,319114000631.0,765552378.0,319879553009.0
Tài sản tài chính khác,Tài sản tài chính khác,Tài sản tài chính khác,-,-,-,,,
Trừ:,Trừ:,Trừ:,Trừ:,Trừ:,Trừ:,,,
Dự phòng phải thu khó đòi,Trừ: > Dự phòng phải thu khó đòi,Dự phòng phải thu khó đòi,(5.061.330.000),-,(5.061.330.000),-5061330000.0,,-5061330000.0
Dự Phòng giảm giá các khoản đầu tư,Trừ: > Dự Phòng giảm giá các khoản đầu tư,Dự Phòng giảm giá các khoản đầu tư,-,(395.187.647.453),(395.187.647.453),,-395187647453.0,-395187647453.0
Tổng cộng,Trừ: > Tổng cộng,Tổng cộng,2.371.710.293.846,5.867.068.410.328,8.238.778.704.174,2371710293846.0,5867068410328.0,8238778704174.0
Ngày 01/01/2015,Ngày 01/01/2015,Ngày 01/01/2015,Ngày 01/01/2015,Ngày 01/01/2015,Ngày 01/01/2015,,,
Các khoản vay và nợ,Ngày 01/01/2015 > Các khoản vay và nợ,Các khoản vay và nợ,1.963.301.385.822,15.041.648.006.870,17.004.949.392.692,1963301385822.0,15041648006870.0,17004949392692.0
Phải trả người bán,Ngày 01/01/2015 > Phải trả người bán,Phải trả người bán,770.106.867.003,655.268.843.609,1.425.375.710.612,770106867003.0,655268843609.0,1425375710612.0
"Phải trả, PN khác và chi phí phải trả","Ngày 01/01/2015 > Phải trả, PN khác và chi phí phải trả","Phải trả, PN khác và chi phí phải trả",1.543.210.199.595,-,1.543.210.199.595,1543210199595.0,,1543210199595.0
Tổng cộng,Ngày 01/01/2015 > Tổng cộng,Tổng cộng,4.276.618.452.420,15.696.916.850.479,19.973.535.302.899,4276618452420.0,15696916850479.0,19973535302899.0
Chênh lệch thanh khoản thuần,Ngày 01/01/2015 > Chênh lệch thanh khoản thuần,Chênh lệch thanh khoản thuần,(1.904.908.158.574),(9.829.848.440.151),(11.734.756.598.725),-1904908158574.0,-9829848440151.0,-11734756598725.0
