row_label_raw,row_label_full,Chỉ tiêu,Số liệu tại ngày 31/12/2014trên BCTC đãđược kiểm toán,Số liệu thay đõităng/ giảm,Số liệu tại ngày 01/01/2015trên BCTC đãđược trình bày lại,numeric__Số liệu tại ngày 31/12/2014trên BCTC đãđược kiểm toán,numeric__Số liệu thay đõităng/ giảm,numeric__Số liệu tại ngày 01/01/2015trên BCTC đãđược trình bày lại
TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,,,
Đầu tư ngắn hạn,TÀI SẢN > Đầu tư ngắn hạn,Đầu tư ngắn hạn,119.374.968.317,(119.374.968.317),-,119374968317.0,-119374968317.0,
Phải thu về cho vay ngắn hạn,TÀI SẢN > Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,-,644.195.303.506,644.195.303.506,,644195303506.0,644195303506.0
Đầu tư dài hạn khác,TÀI SẢN > Đầu tư dài hạn khác,Đầu tư dài hạn khác,4.903.004.067.666,(4.903.004.067.666),-,4903004067666.0,-4903004067666.0,
