row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcVND",Máy móc vàthiết bịVND,Phương tiệnvận chuyểnVND,Dụng cụvăn phòngVND,Tài sản khácVND,Tổng cộngVND,"numeric__Nhà cửa,vật kiến trúcVND",numeric__Máy móc vàthiết bịVND,numeric__Phương tiệnvận chuyểnVND,numeric__Dụng cụvăn phòngVND,numeric__Tài sản khácVND,numeric__Tổng cộngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,1.648.765.191.064,1.160.184.156.981,207.557.289.426,17.694.631.847,501.324.445,3.034.702.593.763,1648765191064.0,1160184156981.0,207557289426.0,17694631847.0,501324445.0,3034702593763.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,752.306.461,3.277.794.692,200.000.000,3.514.692.716,137.375.555,7.882.169.424,752306461.0,3277794692.0,200000000.0,3514692716.0,137375555.0,7882169424.0
Tăng do mua Công ty Cổ phần Năng lượngAgrita – Quảng Nam (Thuyết minh 5),Nguyên giá > Tăng do mua Công ty Cổ phần Năng lượngAgrita – Quảng Nam (Thuyết minh 5),Tăng do mua Công ty Cổ phần Năng lượngAgrita – Quảng Nam (Thuyết minh 5),-,419.656.536,1.516.620.909,62.109.091,-,1.998.386.536,,419656536.0,1516620909.0,62109091.0,,1998386536.0
Chuyển từ chi phí xây dựng cơ bản dở dang(Thuyết minh 18),Nguyên giá > Chuyển từ chi phí xây dựng cơ bản dở dang(Thuyết minh 18),Chuyển từ chi phí xây dựng cơ bản dở dang(Thuyết minh 18),77.828.184.185,887.185.660.519,9.089.675.107,267.180.000,-,974.370.699.811,77828184185.0,887185660519.0,9089675107.0,267180000.0,,974370699811.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,(661.760.000),(8.372.165.379),(881.083.333),(523.725.000),-,(10.438.733.712),-661760000.0,-8372165379.0,-881083333.0,-523725000.0,,-10438733712.0
Xóa số,Nguyên giá > Xóa số,Xóa số,(22.299.801.268),-,-,-,-,(22.299.801.268),-22299801268.0,,,,,-22299801268.0
Phân loại lại,Nguyên giá > Phân loại lại,Phân loại lại,(8.830.500.294),5.811.647.629,-,3.018.852.665,-,-,-8830500294.0,5811647629.0,,3018852665.0,,
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,1.695.553.620.148,2.048.506.750.978,217.482.502.109,24.033.741.319,638.700.000,3.986.215.314.554,1695553620148.0,2048506750978.0,217482502109.0,24033741319.0,638700000.0,3986215314554.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,327.829.223.483,352.001.258.370,53.920.125.277,11.960.791.631,49.710.397,745.761.109.158,327829223483.0,352001258370.0,53920125277.0,11960791631.0,49710397.0,745761109158.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,61.351.224.331,86.199.761.395,10.715.250.900,1.782.468.292,461.303.808,160.510.008.726,61351224331.0,86199761395.0,10715250900.0,1782468292.0,461303808.0,160510008726.0
Tăng do mua Công ty Cổ phần Năng lượngAgrita – Quảng Nam (Thuyết minh 5),Giá trị hao mòn lũy kế > Tăng do mua Công ty Cổ phần Năng lượngAgrita – Quảng Nam (Thuyết minh 5),Tăng do mua Công ty Cổ phần Năng lượngAgrita – Quảng Nam (Thuyết minh 5),-,226.591.574,1.516.620.909,25.878.800,-,1.769.091.283,,226591574.0,1516620909.0,25878800.0,,1769091283.0
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,(661.760.000),(8.372.165.379),(881.083.333),(523.725.000),-,(10.438.733.712),-661760000.0,-8372165379.0,-881083333.0,-523725000.0,,-10438733712.0
Xóa số,Giá trị hao mòn lũy kế > Xóa số,Xóa số,(16.724.850.952),-,-,-,-,(16.724.850.952),-16724850952.0,,,,,-16724850952.0
Phân loại lại,Giá trị hao mòn lũy kế > Phân loại lại,Phân loại lại,(8.830.500.294),5.811.647.629,-,3.018.852.665,-,-,-8830500294.0,5811647629.0,,3018852665.0,,
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,362.963.336.568,435.867.093.589,65.270.913.753,16.264.266.388,511.014.205,880.876.624.503,362963336568.0,435867093589.0,65270913753.0,16264266388.0,511014205.0,880876624503.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,1.320.935.967.581,808.182.898.611,153.637.164.149,5.733.840.216,451.614.048,2.288.941.484.605,1320935967581.0,808182898611.0,153637164149.0,5733840216.0,451614048.0,2288941484605.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,1.332.590.283.580,1.612.639.657.389,152.211.588.356,7.769.474.931,127.685.795,3.105.338.690.051,1332590283580.0,1612639657389.0,152211588356.0,7769474931.0,127685795.0,3105338690051.0
