row_label_raw,row_label_full,col_0,Giá trị ghi số trước thời điểm mua VND,Các điều chỉnh giá trị hợp lý VND,Giá trị hợp lý tại thời điểm năm quyền kiểm soát VND,numeric__Giá trị ghi số trước thời điểm mua VND,numeric__Các điều chỉnh giá trị hợp lý VND,numeric__Giá trị hợp lý tại thời điểm năm quyền kiểm soát VND
Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,14.030.898.921,-,14.030.898.921,14030898921.0,,14030898921.0
Các khoản phải thu ngắn hạn,Các khoản phải thu ngắn hạn,Các khoản phải thu ngắn hạn,145.360.581.543,-,145.360.581.543,145360581543.0,,145360581543.0
Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,79.498.383.931,-,79.498.383.931,79498383931.0,,79498383931.0
Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,5.351.864.280,-,5.351.864.280,5351864280.0,,5351864280.0
Tài sản cố định hữu hình,Tài sản cố định hữu hình,Tài sản cố định hữu hình,229.295.253,-,229.295.253,229295253.0,,229295253.0
Tài sản cố định vô hình,Tài sản cố định vô hình,Tài sản cố định vô hình,-,220.000.000.000,220.000.000.000,,220000000000.0,220000000000.0
Chi phí xây dựng cơ bản dở dang,Chi phí xây dựng cơ bản dở dang,Chi phí xây dựng cơ bản dở dang,1.298.444.728.732,-,1.298.444.728.732,1298444728732.0,,1298444728732.0
Tài sản dài hạn khác,Tài sản dài hạn khác,Tài sản dài hạn khác,241.212.455,-,241.212.455,241212455.0,,241212455.0
Nợ phải trả ngắn hạn,Nợ phải trả ngắn hạn,Nợ phải trả ngắn hạn,(180.370.008.470),-,(180.370.008.470),-180370008470.0,,-180370008470.0
Vay dài hạn,Vay dài hạn,Vay dài hạn,(921.644.956.645),-,(921.644.956.645),-921644956645.0,,-921644956645.0
Tài sản và nợ phải trả thuần có thể xác định được,Tài sản và nợ phải trả thuần có thể xác định được,Tài sản và nợ phải trả thuần có thể xác định được,441.142.000.000,220.000.000.000,661.142.000.000,441142000000.0,220000000000.0,661142000000.0
Thuế thu nhập hoãn lại phải trả phát sinh từ các điều chỉnh giá trị hợp lý,Thuế thu nhập hoãn lại phải trả phát sinh từ các điều chỉnh giá trị hợp lý,Thuế thu nhập hoãn lại phải trả phát sinh từ các điều chỉnh giá trị hợp lý,,,(44.000.000.000),,,-44000000000.0
Tài sản thuần phát sinh trong giao dịch mua công ty con mới,Tài sản thuần phát sinh trong giao dịch mua công ty con mới,Tài sản thuần phát sinh trong giao dịch mua công ty con mới,,,617.142.000.000,,,617142000000.0
Phần tài sản thuần thuộc Tập đoàn tại ngày nằm quyền kiểm soát,Phần tài sản thuần thuộc Tập đoàn tại ngày nằm quyền kiểm soát,Phần tài sản thuần thuộc Tập đoàn tại ngày nằm quyền kiểm soát,,,602.253.449.250,,,602253449250.0
Lợi thế thương mại phát sinh từ việc hợp nhất công ty con mới (Thuyết minh 20),Lợi thế thương mại phát sinh từ việc hợp nhất công ty con mới (Thuyết minh 20),Lợi thế thương mại phát sinh từ việc hợp nhất công ty con mới (Thuyết minh 20),,,60.801.303.907,,,60801303907.0
Tổng giá phí hợp nhất kinh doanh (*),Tổng giá phí hợp nhất kinh doanh (*),Tổng giá phí hợp nhất kinh doanh (*),,,663.054.753.157,,,663054753157.0
