row_label_raw,row_label_full,col_0,1/1/2019Giá trị ghi số và số có khả năng trả nợ VND,Biến động trong năm > Tăng VND,Biến động trong năm > Giảm VND,Biến động trong năm > Giảm VND_1,31/12/2019Giá trị ghi số và số có khả năng trả nợ VND,numeric__1/1/2019Giá trị ghi số và số có khả năng trả nợ VND,numeric__Biến động trong năm > Tăng VND,numeric__Biến động trong năm > Giảm VND,numeric__Biến động trong năm > Giảm VND_1,numeric__31/12/2019Giá trị ghi số và số có khả năng trả nợ VND
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,250.239.118.952,613.668.798.402,(580.687.012.111),(580.687.012.111),283.220.905.243,250239118952.0,613668798402.0,-580687012111.0,-580687012111.0,283220905243.0
Vay dài hạn đến hạn trả (Thuyết minh 26(b)),Vay dài hạn đến hạn trả (Thuyết minh 26(b)),Vay dài hạn đến hạn trả (Thuyết minh 26(b)),332.795.810.050,932.424.912.388,(365.008.856.048),(365.008.856.048),900.211.866.390,332795810050.0,932424912388.0,-365008856048.0,-365008856048.0,900211866390.0
,,,583.034.929.002,1.546.093.710.790,(945.695.868.159),(945.695.868.159),1.183.432.771.633,583034929002.0,1546093710790.0,-945695868159.0,-945695868159.0,1183432771633.0
Điều khoản và điều kiện của các khoản vay ngắn hạn như sau:,Điều khoản và điều kiện của các khoản vay ngắn hạn như sau:,Điều khoản và điều kiện của các khoản vay ngắn hạn như sau:,Điều khoản và điều kiện của các khoản vay ngắn hạn như sau:,Điều khoản và điều kiện của các khoản vay ngắn hạn như sau:,Điều khoản và điều kiện của các khoản vay ngắn hạn như sau:,Điều khoản và điều kiện của các khoản vay ngắn hạn như sau:,Điều khoản và điều kiện của các khoản vay ngắn hạn như sau:,,,,,
,,,,Thuyết minh,Loại tiền,Lãi suất năm,31/12/2019 VND,,,,,
Khoản vay Ngân hàng TMCP Ngoại thương Việt Nam - Chi nhánh Đông Anh,Điều khoản và điều kiện của các khoản vay ngắn hạn như sau: > Khoản vay Ngân hàng TMCP Ngoại thương Việt Nam - Chi nhánh Đông Anh,Khoản vay Ngân hàng TMCP Ngoại thương Việt Nam - Chi nhánh Đông Anh,(a),VND,"7,5%",23.420.164.803,65.924.499.957,,,0.075,23420164803.0,65924499957.0
Khoản vay Ngân hàng TMCP Kỹ thương Việt Nam - Chi nhánh Thắng Lợi,Điều khoản và điều kiện của các khoản vay ngắn hạn như sau: > Khoản vay Ngân hàng TMCP Kỹ thương Việt Nam - Chi nhánh Thắng Lợi,Khoản vay Ngân hàng TMCP Kỹ thương Việt Nam - Chi nhánh Thắng Lợi,(b),VND,"6,8% - 8%",61.568.362.130,26.462.761.981,,,,61568362130.0,26462761981.0
Khoản vay Ngân hàng TMCP Quân đội - Chi nhánh Tp. Hồ Chí Minh,Điều khoản và điều kiện của các khoản vay ngắn hạn như sau: > Khoản vay Ngân hàng TMCP Quân đội - Chi nhánh Tp. Hồ Chí Minh,Khoản vay Ngân hàng TMCP Quân đội - Chi nhánh Tp. Hồ Chí Minh,(c),VND,"7,2% - 7,5%",8.266.400.465,31.739.847.048,,,,8266400465.0,31739847048.0
"Công ty Cổ phần Đầu tư IP Việt Nam, một bên liên quan","Điều khoản và điều kiện của các khoản vay ngắn hạn như sau: > Công ty Cổ phần Đầu tư IP Việt Nam, một bên liên quan","Công ty Cổ phần Đầu tư IP Việt Nam, một bên liên quan",(a),VND,"8,6%",57.000.000.000,57.000.000.000,,,0.086,57000000000.0,57000000000.0
Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Ba Đình,Điều khoản và điều kiện của các khoản vay ngắn hạn như sau: > Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Ba Đình,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Ba Đình,(a),VND,"6,9% - 7,8%",84.115.157.166,9.533.284.104,,,,84115157166.0,9533284104.0
Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Ba Đình,Điều khoản và điều kiện của các khoản vay ngắn hạn như sau: > Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Ba Đình,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Ba Đình,(d),VND,"7,7 - 12,9%",22.200.000.000,-,,,,22200000000.0,
Vay cá nhân,Điều khoản và điều kiện của các khoản vay ngắn hạn như sau: > Vay cá nhân,Vay cá nhân,(a),VND,"8% - 9,5%",26.650.820.679,59.578.725.862,,,,26650820679.0,59578725862.0
,,,,,,283.220.905.243,250.239.118.952,,,,283220905243.0,250239118952.0
