row_label_raw,row_label_full,Tại ngày 31/12/2018,Kinh doanh bất động sản VND,Xây dựng VND,"Sản xuất, kinh doanh điện VND",Hoạt động khác VND,Loại trừ VND,Hợp nhất VND,numeric__Kinh doanh bất động sản VND,numeric__Xây dựng VND,"numeric__Sản xuất, kinh doanh điện VND",numeric__Hoạt động khác VND,numeric__Loại trừ VND,numeric__Hợp nhất VND
Tài sản của bộ phận,Tài sản của bộ phận,Tài sản của bộ phận,8.331.815.965.027,841.677.830.291,2.989.495.956.754,1.189.184.938.134,(2.989.794.719.516),10.362.379.970.690,8331815965027.0,841677830291.0,2989495956754.0,1189184938134.0,-2989794719516.0,10362379970690.0
Khoản đầu tư vào công ty liên kết,Khoản đầu tư vào công ty liên kết,Khoản đầu tư vào công ty liên kết,-,-,299.600.387.553,130.000.000,-,299.730.387.553,,,299600387553.0,130000000.0,,299730387553.0
Tài sản không phân bổ,Tài sản không phân bổ,Tài sản không phân bổ,,,,,,424.469.366.146,,,,,,424469366146.0
Tổng tài sản,Tổng tài sản,Tổng tài sản,,,,,,11.086.579.724.389,,,,,,11086579724389.0
Nợ phải trả của bộ phận,Nợ phải trả của bộ phận,Nợ phải trả của bộ phận,6.907.093.430.118,644.613.842.801,1.728.449.685.424,562.899.348.882,(1.836.816.330.697),8.006.239.976.528,6907093430118.0,644613842801.0,1728449685424.0,562899348882.0,-1836816330697.0,8006239976528.0
Nợ phải trả của bộ phận,Nợ phải trả của bộ phận,Nợ phải trả của bộ phận,6.907.093.430.118,644.613.842.801,1.728.449.685.424,562.899.348.882,(1.836.816.330.697),389.654.723.581,6907093430118.0,644613842801.0,1728449685424.0,562899348882.0,-1836816330697.0,389654723581.0
Tổng nợ phải trả,Tổng nợ phải trả,Tổng nợ phải trả,,,,,,8.395.894.700.109,,,,,,8395894700109.0
Năm 2018,Năm 2018,Năm 2018,Kinh doanh bất động sản VND,Xây dựng VND,"Sản xuất, kinh doanh điện VND",Hoạt động khác VND,Loại trừ VND,Hợp nhất VND,,,,,,
Chỉ tiêu vốn,Năm 2018 > Chỉ tiêu vốn,Chỉ tiêu vốn,34.063.015.451,12.751.148.325,661.405.102.406,38.568.351.106,(13.376.775.958),733.410.841.330,34063015451.0,12751148325.0,661405102406.0,38568351106.0,-13376775958.0,733410841330.0
Khẩu hao tài sản cố định hữu hình,Năm 2018 > Khẩu hao tài sản cố định hữu hình,Khẩu hao tài sản cố định hữu hình,7.291.170.953,14.625.914.372,65.956.668.325,797.044.449,6.014.616.094,94.685.414.193,7291170953.0,14625914372.0,65956668325.0,797044449.0,6014616094.0,94685414193.0
Khẩu hao tài sản cố định vô hình,Năm 2018 > Khẩu hao tài sản cố định vô hình,Khẩu hao tài sản cố định vô hình,332.365.631,-,-,34.518.706,-,366.884.337,332365631.0,,,34518706.0,,366884337.0
Khẩu hao bất động sản đầu tư,Năm 2018 > Khẩu hao bất động sản đầu tư,Khẩu hao bất động sản đầu tư,-,-,-,33.688.771.517,(1.075.672.836),32.613.098.681,,,,33688771517.0,-1075672836.0,32613098681.0
