row_label_raw,row_label_full,col_0,col_1,Địa chỉ,31/12/2019,31/12/2019_1,1/1/2019,1/1/2019_1,numeric__col_1,numeric__Địa chỉ,numeric__31/12/2019,numeric__31/12/2019_1,numeric__1/1/2019,numeric__1/1/2019_1
,,,,Địa chỉ,% sở hữu,% quyền biểu quyết,% sở hữu,% quyền biểu quyết,,,,,,
Công ty con cấp 1,Công ty con cấp 1,Công ty con cấp 1,Công ty con cấp 1,,,,,,,,,,,
1,Công ty con cấp 1 > 1,1,Công ty Cổ phần Hà Đô 1,Hà Nội,51%,51%,51%,51%,,,0.51,0.51,0.51,0.51
2,Công ty con cấp 1 > 2,2,Công ty Cổ phần Hà Đô 45,Tp. Hồ Chí Minh,51%,51%,51%,51%,,,0.51,0.51,0.51,0.51
3,Công ty con cấp 1 > 3,3,Công ty Cổ phần Đầu tư Khánh Hà (i),Nha Trang,71%,71%,65%,65%,,,0.71,0.71,0.65,0.65
4,Công ty con cấp 1 > 4,4,Công ty Cổ phần Hà Đô – 756 Sài Gòn,Tp. Hồ Chí Minh,89%,63%,89%,63%,,,0.89,0.63,0.89,0.63
5,Công ty con cấp 1 > 5,5,Công ty Cổ phần Cơ điện Xây dựng – Thiết bị Công nghiệp Hà Đô,Hà Nội,51%,51%,51%,51%,,,0.51,0.51,0.51,0.51
6,Công ty con cấp 1 > 6,6,Công ty Cổ phần Za Hưng,Hà Nội,52%,52%,52%,52%,,,0.52,0.52,0.52,0.52
7,Công ty con cấp 1 > 7,7,Công ty TNHH Hà Đô Bình Thuận,Bình Thuận,76%,90%,76%,90%,,,0.76,0.9,0.76,0.9
8,Công ty con cấp 1 > 8,8,Công ty TNHH MTV Đầu tư Quốc tế Hà Đô,"Viên Chăn, Lào",100%,100%,100%,100%,,,1.0,1.0,1.0,1.0
9,Công ty con cấp 1 > 9,9,Công ty TNHH MTV Quản lý – Vận hành – Khai thác Bất động sản Hà Đô,Tp. Hồ Chí Minh,100%,100%,100%,100%,,,1.0,1.0,1.0,1.0
10,Công ty con cấp 1 > 10,10,Công ty Cổ phần Đầu tư Bất động sản Bình An Riverside (ii),Tp. Hồ Chí Minh,99%,99%,99%,99%,,,0.99,0.99,0.99,0.99
11,Công ty con cấp 1 > 11,11,Công ty Cổ phần Thiết bị Giáo dục 1 (iii),Hà Nội,99%,99%,51%,51%,,,0.99,0.99,0.51,0.51
12,Công ty con cấp 1 > 12,12,Công ty Cổ phần Năng lượng Agrita – Quảng Nam (iv)(công ty liên kết đến ngày 29/1/2019),Quảng Nam,98%,100%,44%,49%,,,0.98,1.0,0.44,0.49
13,Công ty con cấp 1 > 13,13,Công ty TNHH MTV Hà Đô Ninh Thuận (v),Ninh Thuận,100%,100%,-,-,,,1.0,1.0,,
14,Công ty con cấp 1 > 14,14,Công ty Cổ phần Mua bán nợ Minh Long Sài Gòn (vi),Tp. Hồ Chí Minh,99%,99%,-,-,,,0.99,0.99,,
,,,,,Tỷ lệ lợi ích trực tiếp của công ty con cấp 1,Tỷ lệ lợi ích trực tiếp của công ty con cấp 1,Tỷ lệ lợi ích của Tập đoàn,Tỷ lệ lợi ích của Tập đoàn,,,,,,
,,,,,31/12/2019,1/1/2019,31/12/2019,1/1/2019,,,,,,
Công ty con của Công ty Cổ phần Za Hưng,Công ty con của Công ty Cổ phần Za Hưng,Công ty con của Công ty Cổ phần Za Hưng,Công ty con của Công ty Cổ phần Za Hưng,,,,,,,,,,,
1,Công ty con của Công ty Cổ phần Za Hưng > 1,1,Công ty Cổ phần Thủy diện Sông Tranh 4,Quảng Nam,51%,51%,51%,51%,,,0.51,0.51,0.51,0.51
