row_label_raw,row_label_full,Ngân hàng 1 (a) > Ngân hàng 2 (b) > Ngân hàng 3 (c) > Ngân hàng 4 (d) > Ngân hàng 5 (d) > Ngân hàng 6 (d) > Ngân hàng 7 > Ngân hàng 8,Loại tiền > VND > USD > VND,"Lãi suất năm > 10% > 10,4% > 8,6% - 9,3% > 9,7% - 10,1% > 6% > 9,73% > 9,2% > 9,6%",Nămđáo hạn > 2021 > 2027 > 2020 > 2023 > 2029 > 2020,31/12/2019VND > 3.600.000.000 > 263.885.378.849 > 571.330.778.661 > 262.536.401.906 > 34.696.841.363 > 1.033.908.536.325 > -,1/1/2019VND > 5.936.690.600 > 279.618.382.465 > 434.939.658.710 > 320.206.201.906 > 42.339.145.603 > 942.700.145.401 > 107.520.983.382 > 13.229.858.721,numeric__Loại tiền > VND > USD > VND,"numeric__Lãi suất năm > 10% > 10,4% > 8,6% - 9,3% > 9,7% - 10,1% > 6% > 9,73% > 9,2% > 9,6%",numeric__Nămđáo hạn > 2021 > 2027 > 2020 > 2023 > 2029 > 2020,numeric__31/12/2019VND > 3.600.000.000 > 263.885.378.849 > 571.330.778.661 > 262.536.401.906 > 34.696.841.363 > 1.033.908.536.325 > -,numeric__1/1/2019VND > 5.936.690.600 > 279.618.382.465 > 434.939.658.710 > 320.206.201.906 > 42.339.145.603 > 942.700.145.401 > 107.520.983.382 > 13.229.858.721
Ngân hàng 9 (e),Ngân hàng 9 (e),Ngân hàng 9 (e),VND,10%,2033,561.502.367.216,243.274.524.918,,0.1,2033.0,561502367216.0,243274524918.0
Ngân hàng 10 (a),Ngân hàng 10 (a),Ngân hàng 10 (a),VND,"9,8%",2020,1.060.000.000,1.952.000.000,,0.098,2020.0,1060000000.0,1952000000.0
Ngân hàng 11 (f),Ngân hàng 11 (f),Ngân hàng 11 (f),VND,"8,2%",2030,525.000.000.000,-,,0.08199999999999999,2030.0,525000000000.0,
Ngân hàng 12 (g),Ngân hàng 12 (g),Ngân hàng 12 (g),VND,"10,4%",2031,1.284.805.712.756,-,,0.10400000000000001,2031.0,1284805712756.0,
Vay cá nhân (h),Vay cá nhân (h),Vay cá nhân (h),VND,"9,5%",2021,55.473.598.070,-,,0.095,2021.0,55473598070.0,
,,,,,,4.597.799.615.146,2.391.717.591.706,,,,4597799615146.0,2391717591706.0
