row_label_raw,row_label_full,Bộ phận chia theo vùng địa lý,Bộ phận chia theo vùng địa lý_1,Bộ phận chia theo vùng địa lý_2,Bộ phận chia theo vùng địa lý_3,Bộ phận chia theo vùng địa lý_4,Bộ phận chia theo vùng địa lý_5,Bộ phận chia theo vùng địa lý_6,Bộ phận chia theo vùng địa lý_7,numeric__Bộ phận chia theo vùng địa lý_1,numeric__Bộ phận chia theo vùng địa lý_2,numeric__Bộ phận chia theo vùng địa lý_3,numeric__Bộ phận chia theo vùng địa lý_4,numeric__Bộ phận chia theo vùng địa lý_5,numeric__Bộ phận chia theo vùng địa lý_6,numeric__Bộ phận chia theo vùng địa lý_7
Năm,Năm,Năm,Tại Việt Nam,Tại Việt Nam,Tại Lào,Tại Lào,Hợp nhất,Hợp nhất,,,,,,,,
Năm,Năm,Năm,2019VND,2018VND,2019VND,2018VND,2019VND,2018VND,,,,,,,,
Doanh thu thuần bán ra bên ngoài,Năm > Doanh thu thuần bán ra bên ngoài,Doanh thu thuần bán ra bên ngoài,4.328.684.676.765,3.213.055.344.331,13.832.282.604,8.386.193.576,4.342.516.959.369,3.221.441.537.907,,4328684676765.0,3213055344331.0,13832282604.0,8386193576.0,4342516959369.0,3221441537907.0,
Chi tiêu vốn,Năm > Chi tiêu vốn,Chi tiêu vốn,2.031.798.693.696,732.543.742.034,-,867.099.296,2.031.798.693.696,733.410.841.330,,2031798693696.0,732543742034.0,,867099296.0,2031798693696.0,733410841330.0,
Tại ngày,Tại ngày,Tại ngày,31/12/2019VND,1/1/2019VND,31/12/2019VND,1/1/2019VND,31/12/2019VND,1/1/2019VND,,,,,,,,
Tài sản của bộ phận,Tại ngày > Tài sản của bộ phận,Tài sản của bộ phận,13.524.219.808.588,10.781.701.211.665,342.100.991.876,304.878.512.724,13.866.320.800.464,11.086.579.724.389,,13524219808588.0,10781701211665.0,342100991876.0,304878512724.0,13866320800464.0,11086579724389.0,
