row_label_raw,row_label_full,col_0,Vốn cổ phần VND,Thặng dư vốn cổ phần VND,Vốn khác của chủ sở hữu VND,Cổ phiếu quỹ VND,Chênh lệch tỷ giá hồi doái VND,Quỹ đầu tư phát triển VND,Lợi nhuận chưa phân phối VND,Lợi ích cổ đông không kiểm soát VND,Tổng cộng VND,numeric__Vốn cổ phần VND,numeric__Thặng dư vốn cổ phần VND,numeric__Vốn khác của chủ sở hữu VND,numeric__Cổ phiếu quỹ VND,numeric__Chênh lệch tỷ giá hồi doái VND,numeric__Quỹ đầu tư phát triển VND,numeric__Lợi nhuận chưa phân phối VND,numeric__Lợi ích cổ đông không kiểm soát VND,numeric__Tổng cộng VND
Số dư tại ngày 1/1/2019,Số dư tại ngày 1/1/2019,Số dư tại ngày 1/1/2019,949.520.360.000,(171.550.000),38.743.910.000,(326.270.000),197.045.056,25.135.991.900,820.787.304.765,856.798.232.559,2.690.685.024.280,949520360000.0,-171550000.0,38743910000.0,-326270000.0,197045056.0,25135991900.0,820787304765.0,856798232559.0,2690685024280.0
Phát hành cổ phiếu thường từ lợi nhuận chưa phân phối (Thuyết minh 29),Phát hành cổ phiếu thường từ lợi nhuận chưa phân phối (Thuyết minh 29),Phát hành cổ phiếu thường từ lợi nhuận chưa phân phối (Thuyết minh 29),237.292.530.000,-,-,-,-,-,(237.292.530.000),-,-,237292530000.0,,,,,,-237292530000.0,,
Góp vốn,Góp vốn,Góp vốn,-,-,-,-,-,-,-,7.755.000.000,7.755.000.000,,,,,,,,7755000000.0,7755000000.0
Trả cổ tức bằng cổ phiếu thường tại công ty con,Trả cổ tức bằng cổ phiếu thường tại công ty con,Trả cổ tức bằng cổ phiếu thường tại công ty con,-,-,67.134.039.364,-,-,-,(67.134.039.364),-,-,,,67134039364.0,,,,-67134039364.0,,
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,-,931.687.101.262,185.290.875.333,1.116.977.976.595,,,,,,,931687101262.0,185290875333.0,1116977976595.0
Chênh lệch tỷ giá hồi doái do việc quy đổi các hoạt động ở nước ngoài (Thuyết minh 3(b)(ii)),Chênh lệch tỷ giá hồi doái do việc quy đổi các hoạt động ở nước ngoài (Thuyết minh 3(b)(ii)),Chênh lệch tỷ giá hồi doái do việc quy đổi các hoạt động ở nước ngoài (Thuyết minh 3(b)(ii)),-,-,-,-,(18.003.554.828),-,-,-,(18.003.554.828),,,,,-18003554828.0,,,,-18003554828.0
Cổ tức (Thuyết minh 29),Cổ tức (Thuyết minh 29),Cổ tức (Thuyết minh 29),-,-,-,-,-,-,(118.648.662.000),(193.088.773.000),(311.737.435.000),,,,,,,-118648662000.0,-193088773000.0,-311737435000.0
"Trích quỹ khen thường, phúc lợi","Trích quỹ khen thường, phúc lợi","Trích quỹ khen thường, phúc lợi",-,-,-,-,-,-,(21.327.856.550),(1.668.548.450),(22.996.405.000),,,,,,,-21327856550.0,-1668548450.0,-22996405000.0
Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,-,-,-,-,-,26.075.251.673,(26.075.251.673),-,-,,,,,,26075251673.0,-26075251673.0,,
Hợp nhất kinh doanh,Hợp nhất kinh doanh,Hợp nhất kinh doanh,-,-,-,-,-,-,-,(367.200.430),(367.200.430),,,,,,,,-367200430.0,-367200430.0
Mua thêm một phần lợi ích của cổ đông không kiểm soát,Mua thêm một phần lợi ích của cổ đông không kiểm soát,Mua thêm một phần lợi ích của cổ đông không kiểm soát,-,-,-,-,-,-,(185.625.890.883),4.682.125.083,(180.943.765.800),,,,,,,-185625890883.0,4682125083.0,-180943765800.0
Biến động khác về vốn chủ sở hữu,Biến động khác về vốn chủ sở hữu,Biến động khác về vốn chủ sở hữu,-,-,-,-,-,-,(648.056.783),(350.337.529),(998.394.312),,,,,,,-648056783.0,-350337529.0,-998394312.0
Số dư tại ngày 31/12/2019,Số dư tại ngày 31/12/2019,Số dư tại ngày 31/12/2019,1.186.812.890.000,(171.550.000),105.877.949.364,(326.270.000),(17.806.509.772),51.211.243.573,1.095.722.118.774,859.051.373.566,3.280.371.245.505,1186812890000.0,-171550000.0,105877949364.0,-326270000.0,-17806509772.0,51211243573.0,1095722118774.0,859051373566.0,3280371245505.0
