row_label_raw,row_label_full,col_0,Giá trị ghi sổ tại thời điểm nấm quyền kiểm soát VND,numeric__Giá trị ghi sổ tại thời điểm nấm quyền kiểm soát VND
Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,79.728.823,79728823.0
Các khoản phải thu ngắn hạn khác,Các khoản phải thu ngắn hạn khác,Các khoản phải thu ngắn hạn khác,66.520.654.996,66520654996.0
Hàng tồn kho,Hàng tồn kho,Hàng tồn kho,4.744.795.828,4744795828.0
Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,58.992.517,58992517.0
Bất động sản đầu tư nắm giữ chờ tăng giá,Bất động sản đầu tư nắm giữ chờ tăng giá,Bất động sản đầu tư nắm giữ chờ tăng giá,340.567.927.343,340567927343.0
Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,(72.000.000.000),-72000000000.0
Các khoản phải trả ngắn hạn khác,Các khoản phải trả ngắn hạn khác,Các khoản phải trả ngắn hạn khác,(351.401.435),-351401435.0
Tài sản và nợ phải trả thuần có thể xác định được,Tài sản và nợ phải trả thuần có thể xác định được,Tài sản và nợ phải trả thuần có thể xác định được,339.620.698.072,339620698072.0
Giá phí mua được phân bổ vào bất động sản đầu tư nắm giữ chờ tăng giá,Giá phí mua được phân bổ vào bất động sản đầu tư nắm giữ chờ tăng giá,Giá phí mua được phân bổ vào bất động sản đầu tư nắm giữ chờ tăng giá,146.579.301.928,146579301928.0
Tổng giá phí mua nhóm các tài sản và nợ phải trả,Tổng giá phí mua nhóm các tài sản và nợ phải trả,Tổng giá phí mua nhóm các tài sản và nợ phải trả,486.200.000.000,486200000000.0
,,,VND,
Thông tin lưu chuyển tiền tệ từ việc mua công ty con,Thông tin lưu chuyển tiền tệ từ việc mua công ty con,Thông tin lưu chuyển tiền tệ từ việc mua công ty con,Thông tin lưu chuyển tiền tệ từ việc mua công ty con,
Khoản thanh toán cho phần sở hữu tăng thêm,Thông tin lưu chuyển tiền tệ từ việc mua công ty con > Khoản thanh toán cho phần sở hữu tăng thêm,Khoản thanh toán cho phần sở hữu tăng thêm,380.000.000.000,380000000000.0
Khoản tiền thu được,Thông tin lưu chuyển tiền tệ từ việc mua công ty con > Khoản tiền thu được,Khoản tiền thu được,79.728.823,79728823.0
Khoản tiền thanh toán thuần,Thông tin lưu chuyển tiền tệ từ việc mua công ty con > Khoản tiền thanh toán thuần,Khoản tiền thanh toán thuần,379.920.271.177,379920271177.0
