row_label_raw,row_label_full,col_0,Quyền sử dụng đất và nhà cửa VND,numeric__Quyền sử dụng đất và nhà cửa VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,678.989.801.365,678989801365.0
Chuyển từ chi phí xây dựng cơ bản dở dang (Thuyết minh 18),Nguyên giá > Chuyển từ chi phí xây dựng cơ bản dở dang (Thuyết minh 18),Chuyển từ chi phí xây dựng cơ bản dở dang (Thuyết minh 18),193.527.301.828,193527301828.0
Chuyển sang từ chi phí sản xuất kinh doanh dở dang,Nguyên giá > Chuyển sang từ chi phí sản xuất kinh doanh dở dang,Chuyển sang từ chi phí sản xuất kinh doanh dở dang,33.388.726.844,33388726844.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,905.905.830.037,905905830037.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,100.548.212.635,100548212635.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,36.653.253.746,36653253746.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,137.201.466.381,137201466381.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,578.441.588.730,578441588730.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,768.704.363.656,768704363656.0
