row_label_raw,row_label_full,col_0,Giấy chứng nhận đầu tư hoạt động thủy điện VND,Quyền sử dụng đất VND,Phần mềm máy vi tính VND,Tổng cộng VND,numeric__Giấy chứng nhận đầu tư hoạt động thủy điện VND,numeric__Quyền sử dụng đất VND,numeric__Phần mềm máy vi tính VND,numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,-,-,1.823.054.500,1.823.054.500,,,1823054500.0,1823054500.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,-,23.287.846.039,169.600.000,23.457.446.039,,23287846039.0,169600000.0,23457446039.0
Chuyển từ chi phí xây dựng cơ bản dở dang (Thuyết minh 18),Nguyên giá > Chuyển từ chi phí xây dựng cơ bản dở dang (Thuyết minh 18),Chuyển từ chi phí xây dựng cơ bản dở dang (Thuyết minh 18),-,14.887.122.135,-,14.887.122.135,,14887122135.0,,14887122135.0
Tăng do mua Công ty Cổ phần Năng lượng Agrita – Quảng Nam (Thuyết minh 5),Nguyên giá > Tăng do mua Công ty Cổ phần Năng lượng Agrita – Quảng Nam (Thuyết minh 5),Tăng do mua Công ty Cổ phần Năng lượng Agrita – Quảng Nam (Thuyết minh 5),220.000.000.000,-,-,220.000.000.000,220000000000.0,,,220000000000.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,220.000.000.000,38.174.968.174,1.992.654.500,260.167.622.674,220000000000.0,38174968174.0,1992654500.0,260167622674.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,-,-,905.082.915,905.082.915,,,905082915.0,905082915.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,4.928.716.904,678.605.753,445.737.225,6.053.059.882,4928716904.0,678605753.0,445737225.0,6053059882.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,4.928.716.904,678.605.753,1.350.820.140,6.958.142.797,4928716904.0,678605753.0,1350820140.0,6958142797.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,-,-,917.971.585,917.971.585,,,917971585.0,917971585.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,215.071.283.096,37.496.362.421,641.834.360,253.209.479.877,215071283096.0,37496362421.0,641834360.0,253209479877.0
