row_label_raw,row_label_full,Năm 2018,Kinh doanhbất động sảnVND,Xây dựngVND,"Sản xuất,kinh doanh điệnVND",Hoạt động khácVND,Loại trừVND,Hợp nhấtVND,numeric__Kinh doanhbất động sảnVND,numeric__Xây dựngVND,"numeric__Sản xuất,kinh doanh điệnVND",numeric__Hoạt động khácVND,numeric__Loại trừVND,numeric__Hợp nhấtVND
Doanh thu thuần bán hàng ra bên ngoài,Doanh thu thuần bán hàng ra bên ngoài,Doanh thu thuần bán hàng ra bên ngoài,1.863.420.638.390,707.857.687.125,362.964.285.363,287.198.927.029,-,3.221.441.537.907,1863420638390.0,707857687125.0,362964285363.0,287198927029.0,,3221441537907.0
Doanh thu thuần giữa các bộ phận,Doanh thu thuần giữa các bộ phận,Doanh thu thuần giữa các bộ phận,-,497.280.515.318,-,27.518.959.421,(524.799.474.739),-,,497280515318.0,,27518959421.0,-524799474739.0,
Tổng doanh thu thuần của bộ phận,Tổng doanh thu thuần của bộ phận,Tổng doanh thu thuần của bộ phận,1.863.420.638.390,1.205.138.202.443,362.964.285.363,314.717.886.450,(524.799.474.739),3.221.441.537.907,1863420638390.0,1205138202443.0,362964285363.0,314717886450.0,-524799474739.0,3221441537907.0
Kết quả kinh doanh của bộ phận,Kết quả kinh doanh của bộ phận,Kết quả kinh doanh của bộ phận,770.830.393.500,112.499.710.021,270.421.230.342,152.772.554.721,(63.814.320.418),1.242.709.568.166,770830393500.0,112499710021.0,270421230342.0,152772554721.0,-63814320418.0,1242709568166.0
Thu nhập không phân bổ,Thu nhập không phân bổ,Thu nhập không phân bổ,,,,,,54.806.912.915,,,,,,54806912915.0
Chi phí không phân bổ,Chi phí không phân bổ,Chi phí không phân bổ,,,,,,(381.503.884.584),,,,,,-381503884584.0
Phần chia lãi của công ty liên kết,Phần chia lãi của công ty liên kết,Phần chia lãi của công ty liên kết,,,,,,266.253.943,,,,,,266253943.0
Kết quả từ các hoạt động kinh doanh,Kết quả từ các hoạt động kinh doanh,Kết quả từ các hoạt động kinh doanh,,,,,,916.278.850.440,,,,,,916278850440.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,,,,,,47.984.930.441,,,,,,47984930441.0
Chi phí khác,Chi phí khác,Chi phí khác,,,,,,(9.775.907.005),,,,,,-9775907005.0
Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,,,,,,(190.080.314.134),,,,,,-190080314134.0
Lợi ích thuế thu nhập doanh nghiệp hoãn lại,Lợi ích thuế thu nhập doanh nghiệp hoãn lại,Lợi ích thuế thu nhập doanh nghiệp hoãn lại,,,,,,23.150.457.486,,,,,,23150457486.0
Lợi nhuận thuần sau thuế,Lợi nhuận thuần sau thuế,Lợi nhuận thuần sau thuế,,,,,,787.558.017.228,,,,,,787558017228.0
