row_label_raw,row_label_full,col_0,VND,numeric__VND
Giá gốc,Giá gốc,Giá gốc,Giá gốc,
Số dư đầu năm,Giá gốc > Số dư đầu năm,Số dư đầu năm,11.803.260.642,11803260642.0
Tăng do mua Công ty Cổ phần Năng lượng Agrita – Quảng Nam(Thuyết minh 5),Giá gốc > Tăng do mua Công ty Cổ phần Năng lượng Agrita – Quảng Nam(Thuyết minh 5),Tăng do mua Công ty Cổ phần Năng lượng Agrita – Quảng Nam(Thuyết minh 5),60.801.303.907,60801303907.0
Số dư cuối năm,Giá gốc > Số dư cuối năm,Số dư cuối năm,72.604.564.549,72604564549.0
Giá trị phân bổ lũy kế,Giá trị phân bổ lũy kế,Giá trị phân bổ lũy kế,Giá trị phân bổ lũy kế,
Số dư đầu năm,Giá trị phân bổ lũy kế > Số dư đầu năm,Số dư đầu năm,2.606.418.651,2606418651.0
Phân bổ trong năm,Giá trị phân bổ lũy kế > Phân bổ trong năm,Phân bổ trong năm,6.777.377.602,6777377602.0
- Số dư cuối năm,Giá trị phân bổ lũy kế > - Số dư cuối năm,- Số dư cuối năm,9.383.796.253,9383796253.0
Giá trị ghi sổ,Giá trị ghi sổ,Giá trị ghi sổ,Giá trị ghi sổ,
Số dư đầu năm,Giá trị ghi sổ > Số dư đầu năm,Số dư đầu năm,9.196.841.991,9196841991.0
Số dư cuối năm,Giá trị ghi sổ > Số dư cuối năm,Số dư cuối năm,63.220.768.296,63220768296.0
