row_label_raw,row_label_full,col_0,Giá gốc và số có khả năng trả nợ,Giá gốc và số có khả năng trả nợ_1,numeric__Giá gốc và số có khả năng trả nợ,numeric__Giá gốc và số có khả năng trả nợ_1
,,,31/12/2019VND,1/1/2019VND,,
Bên liên quan,Bên liên quan,Bên liên quan,Bên liên quan,Bên liên quan,,
Công ty Cổ phần Đầu tư An Lạc,Bên liên quan > Công ty Cổ phần Đầu tư An Lạc,Công ty Cổ phần Đầu tư An Lạc,-,2.019.725.459,,2019725459.0
Các bên khác,Các bên khác,Các bên khác,Các bên khác,Các bên khác,,
Công ty Cổ phần Tập đoàn Đầu tư Vĩnh Tiến (*),Các bên khác > Công ty Cổ phần Tập đoàn Đầu tư Vĩnh Tiến (*),Công ty Cổ phần Tập đoàn Đầu tư Vĩnh Tiến (*),56.200.000.000,-,56200000000.0,
Ông Huỳnh Kỳ Trân,Các bên khác > Ông Huỳnh Kỳ Trân,Ông Huỳnh Kỳ Trân,-,26.924.500.000,,26924500000.0
Công ty Cổ phần Tập đoàn Xây dựng Hòa Bình,Các bên khác > Công ty Cổ phần Tập đoàn Xây dựng Hòa Bình,Công ty Cổ phần Tập đoàn Xây dựng Hòa Bình,16.917.722.957,63.356.641.942,16917722957.0,63356641942.0
Công ty TNHH Minh Nhật Duy,Các bên khác > Công ty TNHH Minh Nhật Duy,Công ty TNHH Minh Nhật Duy,6.129.647.500,7.856.739.500,6129647500.0,7856739500.0
Công ty Cổ phần Điện lạnh Nam Thịnh,Các bên khác > Công ty Cổ phần Điện lạnh Nam Thịnh,Công ty Cổ phần Điện lạnh Nam Thịnh,31.883.308.200,44.304.361.200,31883308200.0,44304361200.0
Công ty TNHH Tập đoàn Thang máy Thiết bị,Công ty TNHH Tập đoàn Thang máy Thiết bị,Công ty TNHH Tập đoàn Thang máy Thiết bị,Công ty TNHH Tập đoàn Thang máy Thiết bị,Công ty TNHH Tập đoàn Thang máy Thiết bị,,
Thăng Long,Công ty TNHH Tập đoàn Thang máy Thiết bị > Thăng Long,Thăng Long,-,18.403.715.000,,18403715000.0
Công ty Cổ phần Sông Đà 10,Công ty TNHH Tập đoàn Thang máy Thiết bị > Công ty Cổ phần Sông Đà 10,Công ty Cổ phần Sông Đà 10,-,7.943.574.450,,7943574450.0
Công ty Cổ phần Sông Đà 505,Công ty TNHH Tập đoàn Thang máy Thiết bị > Công ty Cổ phần Sông Đà 505,Công ty Cổ phần Sông Đà 505,31.783.845.642,10.766.655.375,31783845642.0,10766655375.0
Viện thiết kế Điện Quý Dương Trung Quốc,Công ty TNHH Tập đoàn Thang máy Thiết bị > Viện thiết kế Điện Quý Dương Trung Quốc,Viện thiết kế Điện Quý Dương Trung Quốc,23.477.412.247,-,23477412247.0,
Công ty TNHH Thí nghiệm Điện Miền Trung,Công ty TNHH Tập đoàn Thang máy Thiết bị > Công ty TNHH Thí nghiệm Điện Miền Trung,Công ty TNHH Thí nghiệm Điện Miền Trung,16.370.789.113,-,16370789113.0,
Công ty Cổ phần EUROWINDOW,Công ty TNHH Tập đoàn Thang máy Thiết bị > Công ty Cổ phần EUROWINDOW,Công ty Cổ phần EUROWINDOW,31.422.791.157,-,31422791157.0,
Công Ty Cổ Phần Tập Đoàn Xây dựng Hòa Bình,Công ty TNHH Tập đoàn Thang máy Thiết bị > Công Ty Cổ Phần Tập Đoàn Xây dựng Hòa Bình,Công Ty Cổ Phần Tập Đoàn Xây dựng Hòa Bình,16.917.722.957,-,16917722957.0,
Ngân hàng Thương mại Cổ phần Sài Gòn,Công ty TNHH Tập đoàn Thang máy Thiết bị > Ngân hàng Thương mại Cổ phần Sài Gòn,Ngân hàng Thương mại Cổ phần Sài Gòn,72.000.000.000,-,72000000000.0,
Công ty TNHH Đầu tư Xây dựng Unicons,Công ty TNHH Tập đoàn Thang máy Thiết bị > Công ty TNHH Đầu tư Xây dựng Unicons,Công ty TNHH Đầu tư Xây dựng Unicons,123.812.446.307,62.873.329.469,123812446307.0,62873329469.0
Các nhà cung cấp khác,Công ty TNHH Tập đoàn Thang máy Thiết bị > Các nhà cung cấp khác,Các nhà cung cấp khác,283.402.834.728,240.792.685.590,283402834728.0,240792685590.0
,,,710.318.520.808,485.241.927.985,710318520808.0,485241927985.0
