row_label_raw,row_label_full,Tại ngày 31/12/2019,Kinh doanh bất động sản VND,Xây dựng VND,"Sản xuất, kinh doanh điện VND",Hoạt động khác VND,Loại trừ VND,Hợp nhất VND,numeric__Kinh doanh bất động sản VND,numeric__Xây dựng VND,"numeric__Sản xuất, kinh doanh điện VND",numeric__Hoạt động khác VND,numeric__Loại trừ VND,numeric__Hợp nhất VND
Tài sản của bộ phận,Tài sản của bộ phận,Tài sản của bộ phận,7.636.354.945.204,676.308.472.845,6.634.457.838.998,813.693.524.186,(2.771.470.374.732),12.989.344.406.501,7636354945204.0,676308472845.0,6634457838998.0,813693524186.0,-2771470374732.0,12989344406501.0
Khoản đầu tư vào công ty liên kết,Khoản đầu tư vào công ty liên kết,Khoản đầu tư vào công ty liên kết,130.000.000,-,-,-,-,130.000.000,130000000.0,,,,,130000000.0
Tài sản không phân bổ,Tài sản không phân bổ,Tài sản không phân bổ,,,,,,876.846.393.963,,,,,,876846393963.0
Tổng tài sản,Tổng tài sản,Tổng tài sản,,,,,,13.866.320.800.464,,,,,,13866320800464.0
Nợ phải trả của bộ phận,Nợ phải trả của bộ phận,Nợ phải trả của bộ phận,5.154.567.484.559,579.157.679.380,4.969.113.884.484,302.632.952.005,(762.080.357.401),10.243.391.643.027,5154567484559.0,579157679380.0,4969113884484.0,302632952005.0,-762080357401.0,10243391643027.0
Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,,,,,,342.557.911.932,,,,,,342557911932.0
Tổng nợ phải trả,Tổng nợ phải trả,Tổng nợ phải trả,,,,,,10.585.949.554.959,,,,,,10585949554959.0
Năm 2019,Năm 2019,Năm 2019,Kinh doanh bất động sản VND,Xây dựng VND,"Sản xuất, kinh doanh điện VND",Hoạt động khác VND,Loại trừ VND,Hợp nhất VND,,,,,,
Chi tiêu vốn,Năm 2019 > Chi tiêu vốn,Chi tiêu vốn,29.940.244.127,-,2.004.457.813.607,6.077.311.941,(8.676.675.979),2.031.798.693.696,29940244127.0,,2004457813607.0,6077311941.0,-8676675979.0,2031798693696.0
Khẩu hao tài sản cố định hữu hình,Năm 2019 > Khẩu hao tài sản cố định hữu hình,Khẩu hao tài sản cố định hữu hình,8.775.214.975,12.594.066.110,129.051.780.581,757.391.878,9.331.555.182,160.510.008.726,8775214975.0,12594066110.0,129051780581.0,757391878.0,9331555182.0,160510008726.0
Khẩu hao tài sản cố định vô hình,Năm 2019 > Khẩu hao tài sản cố định vô hình,Khẩu hao tài sản cố định vô hình,79.226.660,103.820.000,5.652.916.566,217.096.656,-,6.053.059.882,79226660.0,103820000.0,5652916566.0,217096656.0,,6053059882.0
Khẩu hao bất động sản đầu tư,Năm 2019 > Khẩu hao bất động sản đầu tư,Khẩu hao bất động sản đầu tư,-,-,-,38.042.362.198,(1.389.108.452),36.653.253.746,,,,38042362198.0,-1389108452.0,36653253746.0
