row_label_raw,row_label_full,Người đại diện theo pháp luật,Ông Nguyễn Trọng Thông,col_2,numeric__Ông Nguyễn Trọng Thông,numeric__col_2
Ban Giám đốc,Ban Giám đốc,Ban Giám đốc,Ông Chu Tuấn AnhÔng Nguyễn Trọng MinhÔng Trần Trung DũngÔng Nguyễn Văn Đông,Phó Tổng Giám đốcPhó Tổng Giám đốcPhó Tổng Giám đốc(từ ngày 12/11/2019)Phó Tổng Giám đốc(từ ngày 30/1/2019 đến ngày 1/4/2019),,
Ban Kiểm soát,Ban Kiểm soát,Ban Kiểm soát,Ông Đỗ Văn BìnhÔng Phạm Trọng KhiêmBà Chử Thị Lan,Trường ban (đến ngày 18/4/2019)Thành viên (đến ngày 18/4/2019)Thành viên (đến ngày 18/4/2019),,
Ủy ban Kiểm toán,Ủy ban Kiểm toán,Ủy ban Kiểm toán,Bà Nguyễn Thị Hồng HạnhBà Cao Thị TâmÔng Phạm Trọng KhiêmBà Chử Thị LanBà Tạ Thị LươngBà Nguyễn Thị Thúy HàBà Nghiêm Thị Ngọc TrangÔng Nguyễn Thế Diện,Chủ tịch (đến ngày 15/2/2020)Phó Chủ tịch (từ ngày 1/8/2019)Ủy viênỦy viênỦy viênỦy viên (từ ngày 1/8/2019)Ủy viên (đến ngày 1/8/2019)Ủy viên (đến ngày 1/8/2019),,
