row_label_raw,row_label_full,Bên liên quan > Đầu tư nấm giữ đến ngày đáo hạn (Thuyết minh số 6.2 và 15.2),Môi quan hệ > Đầu tư nấm giữ đến ngày đáo hạn (Thuyết minh số 6.2 và 15.2),Nội dung nghiệp vụ > Đầu tư nấm giữ đến ngày đáo hạn (Thuyết minh số 6.2 và 15.2),Số cuối năm > Đầu tư nấm giữ đến ngày đáo hạn (Thuyết minh số 6.2 và 15.2),Đơn vị tính: VND > Đầu tư nấm giữ đến ngày đáo hạn (Thuyết minh số 6.2 và 15.2),numeric__Môi quan hệ > Đầu tư nấm giữ đến ngày đáo hạn (Thuyết minh số 6.2 và 15.2),numeric__Nội dung nghiệp vụ > Đầu tư nấm giữ đến ngày đáo hạn (Thuyết minh số 6.2 và 15.2),numeric__Số cuối năm > Đầu tư nấm giữ đến ngày đáo hạn (Thuyết minh số 6.2 và 15.2),numeric__Đơn vị tính: VND > Đầu tư nấm giữ đến ngày đáo hạn (Thuyết minh số 6.2 và 15.2)
Công ty Cổ phầnChứng khoán IB,Công ty Cổ phầnChứng khoán IB,Công ty Cổ phầnChứng khoán IB,Các nhân sựlãnh đạo là thànhviên gia đình,Trái phiếu,-,15.000.000.000,,,,15000000000.0
Công ty Cổ phầnQuản lý quỹ Đầu tưĐỏ,Công ty Cổ phầnQuản lý quỹ Đầu tưĐỏ,Công ty Cổ phầnQuản lý quỹ Đầu tưĐỏ,Bên liên quancủa thành viênHĐQT,Ủy thác đầu tư,-,100.287.671.200,,,,100287671200.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,-,115.287.671.200,,,,115287671200.0
Phải thu ngắn hạn khách hàng (Thuyết minh số 7),Phải thu ngắn hạn khách hàng (Thuyết minh số 7),Phải thu ngắn hạn khách hàng (Thuyết minh số 7),Phải thu ngắn hạn khách hàng (Thuyết minh số 7),Phải thu ngắn hạn khách hàng (Thuyết minh số 7),Phải thu ngắn hạn khách hàng (Thuyết minh số 7),Phải thu ngắn hạn khách hàng (Thuyết minh số 7),,,,
Công ty Cổ phầnViwaco,Phải thu ngắn hạn khách hàng (Thuyết minh số 7) > Công ty Cổ phầnViwaco,Công ty Cổ phầnViwaco,Bên liên quancủa Thành viênHĐQT,Doanh thu nướcsạch,69.110.274.359,66.114.236.778,,,69110274359.0,66114236778.0
Công ty Cổ phầnChế tạo Born Hải Dương,Phải thu ngắn hạn khách hàng (Thuyết minh số 7) > Công ty Cổ phầnChế tạo Born Hải Dương,Công ty Cổ phầnChế tạo Born Hải Dương,Bên liên quancủa thành viênHĐQT,Bán hàng và cungcấp dịch vụ,51.558.885.338,41.601.329.763,,,51558885338.0,41601329763.0
Công ty Liên Doanh Phát Triển Tiếp Vận Số 1,Phải thu ngắn hạn khách hàng (Thuyết minh số 7) > Công ty Liên Doanh Phát Triển Tiếp Vận Số 1,Công ty Liên Doanh Phát Triển Tiếp Vận Số 1,Công ty liên kết,Bán hàng và cungcấp dịch vụ,4.215.206.236,10.128.761.523,,,4215206236.0,10128761523.0
Các bên liên quankhác,Phải thu ngắn hạn khách hàng (Thuyết minh số 7) > Các bên liên quankhác,Các bên liên quankhác,,Khác,7.514.595.742,7.001.107.150,,,7514595742.0,7001107150.0
TỔNG CỘNG,Phải thu ngắn hạn khách hàng (Thuyết minh số 7) > TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,132.398.961.675,124.845.435.214,,,132398961675.0,124845435214.0
