row_label_raw,row_label_full,col_0,Bảng cân đối kế toán hợp nhất,Bảng cân đối kế toán hợp nhất_1,Báo cáo kết quả hoạt động kinh doanh hợp nhất,Báo cáo kết quả hoạt động kinh doanh hợp nhất_1,numeric__Bảng cân đối kế toán hợp nhất,numeric__Bảng cân đối kế toán hợp nhất_1,numeric__Báo cáo kết quả hoạt động kinh doanh hợp nhất,numeric__Báo cáo kết quả hoạt động kinh doanh hợp nhất_1
,,,Số cuối năm,Số đầu năm,Năm nay,Năm trước,,,,
Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,,,,
Thu nhập từ bồi thường di đời chưa thực hiện trong công ty liên kết,Tài sản thuế thu nhập hoãn lại > Thu nhập từ bồi thường di đời chưa thực hiện trong công ty liên kết,Thu nhập từ bồi thường di đời chưa thực hiện trong công ty liên kết,7.210.119.673,7.210.119.673,-,-,7210119673.0,7210119673.0,,
Trích lập các khoản dự phòng,Tài sản thuế thu nhập hoãn lại > Trích lập các khoản dự phòng,Trích lập các khoản dự phòng,10.043.670.490,3.509.594.781,6.534.075.709,3.509.594.781,10043670490.0,3509594781.0,6534075709.0,3509594781.0
Lợi nhuận chưa thực hiện,Tài sản thuế thu nhập hoãn lại > Lợi nhuận chưa thực hiện,Lợi nhuận chưa thực hiện,11.668.881.919,109.485.966,11.559.395.953,,11668881919.0,109485966.0,11559395953.0,
Khác,Tài sản thuế thu nhập hoãn lại > Khác,Khác,1.801.569.494,5.099.166.773,(3.297.597.279),912.559.379,1801569494.0,5099166773.0,-3297597279.0,912559379.0
,,,30.724.241.576,15.928.367.193,,,30724241576.0,15928367193.0,,
Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,,,,
Chênh lệch đánh giá lại tài sản do hợp nhất kinh doanh,Thuế thu nhập hoãn lại phải trả > Chênh lệch đánh giá lại tài sản do hợp nhất kinh doanh,Chênh lệch đánh giá lại tài sản do hợp nhất kinh doanh,(166.002.099.305),(168.897.718.656),2.895.627.351,6.348.076.270,-166002099305.0,-168897718656.0,2895627351.0,6348076270.0
,,,(166.002.099.305),(168.897.718.656),,,-166002099305.0,-168897718656.0,,
Thu nhập thuế thu nhập hoãn lại tính vào kết quả kinh doanh hợp nhất,Thuế thu nhập hoãn lại phải trả > Thu nhập thuế thu nhập hoãn lại tính vào kết quả kinh doanh hợp nhất,Thu nhập thuế thu nhập hoãn lại tính vào kết quả kinh doanh hợp nhất,,,17.691.493.734,10.770.230.430,,,17691493734.0,10770230430.0
