row_label_raw,row_label_full,Tổ chức phát hành > Công ty Cổ phần Đầu tư Công nghệ và Giáo dục Hải An (“Công ty Hải An”) > Công ty Cổ phần Đầu tư Nước sạch và Môi trường Eco&More,Số cuối năm (VND) > 30.000.000.000 > 20.948.164.380,"Kỳ hạn trả gốc và lãi > Kỳ hạn 3 năm, lãi được nhận 6 tháng một lần, đáo hạn ngày 30 tháng 7 năm 2021 > Kỳ hạn 3 năm, lãi được nhận 6 tháng một lần, đáo hạn ngày 21 tháng 6 năm 2021","Lãi suất (%/năm) > 10,5% > 10,4%",Hình thức đảm bảo > (*),numeric__Số cuối năm (VND) > 30.000.000.000 > 20.948.164.380,"numeric__Kỳ hạn trả gốc và lãi > Kỳ hạn 3 năm, lãi được nhận 6 tháng một lần, đáo hạn ngày 30 tháng 7 năm 2021 > Kỳ hạn 3 năm, lãi được nhận 6 tháng một lần, đáo hạn ngày 21 tháng 6 năm 2021","numeric__Lãi suất (%/năm) > 10,5% > 10,4%",numeric__Hình thức đảm bảo > (*)
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,50.948.164.380,,,,50948164380.0,,,
Trong đó:- Trái phiếu của bên liên quan- Trái phiếu của tổ chức khác,Trong đó:- Trái phiếu của bên liên quan- Trái phiếu của tổ chức khác,Trong đó:- Trái phiếu của bên liên quan- Trái phiếu của tổ chức khác,50.948.164.380,,,,50948164380.0,,,
