row_label_raw,row_label_full,Năm trước > Số đầu năm,Vốn cổ phần đã phát hành > Năm trước > 2.668.000.000.000,Thặng dư vốn cổ phần > Năm trước > 622.337.724.760,Vốn khác > Năm trước > 77.388.963.577,Chênh lệch tỷ giá hối đoái > Năm trước > 48.866.128,Quỹ đầu tư phát triển > Năm trước > 77.023.242.245,Lợi nhuận sau thuế chưa phân phối > Năm trước > 785.974.270.959,Lợi ích cổ đông không kiểm soát > Năm trước > 1.915.810.706.293,Đơn vị tính: VND Tổng cộng > Năm trước > 6.146.583.773.962,numeric__Vốn cổ phần đã phát hành > Năm trước > 2.668.000.000.000,numeric__Thặng dư vốn cổ phần > Năm trước > 622.337.724.760,numeric__Vốn khác > Năm trước > 77.388.963.577,numeric__Chênh lệch tỷ giá hối đoái > Năm trước > 48.866.128,numeric__Quỹ đầu tư phát triển > Năm trước > 77.023.242.245,numeric__Lợi nhuận sau thuế chưa phân phối > Năm trước > 785.974.270.959,numeric__Lợi ích cổ đông không kiểm soát > Năm trước > 1.915.810.706.293,numeric__Đơn vị tính: VND Tổng cộng > Năm trước > 6.146.583.773.962
- Tăng vốn,- Tăng vốn,- Tăng vốn,720.000.000.000,547.112.000.000,-,-,-,-,-,1.267.112.000.000,720000000000.0,547112000000.0,,,,,,1267112000000.0
- Phát hành cổ phiếu đề tăng vốn cổ phần tử nguồn vốn chủ sở hữu,- Phát hành cổ phiếu đề tăng vốn cổ phần tử nguồn vốn chủ sở hữu,- Phát hành cổ phiếu đề tăng vốn cổ phần tử nguồn vốn chủ sở hữu,677.600.000.000,(622.337.724.760),-,-,-,(55.262.275.240),-,-,677600000000.0,-622337724760.0,,,,-55262275240.0,,
- Lợi nhuận thuần trong năm,- Lợi nhuận thuần trong năm,- Lợi nhuận thuần trong năm,-,-,-,-,-,942.442.353.541,341.041.003.682,1.283.483.357.223,,,,,,942442353541.0,341041003682.0,1283483357223.0
- Chia cổ tức,- Chia cổ tức,- Chia cổ tức,-,-,-,-,-,(338.800.000.000),(133.055.680.087),(471.855.680.087),,,,,,-338800000000.0,-133055680087.0,-471855680087.0
"- Trích quỹ khen thưởng, phúc lợi","- Trích quỹ khen thưởng, phúc lợi","- Trích quỹ khen thưởng, phúc lợi",-,-,-,-,-,(62.478.597.060),(20.273.691.875),(82.752.288.935),,,,,,-62478597060.0,-20273691875.0,-82752288935.0
- Thù lao HĐQT,- Thù lao HĐQT,- Thù lao HĐQT,-,-,-,-,-,(892.400.030),(780.199.970),(1.672.600.000),,,,,,-892400030.0,-780199970.0,-1672600000.0
- Mua thêm lợi ích từ cổ đông không kiểm soát,- Mua thêm lợi ích từ cổ đông không kiểm soát,- Mua thêm lợi ích từ cổ đông không kiểm soát,-,-,-,-,-,(353.286.749.850),(310.013.443.266),(663.300.193.116),,,,,,-353286749850.0,-310013443266.0,-663300193116.0
- Công ty con mua cổ phiếu quỹ,- Công ty con mua cổ phiếu quỹ,- Công ty con mua cổ phiếu quỹ,-,-,-,-,-,(77.012.608.188),(147.429.004.996),(224.441.613.184),,,,,,-77012608188.0,-147429004996.0,-224441613184.0
- Giảm tỷ lệ sở hữu tại công ty con,- Giảm tỷ lệ sở hữu tại công ty con,- Giảm tỷ lệ sở hữu tại công ty con,-,-,-,-,-,5.912.660.882,(5.912.660.882),-,,,,,,5912660882.0,-5912660882.0,
- Mua công ty con trong năm,- Mua công ty con trong năm,- Mua công ty con trong năm,-,-,-,-,-,-,883.351.014.521,883.351.014.521,,,,,,,883351014521.0,883351014521.0
- Thanh lý công ty con trong năm,- Thanh lý công ty con trong năm,- Thanh lý công ty con trong năm,-,-,-,-,-,-,(180.370.556.482),(180.370.556.482),,,,,,,-180370556482.0,-180370556482.0
- Tăng khác,- Tăng khác,- Tăng khác,-,-,-,187.165.723,-,-,-,187.165.723,,,,187165723.0,,,,187165723.0
Số cuối năm,Số cuối năm,Số cuối năm,4.065.600.000.000,547.112.000.000,77.388.963.577,236.031.851,77.023.242.245,846.596.655.014,2.342.367.486.938,7.956.324.379.625,4065600000000.0,547112000000.0,77388963577.0,236031851.0,77023242245.0,846596655014.0,2342367486938.0,7956324379625.0
