row_label_raw,row_label_full,Thuế giá trị gia tăng,Số đầu năm > 19.329.511.076,Số phải nộp trong năm > 823.227.153.919,Số đã nộp trong năm > (805.112.554.994),Đơn vị tính: VND > 37.444.110.001,numeric__Số đầu năm > 19.329.511.076,numeric__Số phải nộp trong năm > 823.227.153.919,numeric__Số đã nộp trong năm > (805.112.554.994),numeric__Đơn vị tính: VND > 37.444.110.001
Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,101.874.153.111,262.065.742.996,(296.510.737.350),67.429.158.757,101874153111.0,262065742996.0,-296510737350.0,67429158757.0
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,9.639.164.680,60.101.167.774,(59.265.056.043),10.475.276.411,9639164680.0,60101167774.0,-59265056043.0,10475276411.0
Thuế đất,Thuế đất,Thuế đất,-,29.460.725.338,(29.460.725.338),-,,29460725338.0,-29460725338.0,
"Phí, lệ phí và các khoản phải nộp khác","Phí, lệ phí và các khoản phải nộp khác","Phí, lệ phí và các khoản phải nộp khác",19.934.976.732,55.086.688.109,(50.170.433.589),24.851.231.252,19934976732.0,55086688109.0,-50170433589.0,24851231252.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,150.777.805.599,1.229.941.478.136,(1.240.519.507.314),140.199.776.421,150777805599.0,1229941478136.0,-1240519507314.0,140199776421.0
