row_label_raw,row_label_full,Vào ngày 31 tháng 12 năm 2019 và cho năm tài chính kết thúc cùng ngày,Sản xuất và kinh doanh thiết bị điện > Vào ngày 31 tháng 12 năm 2019 và cho năm tài chính kết thúc cùng ngày,Cung cấp dịch vụ vận tải và kho vận > Vào ngày 31 tháng 12 năm 2019 và cho năm tài chính kết thúc cùng ngày,Sản xuất và kinh doanh măng năng lượng > Vào ngày 31 tháng 12 năm 2019 và cho năm tài chính kết thúc cùng ngày,Khác > Vào ngày 31 tháng 12 năm 2019 và cho năm tài chính kết thúc cùng ngày,Loại trừ > Vào ngày 31 tháng 12 năm 2019 và cho năm tài chính kết thúc cùng ngày,Đơn vị tính: VND Tổng cộng > Vào ngày 31 tháng 12 năm 2019 và cho năm tài chính kết thúc cùng ngày,numeric__Sản xuất và kinh doanh thiết bị điện > Vào ngày 31 tháng 12 năm 2019 và cho năm tài chính kết thúc cùng ngày,numeric__Cung cấp dịch vụ vận tải và kho vận > Vào ngày 31 tháng 12 năm 2019 và cho năm tài chính kết thúc cùng ngày,numeric__Sản xuất và kinh doanh măng năng lượng > Vào ngày 31 tháng 12 năm 2019 và cho năm tài chính kết thúc cùng ngày,numeric__Khác > Vào ngày 31 tháng 12 năm 2019 và cho năm tài chính kết thúc cùng ngày,numeric__Loại trừ > Vào ngày 31 tháng 12 năm 2019 và cho năm tài chính kết thúc cùng ngày,numeric__Đơn vị tính: VND Tổng cộng > Vào ngày 31 tháng 12 năm 2019 và cho năm tài chính kết thúc cùng ngày
Doanh thu,Doanh thu,Doanh thu,12.667.307.219.841,1.638.316.230.325,712.347.715.637,297.014.752.719,-,15.314.985.918.522,12667307219841.0,1638316230325.0,712347715637.0,297014752719.0,,15314985918522.0
Kết quả,Kết quả,Kết quả,,,,,,,,,,,,
Lợi nhuận gộp của bộ phận,Kết quả > Lợi nhuận gộp của bộ phận,Lợi nhuận gộp của bộ phận,1.989.956.993.685,361.086.940.308,329.021.745.128,58.917.479.105,-,2.738.983.158.226(1.636.519.284.789),1989956993685.0,361086940308.0,329021745128.0,58917479105.0,,
Thu nhập/(chỉ phí) không phân bổ (*),Kết quả > Thu nhập/(chỉ phí) không phân bổ (*),Thu nhập/(chỉ phí) không phân bổ (*),,,,,,1.102.463.873.437,,,,,,1102463873437.0
Lợi nhuận thuần trước thuế,Kết quả > Lợi nhuận thuần trước thuế,Lợi nhuận thuần trước thuế,,,,,,(249.997.202.694),,,,,,-249997202694.0
Chi phí thuế thu nhập doanh nghiệp,Chi phí thuế thu nhập doanh nghiệp,Chi phí thuế thu nhập doanh nghiệp,,,,,,,,,,,,
Lợi nhuận thuần sau thuế,Chi phí thuế thu nhập doanh nghiệp > Lợi nhuận thuần sau thuế,Lợi nhuận thuần sau thuế,,,,,,852.466.670.743,,,,,,852466670743.0
Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,,,,,,,,,,,,
Tài sản bộ phận,Tài sản và công nợ > Tài sản bộ phận,Tài sản bộ phận,5.622.522.549.189,1.443.155.189.219,3.934.311.231.815,218.838.013.484,-,11.218.826.983.707,5622522549189.0,1443155189219.0,3934311231815.0,218838013484.0,,11218826983707.0
Tài sản không phân bổ (*),Tài sản và công nợ > Tài sản không phân bổ (*),Tài sản không phân bổ (*),,,,,,10.043.088.644.343,,,,,,10043088644343.0
Tổng tài sản,Tài sản và công nợ > Tổng tài sản,Tổng tài sản,,,,,,21.261.915.628.050,,,,,,21261915628050.0
Công nợ bộ phận,Tài sản và công nợ > Công nợ bộ phận,Công nợ bộ phận,9.029.455.391.385,349.790.354.966,859.446.498.284,6.811.834.824,-,10.245.504.079.459,9029455391385.0,349790354966.0,859446498284.0,6811834824.0,,10245504079459.0
Công nợ không phân bổ (*),Tài sản và công nợ > Công nợ không phân bổ (*),Công nợ không phân bổ (*),,,,,,2.339.373.366.256,,,,,,2339373366256.0
Tổng công nợ,Tài sản và công nợ > Tổng công nợ,Tổng công nợ,,,,,,12.584.877.445.715,,,,,,12584877445715.0
Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,,,,,,
Chi phí hình thành tài sản cố định(**),Các thông tin bộ phận khác > Chi phí hình thành tài sản cố định(**),Chi phí hình thành tài sản cố định(**),473.096.190.995,91.817.464.874,1.104.124.783.445,-,-,1.669.038.439.314,473096190995.0,91817464874.0,1104124783445.0,,,1669038439314.0
Tài sản cố định hữu hình,Các thông tin bộ phận khác > Tài sản cố định hữu hình,Tài sản cố định hữu hình,472.307.644.995,89.847.064.874,1.104.089.501.445,-,-,1.666.244.211.314,472307644995.0,89847064874.0,1104089501445.0,,,1666244211314.0
Tài sản cố định vô hình,Các thông tin bộ phận khác > Tài sản cố định vô hình,Tài sản cố định vô hình,788.546.000,1.970.400.000,35.282.000,-,-,2.794.228.000,788546000.0,1970400000.0,35282000.0,,,2794228000.0
Khẩu hao,Các thông tin bộ phận khác > Khẩu hao,Khẩu hao,179.606.625.591,72.519.313.607,211.955.378.778,14.692.318.281,-,478.773.636.257,179606625591.0,72519313607.0,211955378778.0,14692318281.0,,478773636257.0
Hao mòn,Các thông tin bộ phận khác > Hao mòn,Hao mòn,1.789.276.582,565.620.424,10.783.391.556,2.244.644,-,13.140.533.206,1789276582.0,565620424.0,10783391556.0,2244644.0,,13140533206.0
