row_label_raw,row_label_full,Bên liên quan > Phải trả người bán ngắn hạn (Thuyết minh số 18) > Công ty Dây đồng Việt Nam - CFT,Mối quan hệ > Phải trả người bán ngắn hạn (Thuyết minh số 18) > Công ty liên kết,Nội dung nghiệp vụ > Phải trả người bán ngắn hạn (Thuyết minh số 18) > Mua hàng hóa,Số cuối năm > Phải trả người bán ngắn hạn (Thuyết minh số 18) > 32.149.858.433,Đơn vị tính: VND Số đầu năm > Phải trả người bán ngắn hạn (Thuyết minh số 18) > 83.729.537.578,numeric__Mối quan hệ > Phải trả người bán ngắn hạn (Thuyết minh số 18) > Công ty liên kết,numeric__Nội dung nghiệp vụ > Phải trả người bán ngắn hạn (Thuyết minh số 18) > Mua hàng hóa,numeric__Số cuối năm > Phải trả người bán ngắn hạn (Thuyết minh số 18) > 32.149.858.433,numeric__Đơn vị tính: VND Số đầu năm > Phải trả người bán ngắn hạn (Thuyết minh số 18) > 83.729.537.578
Tổng Công ty Thiết bị Điện Đông Anh – Công ty Cổ phần,Tổng Công ty Thiết bị Điện Đông Anh – Công ty Cổ phần,Tổng Công ty Thiết bị Điện Đông Anh – Công ty Cổ phần,Công ty liên kết,Mua hàng hóa,870.142.070,137.712.844.886,,,870142070.0,137712844886.0
Công ty Liên Doanh Phát Triển Tiếp Vận Số 1,Công ty Liên Doanh Phát Triển Tiếp Vận Số 1,Công ty Liên Doanh Phát Triển Tiếp Vận Số 1,Công ty liên kết,Mua dịch vụ,-,20.802.155,,,,20802155.0
Công ty cổ phần chứng khoán IB,Công ty cổ phần chứng khoán IB,Công ty cổ phần chứng khoán IB,Các nhân sự lãnh đạo là thành viên gia đình,Phí lưu ký,32.431.700,-,,,32431700.0,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,33.052.432.203,221.463.184.619,,,33052432203.0,221463184619.0
Phải trả người bán dài hạn,Phải trả người bán dài hạn,Phải trả người bán dài hạn,Phải trả người bán dài hạn,Phải trả người bán dài hạn,Phải trả người bán dài hạn,Phải trả người bán dài hạn,,,,
Tổng Công ty Thiết bị Điện Đông Anh – Công ty Cổ phần,Phải trả người bán dài hạn > Tổng Công ty Thiết bị Điện Đông Anh – Công ty Cổ phần,Tổng Công ty Thiết bị Điện Đông Anh – Công ty Cổ phần,Công ty liên kết,"Mua vật tư, thiết bị",22.345.000.000,-,,,22345000000.0,
TỔNG CỘNG,Phải trả người bán dài hạn > TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,22.345.000.000,-,,,22345000000.0,
Người mua trả tiền trước,Người mua trả tiền trước,Người mua trả tiền trước,Người mua trả tiền trước,Người mua trả tiền trước,Người mua trả tiền trước,Người mua trả tiền trước,,,,
Tổng Công ty Thiết bị điện Đông Anh – Công ty Cổ phần,Người mua trả tiền trước > Tổng Công ty Thiết bị điện Đông Anh – Công ty Cổ phần,Tổng Công ty Thiết bị điện Đông Anh – Công ty Cổ phần,Công ty liên kết,"Mua vật tư, thiết bị",5.403.109.302,-,,,5403109302.0,
TỔNG CỘNG,Người mua trả tiền trước > TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,5.403.109.302,-,,,5403109302.0,
Phải trả ngắn hạn khác (Thuyết minh số 21),Phải trả ngắn hạn khác (Thuyết minh số 21),Phải trả ngắn hạn khác (Thuyết minh số 21),Phải trả ngắn hạn khác (Thuyết minh số 21),Phải trả ngắn hạn khác (Thuyết minh số 21),Phải trả ngắn hạn khác (Thuyết minh số 21),Phải trả ngắn hạn khác (Thuyết minh số 21),,,,
Công ty TNHH Phát triển Bất động sản SORECO,Phải trả ngắn hạn khác (Thuyết minh số 21) > Công ty TNHH Phát triển Bất động sản SORECO,Công ty TNHH Phát triển Bất động sản SORECO,Công ty liên kết,Nhận ứng trước tiền hỗ trợ di dồi,40.000.000.000,40.000.000.000,,,40000000000.0,40000000000.0
TỔNG CỘNG,Phải trả ngắn hạn khác (Thuyết minh số 21) > TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,40.000.000.000,40.000.000.000,,,40000000000.0,40000000000.0
Các giao dịch với bên liên quan khác,Các giao dịch với bên liên quan khác,Các giao dịch với bên liên quan khác,Các giao dịch với bên liên quan khác,Các giao dịch với bên liên quan khác,Các giao dịch với bên liên quan khác,Các giao dịch với bên liên quan khác,,,,
