row_label_raw,row_label_full,Bên cho vay > Ngân hàng Phát triển Việt Nam - Chi nhánh Quảng Nam > Ngân hàng TMCP Ngoại thương Việt Nam - Chi nhánh Tây Hồ > Ngân hàng Standard Chartered – Chi nhánh Thành phố Hồ Chí Minh > Ngân hàng TNHH MTV Shinhan Việt Nam > Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Quảng Nam > Ngân hàng TMCP Ngoại thương Việt Nam – Chi nhánh Tây Hồ và Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Cầu Giấy > Hiệp định vay các Nghiệp vụ Thông thường (“Khoản vay OCR”) và Hiệp định vay các Nghiệp vụ Đặc biệt (“Khoản vay ADF) > Các ngân hàng khác,Số cuối năm (VND) > 773.464.823.000 > 355.848.425.796 > 263.135.156.885 > 107.784.435.107 > 100.150.000.000 > 70.010.566.192 > 55.213.289.100 > 204.358.802.544,"Kỳ hạn trả gốc và lãi > Gốc vay đáo hạn lần cuối ngày 24 tháng 11 năm 2028. Lãi vay trả hàng tháng > Thời hạn vay tối đa là 216 tháng, đáo hạn lần cuối vào tháng 11 năm 2036. Gốc và lãi vay trả hàng quý > Gốc vay đáo hạn lần cuối ngày 10 tháng 12 năm 2026. Lãi vay trả 3 tháng 1 lần > Gốc vay đáo hạn lần cuối ngày 18 tháng 10 năm 2025. Lãi vay trả hàng tháng > Gốc vay đáo hạn lần cuối ngày 13 tháng 9 năm 2023. Lãi vay trả hàng tháng > Thời gian cho vay là 216 tháng. Gốc vay đáo hạn lần cuối vào tháng 2 năm 2034. Gốc và lãi vay trả hàng quý > Gốc vay đáo hạn lần cuối ngày 15 tháng 11 năm 2041. Lãi vay trả 6 tháng một lần > Gốc vay đáo hạn lần cuối ngày 5 tháng 9 năm 2026. Lãi vay trả hàng tháng, quỹ hoặc 6 tháng một lần","Lãi suất (%/năm) > 6,9% - 11% > 8,4% - 8,9% > 7,11% - 8,71% > 9,4% - 9,59% > 9,8% - 10,5% > 9,4% - 9,5% > 1% - 1,5% > 8,8 - 10,7%","Hình thức đảm bảo > Các tài sản của công trình Thủy điện Sông Bung 4A của Công ty Cổ phần Phú Thạnh Mỹ > Tài sản thuộc Dự án Đầu tư Xây dựng Hệ thống cấp nước chuỗi đô thị Sơn Tây - Hòa Lạc - Xuân Mai - Miếu Môn - Hà Nội - Hà Đông, Giai đoạn 2 nâng công suất lên 600.000 m3 và tài sản mua sử dụng cho Giai đoạn I Dư án Hệ thống cấp nước chuỗi đô thị Sơn Tây- Hòa Lạc- Xuân Mai- Miếu Môn- Hà Nội- Hà Đông với công suất 300.000 m3 > Tất cả các tài khoản thanh toán hiện tại và tương lai tại ngân hàng Standard Chartered và máy móc, nhà xưởng được tài trợ bởi khoản vay, quyền sử dụng đất và tài sản gắn liền với đất tại tòa nhà Cadivi Tower của Công ty Cadivi > Quyền sử dụng đất đai tại đường số 2, Khu công nghiệp Hòa Cảm, quận Cẩm Lệ, thành phố Đà Nẵng và máy móc thiết bị tại nhà máy Miền Trung của Công ty Cadivi > Toàn bộ số dư và tài khoản tiền gửi, quyền sử dụng mặt nước, quyền khai thác tài nguyên của Công ty Phú Thạnh Mỹ > Tài sản thuộc Phân kỳ 1 Dự án Đầu tư Xây dựng Hệ thống cấp nước chuỗi đô thị Sơn Tây - Hòa Lạc - Xuân Mai - Miếu Môn - Hà Nội - Hà Đông, Giai đoạn 2 nâng công suất lên 600.000 m3 > Một số phương tiện vận tải và hợp đồng tiền gửi với giá trị 50 tỷ VND thuộc sở hữu của Tổng Công ty Cổ phần Đường sông Miền Nam > Đảm bảo bằng một số tài sản của Tập đoàn",numeric__Số cuối năm (VND) > 773.464.823.000 > 355.848.425.796 > 263.135.156.885 > 107.784.435.107 > 100.150.000.000 > 70.010.566.192 > 55.213.289.100 > 204.358.802.544,"numeric__Kỳ hạn trả gốc và lãi > Gốc vay đáo hạn lần cuối ngày 24 tháng 11 năm 2028. Lãi vay trả hàng tháng > Thời hạn vay tối đa là 216 tháng, đáo hạn lần cuối vào tháng 11 năm 2036. Gốc và lãi vay trả hàng quý > Gốc vay đáo hạn lần cuối ngày 10 tháng 12 năm 2026. Lãi vay trả 3 tháng 1 lần > Gốc vay đáo hạn lần cuối ngày 18 tháng 10 năm 2025. Lãi vay trả hàng tháng > Gốc vay đáo hạn lần cuối ngày 13 tháng 9 năm 2023. Lãi vay trả hàng tháng > Thời gian cho vay là 216 tháng. Gốc vay đáo hạn lần cuối vào tháng 2 năm 2034. Gốc và lãi vay trả hàng quý > Gốc vay đáo hạn lần cuối ngày 15 tháng 11 năm 2041. Lãi vay trả 6 tháng một lần > Gốc vay đáo hạn lần cuối ngày 5 tháng 9 năm 2026. Lãi vay trả hàng tháng, quỹ hoặc 6 tháng một lần","numeric__Lãi suất (%/năm) > 6,9% - 11% > 8,4% - 8,9% > 7,11% - 8,71% > 9,4% - 9,59% > 9,8% - 10,5% > 9,4% - 9,5% > 1% - 1,5% > 8,8 - 10,7%","numeric__Hình thức đảm bảo > Các tài sản của công trình Thủy điện Sông Bung 4A của Công ty Cổ phần Phú Thạnh Mỹ > Tài sản thuộc Dự án Đầu tư Xây dựng Hệ thống cấp nước chuỗi đô thị Sơn Tây - Hòa Lạc - Xuân Mai - Miếu Môn - Hà Nội - Hà Đông, Giai đoạn 2 nâng công suất lên 600.000 m3 và tài sản mua sử dụng cho Giai đoạn I Dư án Hệ thống cấp nước chuỗi đô thị Sơn Tây- Hòa Lạc- Xuân Mai- Miếu Môn- Hà Nội- Hà Đông với công suất 300.000 m3 > Tất cả các tài khoản thanh toán hiện tại và tương lai tại ngân hàng Standard Chartered và máy móc, nhà xưởng được tài trợ bởi khoản vay, quyền sử dụng đất và tài sản gắn liền với đất tại tòa nhà Cadivi Tower của Công ty Cadivi > Quyền sử dụng đất đai tại đường số 2, Khu công nghiệp Hòa Cảm, quận Cẩm Lệ, thành phố Đà Nẵng và máy móc thiết bị tại nhà máy Miền Trung của Công ty Cadivi > Toàn bộ số dư và tài khoản tiền gửi, quyền sử dụng mặt nước, quyền khai thác tài nguyên của Công ty Phú Thạnh Mỹ > Tài sản thuộc Phân kỳ 1 Dự án Đầu tư Xây dựng Hệ thống cấp nước chuỗi đô thị Sơn Tây - Hòa Lạc - Xuân Mai - Miếu Môn - Hà Nội - Hà Đông, Giai đoạn 2 nâng công suất lên 600.000 m3 > Một số phương tiện vận tải và hợp đồng tiền gửi với giá trị 50 tỷ VND thuộc sở hữu của Tổng Công ty Cổ phần Đường sông Miền Nam > Đảm bảo bằng một số tài sản của Tập đoàn"
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,1.929.965.498.624,,,,1929965498624.0,,,
Trong đó: Vay dài hạn đến hạn trả Vay dài hạn,Trong đó: Vay dài hạn đến hạn trả Vay dài hạn,Trong đó: Vay dài hạn đến hạn trả Vay dài hạn,200.634.370.6631.729.331.127.961,,,,2.0063437066317294e+24,,,
