row_label_raw,row_label_full,col_0,Số cuối năm > Giá trị (VND),Số cuối năm > Lãi suất(%/năm),Số cuối năm > Kỳ hạn,Số đầu năm > Giá trị (VND),Số đầu năm > Lãi suất(%/năm),Số đầu năm > Kỳ hạn,numeric__Số cuối năm > Giá trị (VND),numeric__Số cuối năm > Lãi suất(%/năm),numeric__Số cuối năm > Kỳ hạn,numeric__Số đầu năm > Giá trị (VND),numeric__Số đầu năm > Lãi suất(%/năm),numeric__Số đầu năm > Kỳ hạn
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,,,,,
Trái phiếu phát hành theo mệnh giá của công ty con (*),Ngắn hạn > Trái phiếu phát hành theo mệnh giá của công ty con (*),Trái phiếu phát hành theo mệnh giá của công ty con (*),200.000.000.000,"10,5%",Đáo hạn ngày 7 tháng3 năm 2020,-,,,200000000000.0,0.105,,,,
Chi phí phát hành trái phiếu,Ngắn hạn > Chi phí phát hành trái phiếu,Chi phí phát hành trái phiếu,(127.222.219),,,-,,,-127222219.0,,,,,
TỔNG CỘNG,Ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,199.872.777.781,,,-,,,199872777781.0,,,,,
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,,,,,
Trái phiếu phát hành theo mệnh giá của Tổng Công ty - Đợt tháng 12 năm 2019 (**),Dài hạn > Trái phiếu phát hành theo mệnh giá của Tổng Công ty - Đợt tháng 12 năm 2019 (**),Trái phiếu phát hành theo mệnh giá của Tổng Công ty - Đợt tháng 12 năm 2019 (**),1.150.000.000.000,"6,95%",Đáo hạn tháng 12 năm 2029,-,-,-,1150000000000.0,0.0695,,,,
Trái phiếu phát hành theo mệnh giá của Tổng Công ty - Đợt tháng 5 năm 2018 (***),Dài hạn > Trái phiếu phát hành theo mệnh giá của Tổng Công ty - Đợt tháng 5 năm 2018 (***),Trái phiếu phát hành theo mệnh giá của Tổng Công ty - Đợt tháng 5 năm 2018 (***),400.000.000.000,"6,5% - 9,5%",Đáo hạn tháng 5 năm 2020,400.000.000.000,"6,5% - 9,5%",Đáo hạn vào tháng 5 năm 2020,400000000000.0,,,400000000000.0,,
Trái phiếu phát hành theo mệnh giá của Tổng Công ty - Đợt tháng 4 năm 2018 (****),Dài hạn > Trái phiếu phát hành theo mệnh giá của Tổng Công ty - Đợt tháng 4 năm 2018 (****),Trái phiếu phát hành theo mệnh giá của Tổng Công ty - Đợt tháng 4 năm 2018 (****),300.000.000.000,"9,5%",Đáo hạn tháng 4 năm 2020,300.000.000.000,"9,5%",Đáo hạn vào tháng 4 năm 2020,300000000000.0,0.095,,300000000000.0,0.095,
Trái phiếu phát hành theo mệnh giá của công ty con (***** ),Dài hạn > Trái phiếu phát hành theo mệnh giá của công ty con (***** ),Trái phiếu phát hành theo mệnh giá của công ty con (***** ),1.850.000.000.000,"6,5% - 10,5%",Khoản trái phiếu cuối cùng đảo hạn vào tháng 8 năm 2022,169.000.000.000,"10,1% - 10,3%",Khoản trái phiếu cuối cùng đảo hạn vào tháng 12 năm 2021,1850000000000.0,,,169000000000.0,,
Trái phiếu phát hành theo mệnh giá của Tổng Công ty - Đợt tháng 12 năm 2016,Dài hạn > Trái phiếu phát hành theo mệnh giá của Tổng Công ty - Đợt tháng 12 năm 2016,Trái phiếu phát hành theo mệnh giá của Tổng Công ty - Đợt tháng 12 năm 2016,-,-,-,1.080.000.000.000,"9,3% - 9,7%",Khoản trái phiếu cuối cùng đảo hạn vào tháng 12 năm 2019,,,,1080000000000.0,,
Chi phí phát hành trái phiếu,Dài hạn > Chi phí phát hành trái phiếu,Chi phí phát hành trái phiếu,(61.284.033.324),,,(18.091.391.556),,,-61284033324.0,,,-18091391556.0,,
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,3.638.715.966.676,,,1.930.908.608.444,,,3638715966676.0,,,1930908608444.0,,
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,,,,
Trái phiếu dài hạn đến hạn trả,Trong đó: > Trái phiếu dài hạn đến hạn trả,Trái phiếu dài hạn đến hạn trả,806.093.393.481,,,1.198.834.999.993,,,806093393481.0,,,1198834999993.0,,
Trái phiếu dài hạn,Trong đó: > Trái phiếu dài hạn,Trái phiếu dài hạn,2.832.622.573.195,,,732.073.608.451,,,2832622573195.0,,,732073608451.0,,
