row_label_raw,row_label_full,col_0,Năm nay,Đơn vị tính: VND > Năm trước,numeric__Năm nay,numeric__Đơn vị tính: VND > Năm trước
Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,,
- Chi phí nhân công,Chi phí bán hàng > - Chi phí nhân công,- Chi phí nhân công,158.671.903.988,125.836.548.586,158671903988.0,125836548586.0
- Chi phí khấu hao,Chi phí bán hàng > - Chi phí khấu hao,- Chi phí khấu hao,7.281.779.821,4.052.431.332,7281779821.0,4052431332.0
- Chi phí dịch vụ mua ngoài,Chi phí bán hàng > - Chi phí dịch vụ mua ngoài,- Chi phí dịch vụ mua ngoài,154.847.842.159,116.996.821.174,154847842159.0,116996821174.0
- Chi phí bán hàng khác,Chi phí bán hàng > - Chi phí bán hàng khác,- Chi phí bán hàng khác,164.993.054.030,100.587.502.778,164993054030.0,100587502778.0
TỔNG CỘNG,Chi phí bán hàng > TỔNG CỘNG,TỔNG CỘNG,485.794.579.998,347.473.303.870,485794579998.0,347473303870.0
Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,,
"- Chi phí nguyên liệu, vật liệu","Chi phí quản lý doanh nghiệp > - Chi phí nguyên liệu, vật liệu","- Chi phí nguyên liệu, vật liệu",7.967.211.884,7.628.661.939,7967211884.0,7628661939.0
- Chi phí nhân công,Chi phí quản lý doanh nghiệp > - Chi phí nhân công,- Chi phí nhân công,304.396.895.955,276.757.951.963,304396895955.0,276757951963.0
- Chi phí khấu hao,Chi phí quản lý doanh nghiệp > - Chi phí khấu hao,- Chi phí khấu hao,21.185.161.667,20.306.295.762,21185161667.0,20306295762.0
"- Tiền thuê đất và thuế, lệ phí khác","Chi phí quản lý doanh nghiệp > - Tiền thuê đất và thuế, lệ phí khác","- Tiền thuê đất và thuế, lệ phí khác",12.346.039.049,14.931.199.625,12346039049.0,14931199625.0
- Phân bổ lợi thế thương mại(Thuyết minh số 17),Chi phí quản lý doanh nghiệp > - Phân bổ lợi thế thương mại(Thuyết minh số 17),- Phân bổ lợi thế thương mại(Thuyết minh số 17),130.549.927.528,107.745.501.289,130549927528.0,107745501289.0
- Chi phí dịch vụ mua ngoài,Chi phí quản lý doanh nghiệp > - Chi phí dịch vụ mua ngoài,- Chi phí dịch vụ mua ngoài,105.214.301.542,72.578.491.610,105214301542.0,72578491610.0
- Chi phí quản lý doanh nghiệp khác,Chi phí quản lý doanh nghiệp > - Chi phí quản lý doanh nghiệp khác,- Chi phí quản lý doanh nghiệp khác,153.649.135.768,143.796.880.244,153649135768.0,143796880244.0
TỔNG CỘNG,Chi phí quản lý doanh nghiệp > TỔNG CỘNG,TỔNG CỘNG,735.308.673.393,643.744.982.432,735308673393.0,643744982432.0
