row_label_raw,row_label_full,col_0,Sản xuất và kinh doanh thiết bị điện,Cung cấp dịch vụ vận tải và kho vận,Sản xuất và kinh doanh điện,Khác,Loại trừ,Tổng cộng,numeric__Sản xuất và kinh doanh thiết bị điện,numeric__Cung cấp dịch vụ vận tải và kho vận,numeric__Sản xuất và kinh doanh điện,numeric__Khác,numeric__Loại trừ,numeric__Tổng cộng
Vào ngày 31 tháng 12 năm 2018 và cho năm tài chính kết thúc cùng ngày,Vào ngày 31 tháng 12 năm 2018 và cho năm tài chính kết thúc cùng ngày,Vào ngày 31 tháng 12 năm 2018 và cho năm tài chính kết thúc cùng ngày,Vào ngày 31 tháng 12 năm 2018 và cho năm tài chính kết thúc cùng ngày,Vào ngày 31 tháng 12 năm 2018 và cho năm tài chính kết thúc cùng ngày,Vào ngày 31 tháng 12 năm 2018 và cho năm tài chính kết thúc cùng ngày,Vào ngày 31 tháng 12 năm 2018 và cho năm tài chính kết thúc cùng ngày,Vào ngày 31 tháng 12 năm 2018 và cho năm tài chính kết thúc cùng ngày,Vào ngày 31 tháng 12 năm 2018 và cho năm tài chính kết thúc cùng ngày,,,,,,
Doanh thu,Vào ngày 31 tháng 12 năm 2018 và cho năm tài chính kết thúc cùng ngày > Doanh thu,Doanh thu,11.311.641.593.036,1.573.042.069.970,525.725.301.857,288.720.547.424,-,13.699.129.512.287,11311641593036.0,1573042069970.0,525725301857.0,288720547424.0,,13699129512287.0
Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,,,,,,
Lợi nhuận gộp của bộ phận,Kết quả > Lợi nhuận gộp của bộ phận,Lợi nhuận gộp của bộ phận,1.558.878.978.635,309.185.377.940,291.867.894.265,55.753.839.158,-,2.215.686.089.998(682.612.783.351),1558878978635.0,309185377940.0,291867894265.0,55753839158.0,,
Thu nhập/(chi phí) không phân bổ (*),Kết quả > Thu nhập/(chi phí) không phân bổ (*),Thu nhập/(chi phí) không phân bổ (*),,,,,,1.533.073.306.647,,,,,,1533073306647.0
Lợi nhuận thuần trước thuế,Kết quả > Lợi nhuận thuần trước thuế,Lợi nhuận thuần trước thuế,,,,,,(249.589.949.424),,,,,,-249589949424.0
Chi phí thuế thu nhập doanh nghiệp,Chi phí thuế thu nhập doanh nghiệp,Chi phí thuế thu nhập doanh nghiệp,,,,,,,,,,,,
Lợi nhuận thuần sau thuế,Chi phí thuế thu nhập doanh nghiệp > Lợi nhuận thuần sau thuế,Lợi nhuận thuần sau thuế,,,,,,1.283.483.357.223,,,,,,1283483357223.0
Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,,,,,,
Tài sản bộ phận,Tài sản và công nợ > Tài sản bộ phận,Tài sản bộ phận,4.876.324.352.209,1.408.813.724.105,2.077.352.730.915,477.139.134.996,-,8.839.629.942.225,4876324352209.0,1408813724105.0,2077352730915.0,477139134996.0,,8839629942225.0
Tài sản không phân bổ (*),Tài sản và công nợ > Tài sản không phân bổ (*),Tài sản không phân bổ (*),,,,,,8.406.858.230.105,,,,,,8406858230105.0
Tổng tài sản,Tài sản và công nợ > Tổng tài sản,Tổng tài sản,,,,,,17.246.488.172.330,,,,,,17246488172330.0
Công nợ bộ phận,Tài sản và công nợ > Công nợ bộ phận,Công nợ bộ phận,6.545.543.521.389,484.427.725.254,1.315.921.257.587,6.595.278.954,-,8.352.487.783.184,6545543521389.0,484427725254.0,1315921257587.0,6595278954.0,,8352487783184.0
Công nợ không phân bổ (*),Tài sản và công nợ > Công nợ không phân bổ (*),Công nợ không phân bổ (*),,,,,,929.045.848.386,,,,,,929045848386.0
Tổng công nợ,Tài sản và công nợ > Tổng công nợ,Tổng công nợ,,,,,,9.281.533.631.570,,,,,,9281533631570.0
Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,,,,,,
Chi phí hình thành tài sản cố định (**),Các thông tin bộ phận khác > Chi phí hình thành tài sản cố định (**),Chi phí hình thành tài sản cố định (**),288.931.703.748,171.534.494.179,522.281.051.173,174.062.319.804,-,1.156.809.568.904,288931703748.0,171534494179.0,522281051173.0,174062319804.0,,1156809568904.0
Tài sản cố định hữu hình,Các thông tin bộ phận khác > Tài sản cố định hữu hình,Tài sản cố định hữu hình,284.224.953.548,170.960.294.179,522.281.051.173,174.062.319.804,-,1.151.528.618.704,284224953548.0,170960294179.0,522281051173.0,174062319804.0,,1151528618704.0
Tài sản cố định vô hình,Các thông tin bộ phận khác > Tài sản cố định vô hình,Tài sản cố định vô hình,4.706.750.200,574.200.000,-,-,-,5.280.950.200,4706750200.0,574200000.0,,,,5280950200.0
Khẩu hao,Các thông tin bộ phận khác > Khẩu hao,Khẩu hao,179.546.968.211,62.570.983.143,135.910.510.961,1.061.429.040,-,379.089.891.355,179546968211.0,62570983143.0,135910510961.0,1061429040.0,,379089891355.0
Hao mòn,Các thông tin bộ phận khác > Hao mòn,Hao mòn,2.260.179.616,8.515.853.338,-,-,-,10.776.032.954,2260179616.0,8515853338.0,,,,10776032954.0
