row_label_raw,row_label_full,col_0,Số cuối năm > Giá gốc,Số cuối năm > Dự phòng,Số cuối năm > Giá trị ghi sổ,Số đầu năm > Giá gốc,Số đầu năm > Dự phòng,Số đầu năm > Giá trị ghi sổ,numeric__Số cuối năm > Giá gốc,numeric__Số cuối năm > Dự phòng,numeric__Số cuối năm > Giá trị ghi sổ,numeric__Số đầu năm > Giá gốc,numeric__Số đầu năm > Dự phòng,numeric__Số đầu năm > Giá trị ghi sổ
Công ty Cổ phần Viwaco,Công ty Cổ phần Viwaco,Công ty Cổ phần Viwaco,49.947.195.000,(10.172.312.950),39.774.882.050,-,-,-,49947195000.0,-10172312950.0,39774882050.0,,,
Công ty Cổ phần K.I.P Việt Nam,Công ty Cổ phần K.I.P Việt Nam,Công ty Cổ phần K.I.P Việt Nam,-,-,-,2.239.945.938,-,2.239.945.938,,,,2239945938.0,,2239945938.0
Các đơn vị khác,Các đơn vị khác,Các đơn vị khác,4.989.805.940,-,4.989.805.940,4.989.805.940,-,4.989.805.940,4989805940.0,,4989805940.0,4989805940.0,,4989805940.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,54.937.000.940,(10.172.312.950),44.764.687.990,7.229.751.878,-,7.229.751.878,54937000940.0,-10172312950.0,44764687990.0,7229751878.0,,7229751878.0
