row_label_raw,row_label_full,col_0,Số cuối năm > Giá gốc,Số cuối năm > Giá trị ghi số,Số đầu năm > Giá gốc,Số đầu năm > Giá trị ghi số,numeric__Số cuối năm > Giá gốc,numeric__Số cuối năm > Giá trị ghi số,numeric__Số đầu năm > Giá gốc,numeric__Số đầu năm > Giá trị ghi số
Tiền gửi có kỳ hạn (i),Tiền gửi có kỳ hạn (i),Tiền gửi có kỳ hạn (i),9.487.914.476,9.487.914.476,11.113.300.000,11.113.300.000,9487914476.0,9487914476.0,11113300000.0,11113300000.0
Đầu tư trái phiếu (ii),Đầu tư trái phiếu (ii),Đầu tư trái phiếu (ii),50.948.164.380,50.948.164.380,168.101.301.370,168.101.301.370,50948164380.0,50948164380.0,168101301370.0,168101301370.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,60.436.078.856,60.436.078.856,179.214.601.370,179.214.601.370,60436078856.0,60436078856.0,179214601370.0,179214601370.0
