row_label_raw,row_label_full,col_0,Công ty Sotrans,Công ty Phú Thạnh Mỹ,Công ty Vihem (*),Công ty Viwasupco,Công ty Cổ phần Sản xuất Thiết bị Điện Đông Anh,Công ty Thibidi,Đơn vị tính: VND Tổng cộng,numeric__Công ty Sotrans,numeric__Công ty Phú Thạnh Mỹ,numeric__Công ty Vihem (*),numeric__Công ty Viwasupco,numeric__Công ty Cổ phần Sản xuất Thiết bị Điện Đông Anh,numeric__Công ty Thibidi,numeric__Đơn vị tính: VND Tổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,506.460.632.541,70.494.847.878,25.224.721.413,504.004.198.650,166.685.653.795,32.629.220.995,1.305.499.275.272,506460632541.0,70494847878.0,25224721413.0,504004198650.0,166685653795.0,32629220995.0,1305499275272.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,506.460.632.541,70.494.847.878,25.224.721.413,504.004.198.650,166.685.653.795,32.629.220.995,1.305.499.275.272,506460632541.0,70494847878.0,25224721413.0,504004198650.0,166685653795.0,32629220995.0,1305499275272.0
Phân bổ lũy kế:,Phân bổ lũy kế:,Phân bổ lũy kế:,Phân bổ lũy kế:,Phân bổ lũy kế:,Phân bổ lũy kế:,Phân bổ lũy kế:,Phân bổ lũy kế:,Phân bổ lũy kế:,Phân bổ lũy kế:,,,,,,,
Số đầu năm,Phân bổ lũy kế: > Số đầu năm,Số đầu năm,(88.630.610.695),(12.924.055.445),(3.783.708.212),(37.800.314.899),-,(6.525.844.200),(149.664.533.451),-88630610695.0,-12924055445.0,-3783708212.0,-37800314899.0,,-6525844200.0,-149664533451.0
Phân bổ trong năm,Phân bổ lũy kế: > Phân bổ trong năm,Phân bổ trong năm,(50.646.063.254),(7.049.484.788),(2.522.472.141),(50.400.419.865),(16.668.565.380),(3.262.922.100),(130.549.927.528),-50646063254.0,-7049484788.0,-2522472141.0,-50400419865.0,-16668565380.0,-3262922100.0,-130549927528.0
Số cuối năm,Phân bổ lũy kế: > Số cuối năm,Số cuối năm,(139.276.673.949),(19.973.540.233),(6.306.180.353),(88.200.734.764),(16.668.565.380),(9.788.766.300),(280.214.460.979),-139276673949.0,-19973540233.0,-6306180353.0,-88200734764.0,-16668565380.0,-9788766300.0,-280214460979.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,,
Số đầu năm,Giá trị còn lại > Số đầu năm,Số đầu năm,417.830.021.846,57.570.792.433,21.441.013.201,466.203.883.751,166.685.653.795,26.103.376.795,1.155.834.741.821,417830021846.0,57570792433.0,21441013201.0,466203883751.0,166685653795.0,26103376795.0,1155834741821.0
Số cuối năm,Giá trị còn lại > Số cuối năm,Số cuối năm,367.183.958.592,50.521.307.645,18.918.541.060,415.803.463.886,150.017.088.415,22.840.454.695,1.025.284.814.293,367183958592.0,50521307645.0,18918541060.0,415803463886.0,150017088415.0,22840454695.0,1025284814293.0
