row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc","Máy móc,thiết bị","Phương tiệnvận tải, truyền dẫn","Thiết bị, dụng cụquản lý",Đơn vị tính: VNDTổng cộng,"numeric__Nhà cửa,vật kiến trúc","numeric__Máy móc,thiết bị","numeric__Phương tiệnvận tải, truyền dẫn","numeric__Thiết bị, dụng cụquản lý",numeric__Đơn vị tính: VNDTổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,3.872.344.847.438,2.439.131.696.603,954.770.491.139,41.924.978.034,7.308.172.013.214,3872344847438.0,2439131696603.0,954770491139.0,41924978034.0,7308172013214.0
- Mua trong năm,Nguyên giá: > - Mua trong năm,- Mua trong năm,2.083.468.014,47.574.144.382,41.186.835.597,2.636.270.438,93.480.718.431,2083468014.0,47574144382.0,41186835597.0,2636270438.0,93480718431.0
- Đầu tư XDCB hoàn thành,Nguyên giá: > - Đầu tư XDCB hoàn thành,- Đầu tư XDCB hoàn thành,799.725.195.514,1.206.830.955.339,80.117.070.049,219.826.178,2.086.893.047.080,799725195514.0,1206830955339.0,80117070049.0,219826178.0,2086893047080.0
- Phân loại lại,Nguyên giá: > - Phân loại lại,- Phân loại lại,-,(1.064.928.508),-,1.064.928.508,-,,-1064928508.0,,1064928508.0,
"- Thanh lý, nhượng bán","Nguyên giá: > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",(10.529.308.432),(14.085.300.836),(23.644.843.634),(2.410.425.083),(50.669.877.985),-10529308432.0,-14085300836.0,-23644843634.0,-2410425083.0,-50669877985.0
- Giảm do thoái vốn tại công ty con,Nguyên giá: > - Giảm do thoái vốn tại công ty con,- Giảm do thoái vốn tại công ty con,(6.172.496.017),(3.256.863.830),(721.359.750),(110.567.904),(10.261.287.501),-6172496017.0,-3256863830.0,-721359750.0,-110567904.0,-10261287501.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,4.657.451.706.517,3.675.129.703.150,1.051.708.193.401,43.325.010.171,9.427.614.613.239,4657451706517.0,3675129703150.0,1051708193401.0,43325010171.0,9427614613239.0
Trong đó:Dã khấu hao hết,Nguyên giá: > Trong đó:Dã khấu hao hết,Trong đó:Dã khấu hao hết,324.072.612.056,574.787.027.521,463.513.597.800,14.702.177.626,1.377.075.415.003,324072612056.0,574787027521.0,463513597800.0,14702177626.0,1377075415003.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,,,
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,1.491.238.230.556,1.185.107.697.063,650.229.206.899,24.343.668.186,3.350.918.802.704,1491238230556.0,1185107697063.0,650229206899.0,24343668186.0,3350918802704.0
- Khấu hao trong năm,Giá trị khấu hao lũy kế: > - Khấu hao trong năm,- Khấu hao trong năm,168.816.516.153,228.917.699.093,63.113.695.282,3.754.207.390,464.602.117.918,168816516153.0,228917699093.0,63113695282.0,3754207390.0,464602117918.0
- Phân loại lại,Giá trị khấu hao lũy kế: > - Phân loại lại,- Phân loại lại,-,(316.794.822),-,316.794.822,-,,-316794822.0,,316794822.0,
"- Thanh lý, nhượng bán","Giá trị khấu hao lũy kế: > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",(9.645.863.290),(13.128.565.372),(21.840.669.015),(1.939.724.507),(46.554.822.184),-9645863290.0,-13128565372.0,-21840669015.0,-1939724507.0,-46554822184.0
- Giảm do thoái vốn tại công ty con,Giá trị khấu hao lũy kế: > - Giảm do thoái vốn tại công ty con,- Giảm do thoái vốn tại công ty con,(6.526.808.776),(2.452.415.004),(415.841.774),(103.652.028),(9.498.717.582),-6526808776.0,-2452415004.0,-415841774.0,-103652028.0,-9498717582.0
Số cuối năm,Giá trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,1.643.882.074.643,1.398.127.620.958,691.086.391.392,26.371.293.863,3.759.467.380.856,1643882074643.0,1398127620958.0,691086391392.0,26371293863.0,3759467380856.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,2.381.106.616.882,1.254.023.999.540,304.541.284.240,17.581.309.848,3.957.253.210.510,2381106616882.0,1254023999540.0,304541284240.0,17581309848.0,3957253210510.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,3.013.569.631.874,2.277.002.082.192,360.621.802.009,16.953.716.308,5.668.147.232.383,3013569631874.0,2277002082192.0,360621802009.0,16953716308.0,5668147232383.0
