row_label_raw,row_label_full,col_0,Năm nay,Đơn vị tính: VNDNăm trước,numeric__Năm nay,numeric__Đơn vị tính: VNDNăm trước
Thu nhập khác,Thu nhập khác,Thu nhập khác,21.537.107.316,56.557.890.328,21537107316.0,56557890328.0
"Lãi từ thanh lý, nhượng bán tài sản cố định","Lãi từ thanh lý, nhượng bán tài sản cố định","Lãi từ thanh lý, nhượng bán tài sản cố định",8.686.668.491,9.872.029.874,8686668491.0,9872029874.0
Tiền phạt thu được,Tiền phạt thu được,Tiền phạt thu được,4.414.631.884,3.054.477.483,4414631884.0,3054477483.0
Hỗ trợ lãi suất,Hỗ trợ lãi suất,Hỗ trợ lãi suất,3.918.064.167,3.383.010.130,3918064167.0,3383010130.0
Nhận hỗ trợ di đời,Nhận hỗ trợ di đời,Nhận hỗ trợ di đời,-,4.298.200.000,,4298200000.0
Hoàn nhập quỹ phát triển khoa học công nghệ,Hoàn nhập quỹ phát triển khoa học công nghệ,Hoàn nhập quỹ phát triển khoa học công nghệ,-,30.909.990.352,,30909990352.0
Các khoản khác,Các khoản khác,Các khoản khác,4.517.742.774,5.040.182.489,4517742774.0,5040182489.0
Chi phí khác,Chi phí khác,Chi phí khác,84.435.927.150,13.714.653.333,84435927150.0,13714653333.0
Chi phí xử lý sự cố ô nhiễm nguồn nước,Chi phí xử lý sự cố ô nhiễm nguồn nước,Chi phí xử lý sự cố ô nhiễm nguồn nước,76.302.752.694,-,76302752694.0,
Các khoản phạt,Các khoản phạt,Các khoản phạt,2.787.118.381,10.803.539.250,2787118381.0,10803539250.0
Các khoản khác,Các khoản khác,Các khoản khác,5.346.056.075,2.911.114.083,5346056075.0,2911114083.0
(Lỗ)/LỢI NHUẬN KHÁC,(Lỗ)/LỢI NHUẬN KHÁC,(Lỗ)/LỢI NHUẬN KHÁC,(62.898.819.834),42.843.236.995,-62898819834.0,42843236995.0
