row_label_raw,row_label_full,col_0,Thuyết minh,Số đầu năm > Giá trị,Số đầu năm > Số có khả năng trả nợ,Phát sinh trong năm > Tăng,Phát sinh trong năm > Giảm,Số cuối năm > Giá trị,Số cuối năm > Số có khả năng trả nợ,numeric__Thuyết minh,numeric__Số đầu năm > Giá trị,numeric__Số đầu năm > Số có khả năng trả nợ,numeric__Phát sinh trong năm > Tăng,numeric__Phát sinh trong năm > Giảm,numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > Số có khả năng trả nợ
Vay và nợ ngắn hạn,Vay và nợ ngắn hạn,Vay và nợ ngắn hạn,Vay và nợ ngắn hạn,Vay và nợ ngắn hạn,Vay và nợ ngắn hạn,Vay và nợ ngắn hạn,Vay và nợ ngắn hạn,Vay và nợ ngắn hạn,Vay và nợ ngắn hạn,,,,,,,
Vay ngân hàng,Vay và nợ ngắn hạn > Vay ngân hàng,Vay ngân hàng,22.1,2.278.293.687.953,2.278.293.687.953,10.654.642.341.808,(10.268.440.960.595),2.664.495.069.166,2.664.495.069.166,221.0,2278293687953.0,2278293687953.0,10654642341808.0,-10268440960595.0,2664495069166.0,2664495069166.0
Vay từ đối tượng khác,Vay và nợ ngắn hạn > Vay từ đối tượng khác,Vay từ đối tượng khác,22.3,122.747.979.500,122.747.979.500,2.486.114.349.993,(2.471.103.390.713),137.758.938.780,137.758.938.780,223.0,122747979500.0,122747979500.0,2486114349993.0,-2471103390713.0,137758938780.0,137758938780.0
Trái phiếu ngắn hạn,Vay và nợ ngắn hạn > Trái phiếu ngắn hạn,Trái phiếu ngắn hạn,22.4,-,-,199.872.777.781,-,199.872.777.781,199.872.777.781,224.0,,,199872777781.0,,199872777781.0,199872777781.0
Trái phiếu dài hạn đến hạn trả,Vay và nợ ngắn hạn > Trái phiếu dài hạn đến hạn trả,Trái phiếu dài hạn đến hạn trả,22.4,1.198.834.999.993,1.198.834.999.993,806.258.393.488,(1.199.000.000.000),806.093.393.481,806.093.393.481,224.0,1198834999993.0,1198834999993.0,806258393488.0,-1199000000000.0,806093393481.0,806093393481.0
Vay dài hạn đến hạn trả,Vay và nợ ngắn hạn > Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,22.2,142.040.264.088,142.040.264.088,200.805.211.002,(142.211.104.427),200.634.370.663,200.634.370.663,222.0,142040264088.0,142040264088.0,200805211002.0,-142211104427.0,200634370663.0,200634370663.0
TỔNG CỘNG,Vay và nợ ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,,3.741.916.931.534,3.741.916.931.534,14.347.693.074.072,(14.080.755.455.735),4.008.854.549.871,4.008.854.549.871,,3741916931534.0,3741916931534.0,14347693074072.0,-14080755455735.0,4008854549871.0,4008854549871.0
Vay và nợ dài hạn,Vay và nợ dài hạn,Vay và nợ dài hạn,Vay và nợ dài hạn,Vay và nợ dài hạn,Vay và nợ dài hạn,Vay và nợ dài hạn,Vay và nợ dài hạn,Vay và nợ dài hạn,Vay và nợ dài hạn,,,,,,,
Vay ngân hàng,Vay và nợ dài hạn > Vay ngân hàng,Vay ngân hàng,22.2,1.399.672.556.063,1.399.672.556.063,1.286.816.514.174,(957.157.942.276),1.729.331.127.961,1.729.331.127.961,222.0,1399672556063.0,1399672556063.0,1286816514174.0,-957157942276.0,1729331127961.0,1729331127961.0
Vay đổi tượng khác,Vay và nợ dài hạn > Vay đổi tượng khác,Vay đổi tượng khác,,-,-,400.000.000.000,(400.000.000.000),-,-,,,,400000000000.0,-400000000000.0,,
Trái phiếu,Vay và nợ dài hạn > Trái phiếu,Trái phiếu,22.4,732.073.608.451,732.073.608.451,2.956.642.358.225,(856.093.393.481),2.832.622.573.195,2.832.622.573.195,224.0,732073608451.0,732073608451.0,2956642358225.0,-856093393481.0,2832622573195.0,2832622573195.0
TỔNG CỘNG,Vay và nợ dài hạn > TỔNG CỘNG,TỔNG CỘNG,,2.131.746.164.514,2.131.746.164.514,4.643.458.872.399,(2.213.251.335.757),4.561.953.701.156,4.561.953.701.156,,2131746164514.0,2131746164514.0,4643458872399.0,-2213251335757.0,4561953701156.0,4561953701156.0
