row_label_raw,row_label_full,Cổ tức đã công bố trong năm,Năm nay > Cổ tức đã công bố trong năm,Năm trước > Cổ tức đã công bố trong năm,numeric__Năm nay > Cổ tức đã công bố trong năm,numeric__Năm trước > Cổ tức đã công bố trong năm
Cổ tức trên cổ phiếu phổ thông,Cổ tức trên cổ phiếu phổ thông,Cổ tức trên cổ phiếu phổ thông,Cổ tức trên cổ phiếu phổ thông,Cổ tức trên cổ phiếu phổ thông,,
Cổ tức cho năm 2018,Cổ tức trên cổ phiếu phổ thông > Cổ tức cho năm 2018,Cổ tức cho năm 2018,-,338.800.000.000,,338800000000.0
Cổ tức cho năm 2019,Cổ tức cho năm 2019,Cổ tức cho năm 2019,-,-,,
Cổ tức đã công bố sau ngày kết thúc kỳ kế toán năm và chưa được ghi nhận là nợ phải trả vào ngày 31 tháng 12 năm 2019,Cổ tức đã công bố sau ngày kết thúc kỳ kế toán năm và chưa được ghi nhận là nợ phải trả vào ngày 31 tháng 12 năm 2019,Cổ tức đã công bố sau ngày kết thúc kỳ kế toán năm và chưa được ghi nhận là nợ phải trả vào ngày 31 tháng 12 năm 2019,-,-,,
