row_label_raw,row_label_full,col_0,Số cuối năm > Giá gốc,Số cuối năm > Giá trị ghi sổ,Số cuối năm > Dự phòng,Số đầu năm > Giá gốc,Số đầu năm > Giá trị ghi sổ,Số đầu năm > Dự phòng,numeric__Số cuối năm > Giá gốc,numeric__Số cuối năm > Giá trị ghi sổ,numeric__Số cuối năm > Dự phòng,numeric__Số đầu năm > Giá gốc,numeric__Số đầu năm > Giá trị ghi sổ,numeric__Số đầu năm > Dự phòng
Tiền gửi có kỳ hạn (i),Tiền gửi có kỳ hạn (i),Tiền gửi có kỳ hạn (i),81.622.168.495,81.622.168.495,-,159.729.229.165,159.729.229.165,-,81622168495.0,81622168495.0,,159729229165.0,159729229165.0,
Trái phiếu (ii),Trái phiếu (ii),Trái phiếu (ii),126.901.312.336,126.901.312.336,-,15.000.000.000,15.000.000.000,-,126901312336.0,126901312336.0,,15000000000.0,15000000000.0,
Ủy thác đầu tư,Ủy thác đầu tư,Ủy thác đầu tư,-,-,-,265.848.782.400,265.848.782.400,-,,,,265848782400.0,265848782400.0,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,208.523.480.831,208.523.480.831,-,440.578.011.565,440.578.011.565,-,208523480831.0,208523480831.0,,440578011565.0,440578011565.0,
