row_label_raw,row_label_full,Tên đơn vị,Số cuối năm > Tỷ lệ lợi ích (%),Số cuối năm > Tỷ lệ quyền biểu quyết (%),Số đầu năm > Tỷ lệ lợi ích (%),Số đầu năm > Tỷ lệ quyền biểu quyết (%),numeric__Số cuối năm > Tỷ lệ lợi ích (%),numeric__Số cuối năm > Tỷ lệ quyền biểu quyết (%),numeric__Số đầu năm > Tỷ lệ lợi ích (%),numeric__Số đầu năm > Tỷ lệ quyền biểu quyết (%)
Công ty TNHH SCI Nghệ An (i),Công ty TNHH SCI Nghệ An (i),Công ty TNHH SCI Nghệ An (i),"49,00","49,00","49,00","49,00",49.0,49.0,49.0,49.0
Công ty Dây đồng Việt Nam - CFT (ii),Công ty Dây đồng Việt Nam - CFT (ii),Công ty Dây đồng Việt Nam - CFT (ii),"45,00","36,35","45,00","36,35",45.0,36.35,45.0,36.35
Công ty TNHH Phát triển Bất động sản SORECO (iii),Công ty TNHH Phát triển Bất động sản SORECO (iii),Công ty TNHH Phát triển Bất động sản SORECO (iii),"(*) 27,39","50,00","(*) 27,39","50,00",,50.0,,50.0
Công ty Cổ phần Phát triển Bất động sản The Pier (iv),Công ty Cổ phần Phát triển Bất động sản The Pier (iv),Công ty Cổ phần Phát triển Bất động sản The Pier (iv),"(*) 27,39","50,00","(*) 27,39","50,00",,50.0,,50.0
Công ty TNHH SAS CTAMAD (v),Công ty TNHH SAS CTAMAD (v),Công ty TNHH SAS CTAMAD (v),"(*) 26,95","35,00","(*) 23,14","35,00",,35.0,,35.0
Công ty Cổ phần Xây dựng Công trình và Thương mại 747 (Sowatco - Eco 747) (vi),Công ty Cổ phần Xây dựng Công trình và Thương mại 747 (Sowatco - Eco 747) (vi),Công ty Cổ phần Xây dựng Công trình và Thương mại 747 (Sowatco - Eco 747) (vi),"(*) 22,65","49,00","(*) 22,65","49,00",,49.0,,49.0
Công ty Liên doanh Phát triển Tiếp vận Số 1 (VICT) (vii),Công ty Liên doanh Phát triển Tiếp vận Số 1 (VICT) (vii),Công ty Liên doanh Phát triển Tiếp vận Số 1 (VICT) (vii),"(*) 17,10","37,00","(*) 17,10","37,00",,37.0,,37.0
Công ty TNHH Lô-Gi-Stic Gefco - Sotrans (viii),Công ty TNHH Lô-Gi-Stic Gefco - Sotrans (viii),Công ty TNHH Lô-Gi-Stic Gefco - Sotrans (viii),"(*) 13,42","24,50","(*) 13,42","24,50",,24.5,,24.5
Công ty Cổ phần MHC (ix),Công ty Cổ phần MHC (ix),Công ty Cổ phần MHC (ix),"(*) 12,60","23,00","(*) 12,60","23,00",,23.0,,23.0
Công ty Cổ phần Dịch vụ Tổng hợp Đường thủy Miền Nam (Sowatcoser) (x),Công ty Cổ phần Dịch vụ Tổng hợp Đường thủy Miền Nam (Sowatcoser) (x),Công ty Cổ phần Dịch vụ Tổng hợp Đường thủy Miền Nam (Sowatcoser) (x),"(*) 12,14","26,27","(*) 12,10","26,27",,26.27,,26.27
Tổng Công ty Cổ phần Thiết bị Điện Đông Anh - Công ty Cổ phần (xi),Tổng Công ty Cổ phần Thiết bị Điện Đông Anh - Công ty Cổ phần (xi),Tổng Công ty Cổ phần Thiết bị Điện Đông Anh - Công ty Cổ phần (xi),"(*) 19,99","24,95","19,59","24,95",,24.95,19.59,24.95
Tổng Công ty Viglacera – CTCP (xii) (**),Tổng Công ty Viglacera – CTCP (xii) (**),Tổng Công ty Viglacera – CTCP (xii) (**),"24,96","24,96",-,-,24.96,24.96,,
Công ty Cổ phần Căng Đồng Nai (xiii) (**),Công ty Cổ phần Căng Đồng Nai (xiii) (**),Công ty Cổ phần Căng Đồng Nai (xiii) (**),"20,25","20,25",-,-,20.25,20.25,,
