row_label_raw,row_label_full,col_0,Số đầu năm,Mua công ty liên kết trong năm,Phần lợi nhuận/(lỗ) từ công ty liên kết trong năm,Phân phối quỹ và các điều chỉnh khác,Cổ tức được chia trong năm,Số cuối năm,numeric__Số đầu năm,numeric__Mua công ty liên kết trong năm,numeric__Phần lợi nhuận/(lỗ) từ công ty liên kết trong năm,numeric__Phân phối quỹ và các điều chỉnh khác,numeric__Cổ tức được chia trong năm,numeric__Số cuối năm
Tổng Công ty Thiết bị điệnĐông Anh - CTPC,Tổng Công ty Thiết bị điệnĐông Anh - CTPC,Tổng Công ty Thiết bị điệnĐông Anh - CTPC,482.547.944.294,-,23.543.242.875,(1.056.965.377),(9.053.260.221),495.980.961.571,482547944294.0,,23543242875.0,-1056965377.0,-9053260221.0,495980961571.0
Công ty Liên doanh Phát triển Tiếp vận Số 1,Công ty Liên doanh Phát triển Tiếp vận Số 1,Công ty Liên doanh Phát triển Tiếp vận Số 1,362.671.363.763,-,4.623.902.447,,(21.892.362.235),345.402.903.975,362671363763.0,,4623902447.0,,-21892362235.0,345402903975.0
Công ty TNHH S.A.S - CTAMAD,Công ty TNHH S.A.S - CTAMAD,Công ty TNHH S.A.S - CTAMAD,292.301.423.784,-,51.840.587.317,(527.124.091),(50.051.932.438),293.562.954.572,292301423784.0,,51840587317.0,-527124091.0,-50051932438.0,293562954572.0
Công ty TNHH SCI Nghệ An,Công ty TNHH SCI Nghệ An,Công ty TNHH SCI Nghệ An,155.741.560.852,-,(9.991.940.153),,-,145.749.620.699,155741560852.0,,-9991940153.0,,,145749620699.0
Công ty Dây đồng Việt Nam - CFT,Công ty Dây đồng Việt Nam - CFT,Công ty Dây đồng Việt Nam - CFT,128.186.087.477,-,26.208.053.470,,-,154.394.140.947,128186087477.0,,26208053470.0,,,154394140947.0
Công ty Cổ phần MHC,Công ty Cổ phần MHC,Công ty Cổ phần MHC,107.916.169.445,-,1.397.741.408,,-,109.313.910.853,107916169445.0,,1397741408.0,,,109313910853.0
Công ty Cổ phần Phát triển Bất động sản The Pier,Công ty Cổ phần Phát triển Bất động sản The Pier,Công ty Cổ phần Phát triển Bất động sản The Pier,9.976.853.472,-,(621.353),,-,9.976.232.119,9976853472.0,,-621353.0,,,9976232119.0
Công ty TNHH Phát triển Bất động sản SORECO,Công ty TNHH Phát triển Bất động sản SORECO,Công ty TNHH Phát triển Bất động sản SORECO,9.942.297.601,-,(2.931.147),,-,9.939.366.454,9942297601.0,,-2931147.0,,,9939366454.0
Công ty Cổ phần Dịch vụ Tổng hợp Đường thủy Miền Nam,Công ty Cổ phần Dịch vụ Tổng hợp Đường thủy Miền Nam,Công ty Cổ phần Dịch vụ Tổng hợp Đường thủy Miền Nam,3.178.232.610,-,(1.508.750),,-,3.176.723.860,3178232610.0,,-1508750.0,,,3176723860.0
Tổng Công ty Viglacera – Công ty Cổ phần,Tổng Công ty Viglacera – Công ty Cổ phần,Tổng Công ty Viglacera – Công ty Cổ phần,-,2.440.507.089.000,123.155.760.547,(14.277.030.730),(111.927.600.000),2.437.458.218.817,,2440507089000.0,123155760547.0,-14277030730.0,-111927600000.0,2437458218817.0
Công ty Cổ phần Căng Đồng Nai,Công ty Cổ phần Căng Đồng Nai,Công ty Cổ phần Căng Đồng Nai,-,247.871.250.000,20.791.561.380,(2.796.035.702),(6.250.000.000),259.616.775.678,,247871250000.0,20791561380.0,-2796035702.0,-6250000000.0,259616775678.0
TỔNG CỔNG,TỔNG CỔNG,TỔNG CỔNG,1.552.461.933.298,2.688.378.339.000,241.563.848.041,(18.657.155.900),(199.175.154.894),4.264.571.809.545,1552461933298.0,2688378339000.0,241563848041.0,-18657155900.0,-199175154894.0,4264571809545.0
