row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2018,Tổng giá trị của hợp đồng (theo tỷ giả ngày hiệu lực hợp đồng)Triệu đồng > Tại ngày 31 tháng 12 năm 2018,Tổng giá trị ghi số kế toán (theo tỷ giá tại ngày lập báo cáo) > Tài sảnTriệu đồng > Tại ngày 31 tháng 12 năm 2018,Tổng giá trị ghi số kế toán (theo tỷ giá tại ngày lập báo cáo) > Công nợTriệu đồng > Tại ngày 31 tháng 12 năm 2018,Giá trị thuầnTriệu đồng > Tại ngày 31 tháng 12 năm 2018,numeric__Tổng giá trị của hợp đồng (theo tỷ giả ngày hiệu lực hợp đồng)Triệu đồng > Tại ngày 31 tháng 12 năm 2018,numeric__Tổng giá trị ghi số kế toán (theo tỷ giá tại ngày lập báo cáo) > Tài sảnTriệu đồng > Tại ngày 31 tháng 12 năm 2018,numeric__Tổng giá trị ghi số kế toán (theo tỷ giá tại ngày lập báo cáo) > Công nợTriệu đồng > Tại ngày 31 tháng 12 năm 2018,numeric__Giá trị thuầnTriệu đồng > Tại ngày 31 tháng 12 năm 2018
Công cụ tài chính phải sinh tiền tệ,Công cụ tài chính phải sinh tiền tệ,Công cụ tài chính phải sinh tiền tệ,33.328.424,33.198.097,(33.212.303),(14.206),33328424.0,33198097.0,-33212303.0,-14206.0
Giao dịch kỳ hạn tiền tệ,Giao dịch kỳ hạn tiền tệ,Giao dịch kỳ hạn tiền tệ,7.030.491,7.006.722,(6.995.804),10.918,7030491.0,7006722.0,-6995804.0,10918.0
Giao dịch hoán đổi tiền tệ,Giao dịch hoán đổi tiền tệ,Giao dịch hoán đổi tiền tệ,26.297.933,26.191.375,(26.216.499),(25.124),26297933.0,26191375.0,-26216499.0,-25124.0
Công cụ tài chính phải sinh khác,Công cụ tài chính phải sinh khác,Công cụ tài chính phải sinh khác,6.282.425,4.308.307,(4.362.545),(54.238),6282425.0,4308307.0,-4362545.0,-54238.0
,,,39.610.849,37.506.404,(37.574.848),(68.444),39610849.0,37506404.0,-37574848.0,-68444.0
Tại ngày 31 tháng 12 năm 2017,Tại ngày 31 tháng 12 năm 2017,Tại ngày 31 tháng 12 năm 2017,Tại ngày 31 tháng 12 năm 2017,Tại ngày 31 tháng 12 năm 2017,Tại ngày 31 tháng 12 năm 2017,Tại ngày 31 tháng 12 năm 2017,,,,
Công cụ tài chính phải sinh tiền tệ,Tại ngày 31 tháng 12 năm 2017 > Công cụ tài chính phải sinh tiền tệ,Công cụ tài chính phải sinh tiền tệ,40.835.220,40.456.633,(40.553.734),(97.101),40835220.0,40456633.0,-40553734.0,-97101.0
Giao dịch kỳ hạn tiền tệ,Tại ngày 31 tháng 12 năm 2017 > Giao dịch kỳ hạn tiền tệ,Giao dịch kỳ hạn tiền tệ,7.438.899,7.400.567,(7.297.108),103.459,7438899.0,7400567.0,-7297108.0,103459.0
Giao dịch hoán đổi tiền tệ,Tại ngày 31 tháng 12 năm 2017 > Giao dịch hoán đổi tiền tệ,Giao dịch hoán đổi tiền tệ,33.396.321,33.056.066,(33.256.626),(200.560),33396321.0,33056066.0,-33256626.0,-200560.0
Công cụ tài chính phải sinh khác,Tại ngày 31 tháng 12 năm 2017 > Công cụ tài chính phải sinh khác,Công cụ tài chính phải sinh khác,3.970.468,2.176.333,(2.147.364),28.969,3970468.0,2176333.0,-2147364.0,28969.0
,,,44.805.688,42.632.966,(42.701.098),(68.132),44805688.0,42632966.0,-42701098.0,-68132.0
