row_label_raw,row_label_full,col_0,Vốn điều lệTriệu đồng,Thặng dưvốn cổ phầnTriệu đồng,Quỹ dự trữbố sungvốn điều lệTriệu đồng,Quỹdự phòngtài chínhTriệu đồng,Quỹ đầu tưphát triểnTriệu đồng,Lợi nhuậnchưaphân phốiTriệu đồng,Cổ phiếu quỹTriệu đồng,Tổng côngTriệu đồng,numeric__Vốn điều lệTriệu đồng,numeric__Thặng dưvốn cổ phầnTriệu đồng,numeric__Quỹ dự trữbố sungvốn điều lệTriệu đồng,numeric__Quỹdự phòngtài chínhTriệu đồng,numeric__Quỹ đầu tưphát triểnTriệu đồng,numeric__Lợi nhuậnchưaphân phốiTriệu đồng,numeric__Cổ phiếu quỹTriệu đồng,numeric__Tổng côngTriệu đồng
Số dư tại ngày 1 tháng 1 năm 2017,Số dư tại ngày 1 tháng 1 năm 2017,Số dư tại ngày 1 tháng 1 năm 2017,9.181.000,1.288.863,170.600,781.929,809.318,2.822.651,-,15.054.361,9181000.0,1288863.0,170600.0,781929.0,809318.0,2822651.0,,15054361.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,4.779.610,-,4.779.610,,,,,,4779610.0,,4779610.0
Phát hành cổ phiếu phổ thông,Phát hành cổ phiếu phổ thông,Phát hành cổ phiếu phổ thông,1.647.144,4.776.717,-,-,-,-,-,6.423.861,1647144.0,4776717.0,,,,,,6423861.0
Phát hành cổ phiếu thường,Phát hành cổ phiếu thường,Phát hành cổ phiếu thường,579.300,-,(170.597),-,(408.703),-,-,-,579300.0,,-170597.0,,-408703.0,,,
Trả cổ tức cho cổ phần ưu đãi,Trả cổ tức cho cổ phần ưu đãi,Trả cổ tức cho cổ phần ưu đãi,-,-,-,-,-,(146.439),-,(146.439),,,,,,-146439.0,,-146439.0
Tăng vốn từ lợi nhuận để lại,Tăng vốn từ lợi nhuận để lại,Tăng vốn từ lợi nhuận để lại,4.298.786,-,-,-,-,(4.298.786),-,-,4298786.0,,,,,-4298786.0,,
Trích lập các quỹ,Trích lập các quỹ,Trích lập các quỹ,-,-,154.691,309.381,-,(464.072),-,-,,,154691.0,309381.0,,-464072.0,,
Phi tư vấn phát hành cổ phiếu phổ thông,Phi tư vấn phát hành cổ phiếu phổ thông,Phi tư vấn phát hành cổ phiếu phổ thông,-,(199.475),-,-,-,-,-,(199.475),,-199475.0,,,,,,-199475.0
Điều chỉnh chi phí thuế các năm trước,Điều chỉnh chi phí thuế các năm trước,Điều chỉnh chi phí thuế các năm trước,-,-,-,-,-,156,-,156,,,,,,156.0,,156.0
Số dư tại ngày 31 tháng 12 năm 2017,Số dư tại ngày 31 tháng 12 năm 2017,Số dư tại ngày 31 tháng 12 năm 2017,15.706.230,5.866.105,154.694,1.091.310,400.615,2.693.120,-,25.912.074,15706230.0,5866105.0,154694.0,1091310.0,400615.0,2693120.0,,25912074.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,6.914.873,-,6.914.873,,,,,,6914873.0,,6914873.0
Phát hành cổ phiếu từ quỹ dự trữ bổ sung vốnđiều lệ và Thặng dư vốn cổ phần (i),Phát hành cổ phiếu từ quỹ dự trữ bổ sung vốnđiều lệ và Thặng dư vốn cổ phần (i),Phát hành cổ phiếu từ quỹ dự trữ bổ sung vốnđiều lệ và Thặng dư vốn cổ phần (i),4.731.795,(4.577.104),(154.691),-,-,-,-,-,4731795.0,-4577104.0,-154691.0,,,,,
Trả cổ tức cho cổ phần ưu đãi,Trả cổ tức cho cổ phần ưu đãi,Trả cổ tức cho cổ phần ưu đãi,-,-,-,-,-,(146.439),-,(146.439),,,,,,-146439.0,,-146439.0
Tăng vốn từ lợi nhuận để lại (i),Tăng vốn từ lợi nhuận để lại (i),Tăng vốn từ lợi nhuận để lại (i),4.524.704,-,-,-,-,(4.524.704),-,-,4524704.0,,,,,-4524704.0,,
Trích lập các quỹ,Trích lập các quỹ,Trích lập các quỹ,-,-,202.997,405.993,801.159,(1.410.149),-,-,,,202997.0,405993.0,801159.0,-1410149.0,,
Phí chuyển nhượng cổ phiếu ưu đãi,Phí chuyển nhượng cổ phiếu ưu đãi,Phí chuyển nhượng cổ phiếu ưu đãi,-,-,-,-,-,-,(2.489),(2.489),,,,,,,-2489.0,-2489.0
Mua lại cổ phiếu ưu đãi làm cổ phiếu quỹ,Mua lại cổ phiếu ưu đãi làm cổ phiếu quỹ,Mua lại cổ phiếu ưu đãi làm cổ phiếu quỹ,-,-,-,-,-,-,(2.489.232),(2.489.232),,,,,,,-2489232.0,-2489232.0
Tăng vốn từ phát hành cổ phiếu theo ESOP (ii),Tăng vốn từ phát hành cổ phiếu theo ESOP (ii),Tăng vốn từ phát hành cổ phiếu theo ESOP (ii),336.951,-,-,-,-,-,-,336.951,336951.0,,,,,,,336951.0
Số dư tại ngày 31 tháng 12 năm 2018,Số dư tại ngày 31 tháng 12 năm 2018,Số dư tại ngày 31 tháng 12 năm 2018,25.299.680,1.289.001,203.000,1.497.303,1.201.774,3.526.701,(2.491.721),30.525.738,25299680.0,1289001.0,203000.0,1497303.0,1201774.0,3526701.0,-2491721.0,30525738.0
