row_label_raw,row_label_full,col_0,Giá trị số sách > Ngày 31 tháng 12năm 2018Triệu đồng,Giá trị số sách > Ngày 31 tháng 12năm 2017Triệu đồng,numeric__Giá trị số sách > Ngày 31 tháng 12năm 2018Triệu đồng,numeric__Giá trị số sách > Ngày 31 tháng 12năm 2017Triệu đồng
Bất động sản,Bất động sản,Bất động sản,223.266.429,173.449.978,223266429.0,173449978.0
Động sản,Động sản,Động sản,43.147.192,39.905.535,43147192.0,39905535.0
Giấy tờ có giá,Giấy tờ có giá,Giấy tờ có giá,120.682.627,79.901.398,120682627.0,79901398.0
Các tài sản đảm bảo khác,Các tài sản đảm bảo khác,Các tài sản đảm bảo khác,130.316.061,106.177.159,130316061.0,106177159.0
,,,517.412.309,399.434.070,517412309.0,399434070.0
