row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcTriệu đồng",Máy mócthiết bịTriệu đồng,Phương tiệnvận tảiTriệu đồng,Thiết bịdụng cụquản lýTriệu đồng,Tài sản cố địnhkhắcTriệu đồng,Tổng cộngTriệu đồng,"numeric__Nhà cửa,vật kiến trúcTriệu đồng",numeric__Máy mócthiết bịTriệu đồng,numeric__Phương tiệnvận tảiTriệu đồng,numeric__Thiết bịdụng cụquản lýTriệu đồng,numeric__Tài sản cố địnhkhắcTriệu đồng,numeric__Tổng cộngTriệu đồng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,38.866,483.456,116.736,89.162,52.876,781.096,38866.0,483456.0,116736.0,89162.0,52876.0,781096.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,47.864,4.319,2.427,1.937,124,56.671,47864.0,4319.0,2427.0,1937.0,124.0,56671.0
Tăng/(giảm) khác,Nguyên giá > Tăng/(giảm) khác,Tăng/(giảm) khác,900.275,103.685,-,14.994,17.059,1.036.013,900275.0,103685.0,,14994.0,17059.0,1036013.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(842),(9.438),(2.336),(1.041),(13.657),,-842.0,-9438.0,-2336.0,-1041.0,-13657.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,987.005,590.618,109.725,103.757,69.018,1.860.123,987005.0,590618.0,109725.0,103757.0,69018.0,1860123.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,10.877,300.588,66.711,65.108,35.281,478.565,10877.0,300588.0,66711.0,65108.0,35281.0,478565.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,14.577,79.798,13.762,14.340,11.905,134.382,14577.0,79798.0,13762.0,14340.0,11905.0,134382.0
Tăng/(giảm) khác,Giá trị hao mòn lũy kế > Tăng/(giảm) khác,Tăng/(giảm) khác,-,(32),-,(10),-,(42),,-32.0,,-10.0,,-42.0
"Thanh lý, nhượng bán","Giá trị hao mòn lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(808),(7.828),(2.319),(972),(11.927),,-808.0,-7828.0,-2319.0,-972.0,-11927.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,25.454,379.546,72.645,77.119,46.214,600.978,25454.0,379546.0,72645.0,77119.0,46214.0,600978.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,27.989,182.868,50.025,24.054,17.595,302.531,27989.0,182868.0,50025.0,24054.0,17595.0,302531.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,961.551,211.072,37.080,26.638,22.804,1.259.145,961551.0,211072.0,37080.0,26638.0,22804.0,1259145.0
