row_label_raw,row_label_full,col_0,Ngày 31 tháng 12năm 2018Triệu đồng,%,Ngày 31 tháng 12năm 2017(Phân loại lại)(*)Triệu đồng,%_1,numeric__Ngày 31 tháng 12năm 2018Triệu đồng,numeric__%,numeric__Ngày 31 tháng 12năm 2017(Phân loại lại)(*)Triệu đồng,numeric__%_1
"Nông nghiệp, lâm nghiệp vàthủy sản","Nông nghiệp, lâm nghiệp vàthủy sản","Nông nghiệp, lâm nghiệp vàthủy sản",1.149.359,"0,68",3.512.339,"2,55",1149359.0,0.68,3512339.0,2.55
Khai khoáng,Khai khoáng,Khai khoáng,391.618,"0,23",253.756,"0,18",391618.0,0.23,253756.0,0.18
"Công nghiệp chế biến, chế tạo","Công nghiệp chế biến, chế tạo","Công nghiệp chế biến, chế tạo",11.938.173,"7,10",12.096.569,"8,77",11938173.0,7.1,12096569.0,8.77
"Sản xuất và phân phối điện, khídốt, nước nóng, hơi nước và điềuhoà không khí","Sản xuất và phân phối điện, khídốt, nước nóng, hơi nước và điềuhoà không khí","Sản xuất và phân phối điện, khídốt, nước nóng, hơi nước và điềuhoà không khí",1.865.916,"1,11",2.169.791,"1,57",1865916.0,1.11,2169791.0,1.57
"Cung cấp nước; hoạt động quảnlý và xử lý rác thải, nước thải","Cung cấp nước; hoạt động quảnlý và xử lý rác thải, nước thải","Cung cấp nước; hoạt động quảnlý và xử lý rác thải, nước thải",216.406,"0,13",227.136,"0,16",216406.0,0.13,227136.0,0.16
Xây dựng,Xây dựng,Xây dựng,19.234.916,"11,44",7.796.693,"5,66",19234916.0,11.44,7796693.0,5.66
"Bán buôn và bán lẻ; sửa chữa ôtô, mô tô, xe máy và xe có độngcơ khác","Bán buôn và bán lẻ; sửa chữa ôtô, mô tô, xe máy và xe có độngcơ khác","Bán buôn và bán lẻ; sửa chữa ôtô, mô tô, xe máy và xe có độngcơ khác",24.644.053,"14,65",22.150.836,"16,07",24644053.0,14.65,22150836.0,16.07
Vận tải kho bãi,Vận tải kho bãi,Vận tải kho bãi,7.945.263,"4,72",9.321.473,"6,76",7945263.0,4.72,9321473.0,6.76
Dịch vụ lưu trú và ăn uống,Dịch vụ lưu trú và ăn uống,Dịch vụ lưu trú và ăn uống,9.902.603,"5,89",4.189.673,"3,04",9902603.0,5.89,4189673.0,3.04
Thông tin và truyền thông,Thông tin và truyền thông,Thông tin và truyền thông,396.897,"0,24",453.449,"0,33",396897.0,0.24,453449.0,0.33
"Hoạt động tài chính, ngân hàngvà bảo hiểm","Hoạt động tài chính, ngân hàngvà bảo hiểm","Hoạt động tài chính, ngân hàngvà bảo hiểm",3.969.632,"2,36",1.868.409,"1,36",3969632.0,2.36,1868409.0,1.36
Hoạt động kinh doanh bất độngsản,Hoạt động kinh doanh bất độngsản,Hoạt động kinh doanh bất độngsản,39.514.023,"23,49",33.590.000,"24,37",39514023.0,23.49,33590000.0,24.37
"- Trong đó: Vay để mua nhà ở,nhận quyền sử dụng đất để xâynhà ở","- Trong đó: Vay để mua nhà ở,nhận quyền sử dụng đất để xâynhà ở","- Trong đó: Vay để mua nhà ở,nhận quyền sử dụng đất để xâynhà ở",19.839.780,"11,80",17.956.411,"13,02",19839780.0,11.8,17956411.0,13.02
"Hoạt động chuyên môn, khoa họcvà công nghệ","Hoạt động chuyên môn, khoa họcvà công nghệ","Hoạt động chuyên môn, khoa họcvà công nghệ",638.907,"0,38",234.387,"0,17",638907.0,0.38,234387.0,0.17
Hoạt động hành chính và dịch vụhỗ trợ,Hoạt động hành chính và dịch vụhỗ trợ,Hoạt động hành chính và dịch vụhỗ trợ,1.563.129,"0,93",1.209.101,"0,88",1563129.0,0.93,1209101.0,0.88
"Hoạt động của Đảng cộng sán, tổchức chính trị - xã hội, quản lýNhà nước, an ninh quốc phòng;bảo đảm xã hội bắt buộc","Hoạt động của Đảng cộng sán, tổchức chính trị - xã hội, quản lýNhà nước, an ninh quốc phòng;bảo đảm xã hội bắt buộc","Hoạt động của Đảng cộng sán, tổchức chính trị - xã hội, quản lýNhà nước, an ninh quốc phòng;bảo đảm xã hội bắt buộc",11.539,"0,01",26.242,"0,02",11539.0,0.01,26242.0,0.02
Giáo dục và đào tạo,Giáo dục và đào tạo,Giáo dục và đào tạo,327.506,"0,19",335.392,"0,24",327506.0,0.19,335392.0,0.24
Y tế và hoạt động trợ giúp xã hội,Y tế và hoạt động trợ giúp xã hội,Y tế và hoạt động trợ giúp xã hội,34.359,"0,02",384.619,"0,28",34359.0,0.02,384619.0,0.28
"Nghệ thuật, vui chơi và giải trí","Nghệ thuật, vui chơi và giải trí","Nghệ thuật, vui chơi và giải trí",214.758,"0,13",274.785,"0,20",214758.0,0.13,274785.0,0.2
Hoạt động dịch vụ khác,Hoạt động dịch vụ khác,Hoạt động dịch vụ khác,333.180,"0,20",1.507.678,"1,09",333180.0,0.2,1507678.0,1.09
"Hoạt động làm thuê các công việctrong hộ gia đình, sân xuất sánphẩm vật chất và dịch vụ tự tiềudùng của hộ gia đình","Hoạt động làm thuê các công việctrong hộ gia đình, sân xuất sánphẩm vật chất và dịch vụ tự tiềudùng của hộ gia đình","Hoạt động làm thuê các công việctrong hộ gia đình, sân xuất sánphẩm vật chất và dịch vụ tự tiềudùng của hộ gia đình",43.889.183,"26,10",36.168.997,"26,23",43889183.0,26.1,36168997.0,26.23
Hoạt động của các tổ chức và cơquan quốc tế,Hoạt động của các tổ chức và cơquan quốc tế,Hoạt động của các tổ chức và cơquan quốc tế,8.377,"0,00",97.874,"0,07",8377.0,0.0,97874.0,0.07
,,,168.189.797,100,137.869.199,100,168189797.0,100.0,137869199.0,100.0
