row_label_raw,row_label_full,col_0,Chưa quá hạnTriệu đồng,Đã quá hạn và chưa bị giảm giáTriệu đồng,Đã quá hạn và đã trích lập dự phòngTriệu đồng,Tổng cộngTriệu đồng,numeric__Chưa quá hạnTriệu đồng,numeric__Đã quá hạn và chưa bị giảm giáTriệu đồng,numeric__Đã quá hạn và đã trích lập dự phòngTriệu đồng,numeric__Tổng cộngTriệu đồng
Tiền gửi và cấp tín dụng cho các TCTD khác,Tiền gửi và cấp tín dụng cho các TCTD khác,Tiền gửi và cấp tín dụng cho các TCTD khác,16.702.538,-,-,16.702.538,16702538.0,,,16702538.0
- Tiến gửi tại TCTD khác,- Tiến gửi tại TCTD khác,- Tiến gửi tại TCTD khác,15.933.075,-,-,15.933.075,15933075.0,,,15933075.0
- Cấp tín dụng cho các TCTD khác,- Cấp tín dụng cho các TCTD khác,- Cấp tín dụng cho các TCTD khác,769.463,-,-,769.463,769463.0,,,769463.0
Chứng khoán kinh doanh,Chứng khoán kinh doanh,Chứng khoán kinh doanh,4.240.742,-,-,4.240.742,4240742.0,,,4240742.0
Cho vay khách hàng và mua nợ,Cho vay khách hàng và mua nợ,Cho vay khách hàng và mua nợ,157.833.015,2.405.448,8.453.307,168.691.770,157833015.0,2405448.0,8453307.0,168691770.0
Chứng khoán đầu tư,Chứng khoán đầu tư,Chứng khoán đầu tư,52.578.290,-,-,52.578.290,52578290.0,,,52578290.0
- Chứng khoán đầu tư sẵn sàng để bán,- Chứng khoán đầu tư sẵn sàng để bán,- Chứng khoán đầu tư sẵn sàng để bán,49.417.157,-,-,49.417.157,49417157.0,,,49417157.0
- Chứng khoán đầu tư giữ đến ngày đáo hạn,- Chứng khoán đầu tư giữ đến ngày đáo hạn,- Chứng khoán đầu tư giữ đến ngày đáo hạn,3.161.133,-,-,3.161.133,3161133.0,,,3161133.0
Tài sản Có khác,Tài sản Có khác,Tài sản Có khác,13.782.825,63.188,50.994,13.897.007,13782825.0,63188.0,50994.0,13897007.0
Tổng cộng,Tổng cộng,Tổng cộng,245.137.410,2.468.636,8.504.301,256.110.347,245137410.0,2468636.0,8504301.0,256110347.0
